Date,Open,High,Low,Close,Volume
29/09/2005,22,22,20,22,2849500
30/09/2005,22,23,22,22,3043500
03/10/2005,22,23,22,22,295500
04/10/2005,24,25,22,24,3221500
05/10/2005,24,25,24,24,1355000
06/10/2005,24,25,24,24,507000
07/10/2005,24,24,24,24,663500
10/10/2005,24,24,24,24,334000
11/10/2005,23,24,23,23,524500
12/10/2005,23,23,23,23,757500
13/10/2005,22,23,22,22,424500
14/10/2005,23,23,23,23,105000
18/10/2005,23,23,23,23,207500
19/10/2005,22,23,22,22,417500
21/10/2005,22,23,22,22,1141500
24/10/2005,22,22,22,22,60000
26/10/2005,22,23,22,22,2292000
27/10/2005,22,22,22,22,695000
28/10/2005,22,22,22,22,322000
31/10/2005,22,22,22,22,10000
01/11/2005,22,22,22,22,171000
10/11/2005,21,21,21,21,13500
11/11/2005,21,21,20,21,87500
14/11/2005,20,21,20,20,13000
15/11/2005,20,21,20,20,493500
16/11/2005,20,20,20,20,91000
17/11/2005,20,20,20,20,2500
18/11/2005,21,21,20,21,1098000
21/11/2005,21,21,21,21,150000
22/11/2005,21,21,21,21,549000
23/11/2005,21,21,21,21,397000
24/11/2005,21,21,21,21,379500
25/11/2005,21,21,21,21,532500
28/11/2005,21,21,21,21,85000
29/11/2005,21,21,21,21,222500
30/11/2005,20,21,20,20,1215000
01/12/2005,20,21,20,20,506000
02/12/2005,20,20,20,20,968500
05/12/2005,22,22,20,22,5849000
06/12/2005,21,22,21,21,6574000
07/12/2005,24,24,22,24,15163000
08/12/2005,24,25,23,24,13782000
09/12/2005,24,24,24,24,2071500
12/12/2005,24,25,24,24,937000
13/12/2005,24,24,24,24,839000
14/12/2005,24,24,24,24,435500
15/12/2005,24,25,24,24,4374500
16/12/2005,24,24,24,24,425000
19/12/2005,27,27,24,27,10398000
20/12/2005,28,30,27,28,15250000
21/12/2005,28,29,28,28,5565000
22/12/2005,28,28,28,28,909000
23/12/2005,27,28,27,27,834000
27/12/2005,27,28,27,27,251500
28/12/2005,29,29,27,29,1894500
29/12/2005,28,29,28,28,1567000
02/01/2006,28,28,27,28,685500
03/01/2006,28,29,28,28,1173500
04/01/2006,31,31,29,31,7373500
05/01/2006,32,33,30,32,8387500
06/01/2006,32,33,32,32,1931500
09/01/2006,32,33,32,32,1345500
11/01/2006,32,32,32,32,136500
12/01/2006,31,33,31,31,2159000
13/01/2006,31,32,31,31,2304000
16/01/2006,31,31,31,31,259500
17/01/2006,30,31,29,30,242500
18/01/2006,29,30,29,29,887000
19/01/2006,30,31,29,30,777500
20/01/2006,29,30,29,29,230000
23/01/2006,29,30,28,29,424000
24/01/2006,28,29,28,28,112000
25/01/2006,29,29,29,29,110000
26/01/2006,30,30,29,30,561000
27/01/2006,29,30,29,29,412000
30/01/2006,29,30,29,29,1045000
01/02/2006,29,29,29,29,954000
02/02/2006,29,29,29,29,357000
03/02/2006,28,29,28,28,923000
06/02/2006,29,29,28,29,330000
07/02/2006,29,29,28,29,2047000
08/02/2006,29,29,29,29,955500
09/02/2006,29,29,29,29,18500
10/02/2006,29,29,29,29,383000
13/02/2006,28,29,28,28,91500
14/02/2006,28,28,28,28,303500
15/02/2006,27,28,27,27,343000
16/02/2006,28,28,27,28,330000
17/02/2006,27,28,27,27,266000
20/02/2006,27,28,27,27,488500
21/02/2006,26,27,26,26,447000
22/02/2006,26,26,25,26,498500
23/02/2006,25,26,25,25,1346000
24/02/2006,25,25,25,25,219000
27/02/2006,26,26,25,26,934500
28/02/2006,25,26,25,25,568500
01/03/2006,26,28,25,26,8931000
02/03/2006,27,27,26,27,3650500
03/03/2006,27,27,27,27,1227500
06/03/2006,26,28,25,26,8931000
07/03/2006,27,27,26,27,834500
08/03/2006,26,26,26,26,461000
09/03/2006,26,26,26,26,176000
10/03/2006,26,26,26,26,135000
13/03/2006,26,26,26,26,325000
14/03/2006,26,26,26,26,104500
15/03/2006,26,26,26,26,211000
16/03/2006,26,27,26,26,3795000
17/03/2006,27,27,27,27,1955000
20/03/2006,27,27,26,27,770500
21/03/2006,27,28,26,28,5463500
22/03/2006,27,27,27,27,2523000
23/03/2006,27,27,27,27,1113000
24/03/2006,27,28,27,27,3451500
27/03/2006,27,27,27,27,3044000
28/03/2006,27,28,27,27,4219500
29/03/2006,27,27,26,27,1853000
03/04/2006,26,27,26,26,466000
04/04/2006,27,27,26,27,816000
05/04/2006,28,28,27,28,6028000
06/04/2006,28,29,28,28,8383000
07/04/2006,29,30,28,29,8173000
11/04/2006,28,29,28,28,996500
12/04/2006,28,29,28,28,1716000
13/04/2006,28,29,28,28,3275000
17/04/2006,29,29,28,29,1585000
18/04/2006,30,30,29,30,9712000
19/04/2006,31,32,30,31,14025000
20/04/2006,31,32,31,31,4558500
21/04/2006,31,31,30,31,2321500
24/04/2006,31,31,30,30,1015500
25/04/2006,34,34,30,34,9084000
26/04/2006,36,37,34,36,17844500
27/04/2006,34,37,34,34,8209500
28/04/2006,34,36,34,35,7017000
01/05/2006,35,36,34,35,3148000
02/05/2006,35,35,34,35,497500
03/05/2006,35,35,34,35,1859500
04/05/2006,35,36,35,35,4968500
08/05/2006,39,40,38,39,9915500
09/05/2006,40,42,39,40,15352500
10/05/2006,39,40,39,39,931000
11/05/2006,39,40,39,39,1048000
12/05/2006,39,40,38,39,2085500
15/05/2006,33,37,33,33,1845500
16/05/2006,36,36,31,36,1298500
17/05/2006,37,38,36,37,581000
22/05/2006,31,34,31,31,197500
23/05/2006,34,34,29,34,348500
24/05/2006,34,34,33,34,110500
30/05/2006,35,36,34,35,356500
31/05/2006,35,35,34,35,21500
01/06/2006,34,34,34,34,25500
02/06/2006,34,34,34,34,54000
05/06/2006,34,34,34,34,4500
06/06/2006,34,34,34,34,20000
07/06/2006,34,34,34,34,0
08/06/2006,30,32,30,30,113000
09/06/2006,30,31,30,30,205000
12/06/2006,30,30,30,30,262000
13/06/2006,30,30,30,30,176500
14/06/2006,30,30,29,30,142500
15/06/2006,30,30,30,30,130500
16/06/2006,32,32,30,32,66500
19/06/2006,32,32,32,32,0
20/06/2006,33,33,31,33,30000
21/06/2006,32,32,32,32,96500
22/06/2006,33,33,33,33,15000
23/06/2006,33,33,32,33,8500
26/06/2006,33,33,33,33,1000
27/06/2006,32,32,32,32,302500
