x,open,high,low,close
2010-10-07T00:00:00.000,3000,3100,2850,2975
2010-10-08T00:00:00.000,3000,3000,2825,2850
2010-10-11T00:00:00.000,2800,2850,2600,2725
2010-10-12T00:00:00.000,2725,2875,2650,2775
2010-10-13T00:00:00.000,2750,2825,2750,2800
2010-10-14T00:00:00.000,2825,2850,2725,2775
2010-10-15T00:00:00.000,2775,2800,2725,2725
2010-10-18T00:00:00.000,2725,2750,2675,2725
2010-10-19T00:00:00.000,2725,2725,2650,2675
2010-10-20T00:00:00.000,2650,2700,2625,2700
2010-10-21T00:00:00.000,2700,2700,2675,2675
2010-10-22T00:00:00.000,2675,2675,2575,2600
2010-10-25T00:00:00.000,2575,2800,2575,2775
2010-10-26T00:00:00.000,2775,2825,2700,2750
2010-10-27T00:00:00.000,2750,2775,2700,2775
2010-10-28T00:00:00.000,2800,2900,2775,2875
2010-10-29T00:00:00.000,2825,2875,2825,2850
2010-11-01T00:00:00.000,2850,2875,2775,2775
2010-11-02T00:00:00.000,2775,2775,2675,2700
2010-11-03T00:00:00.000,2700,2700,2625,2650
2010-11-04T00:00:00.000,2650,2675,2600,2625
2010-11-05T00:00:00.000,2650,2650,2575,2600
2010-11-08T00:00:00.000,2625,2700,2625,2700
2010-11-09T00:00:00.000,2675,2675,2600,2625
2010-11-10T00:00:00.000,2600,2650,2600,2625
2010-11-11T00:00:00.000,2625,2625,2550,2625
2010-11-12T00:00:00.000,2600,2650,2500,2600
2010-11-15T00:00:00.000,2600,2600,2525,2575
2010-11-16T00:00:00.000,2575,2675,2550,2675
2010-11-18T00:00:00.000,2675,2675,2600,2650
2010-11-19T00:00:00.000,2650,2700,2600,2700
2010-11-22T00:00:00.000,2700,2700,2650,2675
2010-11-23T00:00:00.000,2650,2675,2575,2575
2010-11-24T00:00:00.000,2575,2600,2525,2550
2010-11-25T00:00:00.000,2525,2575,2525,2550
2010-11-26T00:00:00.000,2550,2600,2550,2600
2010-11-29T00:00:00.000,2575,2600,2550,2575
2010-11-30T00:00:00.000,2575,2600,2525,2550
2010-12-01T00:00:00.000,2550,2575,2525,2550
2010-12-02T00:00:00.000,2550,2600,2550,2575
2010-12-03T00:00:00.000,2575,2600,2500,2525
2010-12-06T00:00:00.000,2525,2550,2425,2437.5
2010-12-08T00:00:00.000,2437.5,2437.5,2350,2375
