x,open,high,low,close
2007-11-12T00:00:00.000,1800,2070,1700,2050
2007-11-13T00:00:00.000,2200,2200,2000,2025
2007-11-14T00:00:00.000,2075,2075,2000,2025
2007-11-15T00:00:00.000,2025,2050,1975,2025
2007-11-16T00:00:00.000,2000,2000,1975,2000
2007-11-19T00:00:00.000,2000,2000,1975,1975
2007-11-20T00:00:00.000,1950,1970,1930,1970
2007-11-21T00:00:00.000,1970,1970,1830,1840
2007-11-22T00:00:00.000,1840,1890,1800,1850
2007-11-23T00:00:00.000,1850,1870,1840,1850
2007-11-26T00:00:00.000,1870,2000,1870,1960
2007-11-27T00:00:00.000,1920,1960,1920,1940
2007-11-28T00:00:00.000,1940,1960,1920,1930
2007-11-29T00:00:00.000,1960,1990,1930,1930
2007-11-30T00:00:00.000,1940,1950,1920,1930
2007-12-03T00:00:00.000,1940,1950,1920,1930
2007-12-04T00:00:00.000,1930,1980,1930,1970
2007-12-05T00:00:00.000,1970,2030,1960,2030
2007-12-06T00:00:00.000,2050,2050,1975,2025
2007-12-07T00:00:00.000,2025,2025,1950,1975
2007-12-10T00:00:00.000,1980,1990,1920,1940
2007-12-11T00:00:00.000,1950,1960,1940,1950
2007-12-12T00:00:00.000,1940,1960,1940,1950
2007-12-13T00:00:00.000,1950,1950,1940,1940
2007-12-14T00:00:00.000,1940,1950,1920,1930
2007-12-17T00:00:00.000,1920,1920,1890,1910
2007-12-18T00:00:00.000,1890,1910,1880,1910
2007-12-19T00:00:00.000,1910,1910,1890,1910
2007-12-26T00:00:00.000,1940,1950,1920,1920
2007-12-27T00:00:00.000,1920,1960,1920,1930
2007-12-28T00:00:00.000,1930,1930,1890,1900
2008-01-02T00:00:00.000,1900,1930,1900,1930
2008-01-03T00:00:00.000,1910,1910,1890,1910
2008-01-04T00:00:00.000,1900,1930,1890,1930
2008-01-07T00:00:00.000,1910,2000,1910,2000
2008-01-08T00:00:00.000,2025,2025,1925,1950
2008-01-09T00:00:00.000,1920,1950,1920,1940
2008-01-14T00:00:00.000,1930,1940,1890,1910
2008-01-15T00:00:00.000,1920,1930,1860,1870
2008-01-16T00:00:00.000,1880,1880,1780,1820
2008-01-17T00:00:00.000,1850,1860,1800,1850
2008-01-18T00:00:00.000,1800,1830,1790,1810
2008-01-21T00:00:00.000,1810,1810,1720,1730
2008-01-22T00:00:00.000,1680,1690,1560,1640
2008-01-23T00:00:00.000,1700,1780,1660,1700
2008-01-24T00:00:00.000,1710,1790,1690,1760
2008-01-25T00:00:00.000,1780,1810,1770,1800
2008-01-28T00:00:00.000,1780,1780,1720,1740
2008-01-29T00:00:00.000,1760,1760,1720,1730
2008-01-30T00:00:00.000,1750,1750,1720,1730
2008-01-31T00:00:00.000,1730,1760,1720,1750
2008-02-01T00:00:00.000,1760,1760,1730,1740
2008-02-04T00:00:00.000,1760,1790,1730,1780
2008-02-05T00:00:00.000,1760,1780,1750,1760
2008-02-06T00:00:00.000,1700,1740,1700,1720
2008-02-11T00:00:00.000,1700,1710,1690,1700
2008-02-12T00:00:00.000,1700,1710,1680,1690
2008-02-13T00:00:00.000,1700,1730,1690,1690
2008-02-14T00:00:00.000,1710,1720,1700,1710
2008-02-15T00:00:00.000,1690,1720,1690,1710
