x,open,high,low,close
2001-03-20T00:00:00.000,362,362,358,358
2002-12-23T00:00:00.000,120,120,115,120
2002-12-27T00:00:00.000,120,120,115,120
2003-01-02T00:00:00.000,120,120,110,115
2003-01-03T00:00:00.000,115,115,110,115
2003-01-06T00:00:00.000,110,115,105,105
2003-01-07T00:00:00.000,110,110,105,110
2003-01-08T00:00:00.000,105,110,105,110
2003-01-09T00:00:00.000,110,110,105,105
2003-01-10T00:00:00.000,105,110,105,110
2003-01-13T00:00:00.000,110,110,105,110
2003-01-14T00:00:00.000,110,110,105,110
2003-01-15T00:00:00.000,110,110,105,110
2003-01-16T00:00:00.000,105,110,105,110
2003-01-17T00:00:00.000,105,110,105,110
2003-01-20T00:00:00.000,105,110,105,110
2003-01-21T00:00:00.000,110,110,105,110
2003-01-22T00:00:00.000,105,110,105,110
2003-01-23T00:00:00.000,110,110,105,110
2003-01-24T00:00:00.000,105,110,105,110
2003-01-27T00:00:00.000,105,110,105,110
2003-01-28T00:00:00.000,105,110,105,110
2003-01-29T00:00:00.000,105,110,105,110
2003-01-30T00:00:00.000,105,110,105,110
2003-01-31T00:00:00.000,105,110,105,110
2003-02-03T00:00:00.000,105,105,105,105
2003-02-04T00:00:00.000,105,110,105,110
2003-02-05T00:00:00.000,105,110,105,110
2003-02-06T00:00:00.000,110,110,105,110
2003-02-07T00:00:00.000,105,110,105,110
2003-02-10T00:00:00.000,105,110,105,110
2003-02-11T00:00:00.000,105,110,105,110
2003-02-13T00:00:00.000,105,110,105,110
2003-02-14T00:00:00.000,105,110,105,110
2003-02-17T00:00:00.000,110,110,105,110
2003-02-18T00:00:00.000,110,110,110,110
2003-02-19T00:00:00.000,105,110,105,110
2003-02-21T00:00:00.000,105,105,100,105
2003-02-24T00:00:00.000,105,105,100,105
2003-02-25T00:00:00.000,105,105,105,105
2003-02-26T00:00:00.000,100,105,100,105
2003-02-27T00:00:00.000,100,105,100,105
2003-02-28T00:00:00.000,95,100,95,100
2003-03-04T00:00:00.000,95,95,95,95
2003-03-05T00:00:00.000,95,96,95,96
2003-03-06T00:00:00.000,95,96,95,95
2003-03-10T00:00:00.000,95,95,95,95
2003-03-11T00:00:00.000,95,95,95,95
2003-03-12T00:00:00.000,95,96,95,96
2003-03-13T00:00:00.000,97,97,95,95
2003-03-14T00:00:00.000,96,99,96,97
2003-03-17T00:00:00.000,100,100,96,96
2003-03-18T00:00:00.000,96,97,96,97
2003-03-19T00:00:00.000,96,97,96,97
2003-03-20T00:00:00.000,97,98,96,98
2003-03-21T00:00:00.000,98,102,98,101
2003-03-24T00:00:00.000,100,105,100,105
2003-03-25T00:00:00.000,100,105,100,105
2003-03-26T00:00:00.000,100,105,100,105
2003-03-27T00:00:00.000,100,110,100,110
2003-03-28T00:00:00.000,105,110,105,110
2003-03-31T00:00:00.000,105,115,105,110
2003-04-01T00:00:00.000,110,110,105,110
2003-04-03T00:00:00.000,110,110,105,105
2003-04-04T00:00:00.000,100,105,100,105
2003-04-07T00:00:00.000,100,105,100,105
2003-04-08T00:00:00.000,100,105,100,105
2003-04-09T00:00:00.000,100,105,100,105
2003-04-10T00:00:00.000,100,105,100,105
2003-04-11T00:00:00.000,100,105,100,105
2003-04-14T00:00:00.000,100,105,100,105
2003-04-15T00:00:00.000,100,105,100,105
2003-04-16T00:00:00.000,100,105,100,105
2003-04-17T00:00:00.000,100,105,100,105
