Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
477,478,8:45:00,INDF,B,RG,6025,5,5,D,,Open
4265,4266,8:45:00,INDF,B,RG,6025,1,1,D,,Open
7470,7471,8:45:00,INDF,B,RG,6025,4,4,D,,Open
9629,9630,8:45:00,INDF,B,RG,6025,2,2,D,,Open
11041,11042,8:45:00,INDF,B,RG,6025,20,20,D,,Open
12424,12425,8:45:00,INDF,B,RG,6025,1,1,D,,Open
16965,16966,8:45:01,INDF,B,RG,6025,1,1,D,,Open
18824,18825,8:45:01,INDF,B,RG,6025,10,10,D,,Open
21908,21909,8:45:01,INDF,B,RG,6025,10,0,D,,Withdrawn
24231,24232,8:45:01,INDF,B,RG,6025,200,200,D,,Open
25469,25470,8:45:01,INDF,B,RG,6025,16,16,D,,Open
28699,28700,8:45:02,INDF,B,RG,6025,4,4,D,,Open
30809,30810,8:45:03,INDF,B,RG,6025,50,50,D,,Open
30915,30916,8:45:03,INDF,B,RG,6025,41,41,D,,Open
31326,31327,8:45:03,INDF,B,RG,6025,3,3,D,,Open
32216,32217,8:45:03,INDF,B,RG,6025,16,16,D,,Open
33752,33753,8:45:03,INDF,B,RG,6025,20,20,F,,Open
35087,35088,8:45:03,INDF,B,RG,6025,25,25,D,,Open
38689,38690,8:45:04,INDF,B,RG,6025,25,25,D,,Open
38922,38923,8:45:05,INDF,B,RG,6025,20,20,D,,Open
38924,38925,8:45:05,INDF,B,RG,6025,20,20,D,,Open
41498,41499,8:45:06,INDF,B,RG,6025,1,1,D,,Open
43742,43743,8:45:07,INDF,B,RG,6025,10,10,D,,Open
44328,44329,8:45:08,INDF,B,RG,6025,5,5,D,,Open
46426,46427,8:45:10,INDF,B,RG,6025,2,0,D,,Withdrawn
48568,48569,8:45:14,INDF,B,RG,6025,8,8,D,,Open
48570,48571,8:45:14,INDF,B,RG,6025,2,2,D,,Open
48988,48989,8:45:14,INDF,B,RG,6025,5,5,D,,Open
