Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
767,768,8:45:00,INDF,B,RG,6175,100,100,D,,Open
4174,4175,8:45:00,INDF,B,RG,6175,1,1,D,,Open
9834,9835,8:45:00,INDF,B,RG,6175,10,10,D,,Open
11287,11288,8:45:00,INDF,B,RG,6175,1,1,D,,Open
11996,11997,8:45:00,INDF,B,RG,6175,10,10,D,,Open
12882,12883,8:45:00,INDF,B,RG,6175,10,10,D,,Open
15232,15233,8:45:00,INDF,B,RG,6175,50,50,D,,Open
15490,15491,8:45:00,INDF,B,RG,6175,1,1,D,,Open
17788,17789,8:45:01,INDF,B,RG,6175,100,100,D,,Open
18256,18257,8:45:01,INDF,B,RG,6175,1,1,D,,Open
18440,18441,8:45:01,INDF,B,RG,6175,10,10,D,,Open
18900,18901,8:45:01,INDF,B,RG,6175,40,40,D,,Open
21290,21291,8:45:01,INDF,B,RG,6175,100,100,D,,Open
21895,21896,8:45:01,INDF,B,RG,6175,4,4,D,,Open
23123,23124,8:45:01,INDF,B,RG,6175,2,2,D,,Open
23216,23217,8:45:01,INDF,B,RG,6175,1,1,D,,Open
29981,29982,8:45:01,INDF,B,RG,6175,15,15,D,,Open
34174,34175,8:45:02,INDF,B,RG,6175,10,10,F,,Open
36327,36328,8:45:02,INDF,B,RG,6175,20,20,D,,Open
44953,44954,8:45:03,INDF,B,RG,6175,4,4,D,,Open
46335,46336,8:45:04,INDF,B,RG,6175,2,2,D,,Open
49906,49907,8:45:05,INDF,B,RG,6175,25,25,D,,Open
54822,54823,8:45:08,INDF,B,RG,6175,5,5,D,,Open
56788,56789,8:45:11,INDF,B,RG,6175,25,25,D,,Open
57064,57065,8:45:11,INDF,B,RG,6175,1,1,D,,Open
57226,57227,8:45:12,INDF,B,RG,6175,25,25,D,,Open
57318,57319,8:45:12,INDF,B,RG,6175,5,5,D,,Open
57645,57646,8:45:12,INDF,B,RG,6175,8,8,D,,Open
59503,59504,8:45:15,INDF,B,RG,6175,8,8,D,,Open
60933,60934,8:45:16,INDF,B,RG,6175,1,1,D,,Open
62978,62979,8:45:20,INDF,B,RG,6175,5,5,D,,Open
68623,68624,8:50:02,INDF,B,RG,6175,10,10,D,,Open
71367,71368,8:53:41,INDF,B,RG,6175,2,2,D,,Open
281265,281266,9:00:19,INDF,B,RG,6175,2,2,D,,Open
474571,474572,9:06:21,INDF,B,RG,6175,1,1,D,,Open
619654,619655,9:13:00,INDF,B,RG,6175,8,0,D,,Withdrawn
622941,622942,9:13:11,INDF,B,RG,6175,18,18,D,,Open
710628,710629,9:18:08,INDF,B,RG,6175,300,0,D,,Amended
710628,713784,9:18:20,INDF,B,RG,6175,200,200,D,,Open
943427,943428,9:34:12,INDF,B,RG,6175,5,5,D,,Open
1006772,1006773,9:39:30,INDF,B,RG,6175,10,10,D,,Open
1275454,1275455,10:06:21,INDF,B,RG,6175,1,1,D,,Open
1618025,1618026,10:51:53,INDF,B,RG,6175,30,30,D,,Open
1879184,1879185,13:30:04,INDF,B,RG,6175,2,2,D,,Open
2406888,2406889,14:35:44,INDF,B,RG,6175,1,1,D,,Open
2517539,2517540,14:48:34,INDF,B,RG,6175,1,1,D,,Open
823,824,8:45:00,INDF,B,RG,6200,100,100,D,,Open
1049,1050,8:45:00,INDF,B,RG,6200,1,1,D,,Open
2935,2936,8:45:00,INDF,B,RG,6200,3,3,D,,Open
2976,2977,8:45:00,INDF,B,RG,6200,2,2,D,,Open
4261,4262,8:45:00,INDF,B,RG,6200,15,15,D,,Open
4573,4574,8:45:00,INDF,B,RG,6200,1,1,D,,Open
6379,6380,8:45:00,INDF,B,RG,6200,2000,2000,D,,Open
7682,7683,8:45:00,INDF,B,RG,6200,30,30,D,,Open
7937,7938,8:45:00,INDF,B,RG,6200,1,1,D,,Open
9056,9057,8:45:00,INDF,B,RG,6200,1000,1000,D,,Open
9620,9621,8:45:00,INDF,B,RG,6200,50,50,D,,Open
9789,9790,8:45:00,INDF,B,RG,6200,1,1,D,,Open
9995,9996,8:45:00,INDF,B,RG,6200,10,10,D,,Open
10619,10620,8:45:00,INDF,B,RG,6200,1,1,D,,Open
11236,11237,8:45:00,INDF,B,RG,6200,1,1,D,,Open
15265,15266,8:45:00,INDF,B,RG,6200,1,1,D,,Open
15461,15462,8:45:00,INDF,B,RG,6200,20,20,D,,Open
15513,15514,8:45:00,INDF,B,RG,6200,5,0,D,,Withdrawn
15699,15700,8:45:00,INDF,B,RG,6200,1,1,D,,Open
