Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
5724,5725,8:45:00,INDF,B,RG,6250,2,2,D,,Open
8367,8368,8:45:00,INDF,B,RG,6250,1,1,D,,Open
11353,11354,8:45:00,INDF,B,RG,6250,10,10,D,,Open
15197,15198,8:45:00,INDF,B,RG,6250,5,5,D,,Open
15268,15269,8:45:00,INDF,B,RG,6250,10,0,D,,Withdrawn
15785,15786,8:45:01,INDF,B,RG,6250,50,50,D,,Open
16070,16071,8:45:01,INDF,B,RG,6250,10,10,D,,Open
20628,20629,8:45:01,INDF,B,RG,6250,8,8,D,,Open
24960,24961,8:45:01,INDF,B,RG,6250,2,0,D,,Amended
31785,31786,8:45:02,INDF,B,RG,6250,5,5,D,,Open
33954,33955,8:45:02,INDF,B,RG,6250,1,1,D,,Open
36370,36371,8:45:02,INDF,B,RG,6250,5,5,D,,Open
37721,37722,8:45:02,INDF,B,RG,6250,10,0,F,,Withdrawn
46063,46064,8:45:03,INDF,B,RG,6250,15,15,D,,Open
46538,46539,8:45:03,INDF,B,RG,6250,20,20,D,,Open
48379,48380,8:45:04,INDF,B,RG,6250,30,30,D,,Open
55444,55445,8:45:06,INDF,B,RG,6250,9,9,D,,Open
56108,56109,8:45:06,INDF,B,RG,6250,1,1,D,,Open
57338,57339,8:45:07,INDF,B,RG,6250,25,25,D,,Open
59076,59077,8:45:08,INDF,B,RG,6250,1,1,D,,Open
59296,59297,8:45:08,INDF,B,RG,6250,10,10,D,,Open
59584,59585,8:45:09,INDF,B,RG,6250,15,15,D,,Open
60521,60522,8:45:09,INDF,B,RG,6250,5,5,D,,Open
64682,64683,8:45:14,INDF,B,RG,6250,2,2,D,,Open
64931,64932,8:45:15,INDF,B,RG,6250,50,50,D,,Open
65887,65888,8:45:16,INDF,B,RG,6250,3,3,D,,Open
66550,66551,8:45:17,INDF,B,RG,6250,1,1,D,,Open
71690,71691,8:46:22,INDF,B,RG,6250,1,1,D,,Open
75483,75484,8:50:48,INDF,B,RG,6250,20,20,D,,Open
76759,76760,8:52:07,INDF,B,RG,6250,5,5,D,,Open
78339,78340,8:53:40,INDF,B,RG,6250,88,88,D,,Open
79075,79076,8:54:24,INDF,B,RG,6250,1,1,D,,Open
355473,355474,9:02:06,INDF,B,RG,6250,10,10,D,,Open
360437,360438,9:02:16,INDF,B,RG,6250,10,10,D,,Open
