Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
1331,1332,8:45:00,JSMR,B,RG,4000,100,100,D,,Open
1886,1887,8:45:00,JSMR,B,RG,4000,100,100,D,,Open
5685,5686,8:45:00,JSMR,B,RG,4000,10,10,D,,Open
10206,10207,8:45:00,JSMR,B,RG,4000,2,2,D,,Open
13816,13817,8:45:00,JSMR,B,RG,4000,4,4,D,,Open
13819,13820,8:45:00,JSMR,B,RG,4000,15,15,D,,Open
17858,17859,8:45:01,JSMR,B,RG,4000,30,30,D,,Open
23826,23827,8:45:01,JSMR,B,RG,4000,20,0,D,,Withdrawn
32152,32153,8:45:02,JSMR,B,RG,4000,20,20,D,,Open
32376,32377,8:45:02,JSMR,B,RG,4000,50,0,D,,Withdrawn
32379,32380,8:45:02,JSMR,B,RG,4000,10,10,D,,Open
32465,32466,8:45:02,JSMR,B,RG,4000,10,10,D,,Open
32737,32738,8:45:02,JSMR,B,RG,4000,100,100,D,,Open
37333,37334,8:45:02,JSMR,B,RG,4000,2,2,D,,Open
40690,40691,8:45:03,JSMR,B,RG,4000,1,1,D,,Open
50387,50388,8:45:06,JSMR,B,RG,4000,10,10,D,,Open
54058,54059,8:45:07,JSMR,B,RG,4000,3,3,D,,Open
56917,56918,8:45:10,JSMR,B,RG,4000,10,10,D,,Open
58462,58463,8:45:11,JSMR,B,RG,4000,10,10,D,,Open
58708,58709,8:45:12,JSMR,B,RG,4000,25,0,D,,Withdrawn
58985,58986,8:45:12,JSMR,B,RG,4000,10,10,D,,Open
61637,61638,8:45:16,JSMR,B,RG,4000,2,2,D,,Open
61867,61868,8:45:16,JSMR,B,RG,4000,8,8,D,,Open
62495,62496,8:45:17,JSMR,B,RG,4000,25,25,D,,Open
62843,62844,8:45:18,JSMR,B,RG,4000,2,0,D,,Withdrawn
63667,63668,8:45:19,JSMR,B,RG,4000,10,10,D,,Open
66953,66954,8:46:10,JSMR,B,RG,4000,25,25,D,,Open
72882,72883,8:54:09,JSMR,B,RG,4000,1,1,D,,Open
432788,432789,9:05:44,JSMR,B,RG,4000,450,450,D,,Open
448668,448669,9:06:25,JSMR,B,RG,4000,10,10,D,,Open
477371,477372,9:07:44,JSMR,B,RG,4000,100,100,D,,Open
481234,481235,9:07:56,JSMR,B,RG,4000,5,5,D,,Open
698709,698710,9:20:34,JSMR,B,RG,4000,1,1,D,,Open
804622,804623,9:28:22,JSMR,B,RG,4000,5000,5000,D,,Open
901747,901748,9:36:22,JSMR,B,RG,4000,10,10,D,,Open
1067214,1067215,9:53:10,JSMR,B,RG,4000,50,50,D,,Open
1157516,1157517,10:03:40,JSMR,B,RG,4000,5,5,D,,Open
1183996,1183997,10:06:57,JSMR,B,RG,4000,5,5,D,,Open
1344154,1344155,10:26:03,JSMR,B,RG,4000,1,1,D,,Open
1361609,1361610,10:28:28,JSMR,B,RG,4000,1,1,D,,Open
1636105,1636106,11:18:47,JSMR,B,RG,4000,2,2,D,,Open
1691210,1691211,13:30:03,JSMR,B,RG,4000,1,1,D,,Open
1759156,1759157,13:35:13,JSMR,B,RG,4000,1,1,D,,Open
1809741,1809742,13:42:51,JSMR,B,RG,4000,10,10,D,,Open
1915829,1915830,13:59:04,JSMR,B,RG,4000,2,2,D,,Open
1922419,1922420,14:00:13,JSMR,B,RG,4000,20000,0,D,,Withdrawn
2223235,2223236,14:46:08,JSMR,B,RG,4000,1,1,D,,Open
2223520,2223521,14:46:10,JSMR,B,RG,4000,1,1,D,,Open
2223593,2223594,14:46:11,JSMR,B,RG,4000,1,1,D,,Open
2248954,2248955,14:48:51,JSMR,B,RG,4000,25,25,F,,Open
2277549,2277550,14:52:26,JSMR,B,RG,4000,50,50,D,,Open
13767,13768,8:45:00,JSMR,B,RG,4010,10,10,D,,Open
18654,18655,8:45:01,JSMR,B,RG,4010,25,25,D,,Open
40862,40863,8:45:03,JSMR,B,RG,4010,1,1,D,,Open
56888,56889,8:45:10,JSMR,B,RG,4010,1,0,D,,Withdrawn
62518,62519,8:45:17,JSMR,B,RG,4010,25,25,D,,Open
62839,62840,8:45:18,JSMR,B,RG,4010,2,0,D,,Withdrawn
158682,158683,9:00:05,JSMR,B,RG,4010,20,20,D,,Open
789884,789885,9:27:13,JSMR,B,RG,4010,10,0,D,,Withdrawn
804602,804603,9:28:22,JSMR,B,RG,4010,5000,5000,D,,Open
1418533,1418534,10:36:44,JSMR,B,RG,4010,10,10,D,,Open
1445076,1445077,10:40:41,JSMR,B,RG,4010,9,0,D,,Withdrawn
1922418,1922419,14:00:13,JSMR,B,RG,4010,20000,0,D,,Withdrawn
53097,53098,8:45:07,JSMR,B,RG,4020,1,1,D,,Open
62829,62830,8:45:18,JSMR,B,RG,4020,2,0,D,,Withdrawn
70545,70546,8:51:14,JSMR,B,RG,4020,5,5,D,,Open
346007,346008,9:01:57,JSMR,B,RG,4020,2,2,D,,Open
804601,804602,9:28:22,JSMR,B,RG,4020,5000,5000,D,,Open
1922414,1922415,14:00:13,JSMR,B,RG,4020,20000,0,D,,Withdrawn
2314110,2314111,14:59:55,JSMR,B,RG,4020,193,0,F,,Withdrawn
33486,33487,8:45:02,JSMR,B,RG,4030,13,13,D,,Open
62828,62829,8:45:18,JSMR,B,RG,4030,2,0,D,,Withdrawn
1419631,1419632,10:36:54,JSMR,B,RG,4030,124,124,D,,Open
1622672,1622673,11:15:48,JSMR,B,RG,4030,10,10,D,,Open
25928,25929,8:45:01,JSMR,B,RG,4040,30,30,D,,Open
30613,30614,8:45:02,JSMR,B,RG,4040,6,6,D,,Open
41077,41078,8:45:03,JSMR,B,RG,4040,1,1,D,,Open
62831,62832,8:45:18,JSMR,B,RG,4040,2,0,D,,Withdrawn
65630,65631,8:45:28,JSMR,B,RG,4040,3,0,D,,Withdrawn
2109261,2109262,14:29:58,JSMR,B,RG,4040,30,0,D,,Amended
6272,6273,8:45:00,JSMR,B,RG,4050,3,3,D,,Open
8860,8861,8:45:00,JSMR,B,RG,4050,4,4,D,,Open
23236,23237,8:45:01,JSMR,B,RG,4050,5,5,D,,Open
23550,23551,8:45:01,JSMR,B,RG,4050,1,1,D,,Open
25560,25561,8:45:01,JSMR,B,RG,4050,1,1,D,,Open
32491,32492,8:45:02,JSMR,B,RG,4050,30,30,D,,Open
40045,40046,8:45:03,JSMR,B,RG,4050,14,14,D,,Open
45252,45253,8:45:04,JSMR,B,RG,4050,1,1,D,,Open
47611,47612,8:45:04,JSMR,B,RG,4050,10,10,D,,Open
62830,62831,8:45:18,JSMR,B,RG,4050,2,0,D,,Withdrawn
71449,71450,8:52:19,JSMR,B,RG,4050,100,100,D,,Open
450108,450109,9:06:29,JSMR,B,RG,4050,1,1,D,,Open
451954,451955,9:06:34,JSMR,B,RG,4050,5,5,D,,Open
491689,491690,9:08:26,JSMR,B,RG,4050,20,20,D,,Open
511607,511608,9:09:21,JSMR,B,RG,4050,10,10,D,,Open
1444507,1444508,10:40:35,JSMR,B,RG,4050,7,0,D,,Withdrawn
1717156,1717157,13:30:06,JSMR,B,RG,4050,25,25,D,,Open
1789307,1789308,13:39:42,JSMR,B,RG,4050,10,10,D,,Open
1870379,1870380,13:51:52,JSMR,B,RG,4050,555,555,D,,Open
2314066,2314067,14:59:54,JSMR,B,RG,4050,192,0,F,,Withdrawn
7810,7811,8:45:00,JSMR,B,RG,4060,4,4,D,,Open
16779,16780,8:45:01,JSMR,B,RG,4060,5,5,D,,Open
62823,62824,8:45:18,JSMR,B,RG,4060,2,0,D,,Withdrawn
69134,69135,8:49:25,JSMR,B,RG,4060,50,50,D,,Open
491277,491278,9:08:25,JSMR,B,RG,4060,1,1,D,,Open
767415,767416,9:25:29,JSMR,B,RG,4060,1000,1000,D,,Open
791437,791438,9:27:20,JSMR,B,RG,4060,10,0,D,,Withdrawn
982231,982232,9:44:08,JSMR,B,RG,4060,25,25,D,,Open
4769,4770,8:45:00,JSMR,B,RG,4070,1,1,D,,Open
59114,59115,8:45:12,JSMR,B,RG,4070,5,5,D,,Open
62810,62811,8:45:18,JSMR,B,RG,4070,2,0,D,,Withdrawn
62984,62985,8:45:18,JSMR,B,RG,4070,8,8,D,,Open
213867,213868,9:00:09,JSMR,B,RG,4070,30,30,D,,Open
12879,12880,8:45:00,JSMR,B,RG,4080,30,30,D,,Open
30233,30234,8:45:02,JSMR,B,RG,4080,2,2,D,,Open
32459,32460,8:45:02,JSMR,B,RG,4080,37,37,D,,Open
33289,33290,8:45:02,JSMR,B,RG,4080,2,2,D,,Open
35010,35011,8:45:02,JSMR,B,RG,4080,20,20,D,,Open
46032,46033,8:45:04,JSMR,B,RG,4080,10,10,D,,Open
53347,53348,8:45:07,JSMR,B,RG,4080,1,1,D,,Open
54258,54259,8:45:07,JSMR,B,RG,4080,20,0,D,,Amended
62820,62821,8:45:18,JSMR,B,RG,4080,2,0,D,,Withdrawn
66774,66775,8:46:04,JSMR,B,RG,4080,200,200,D,,Open
900514,900515,9:36:15,JSMR,B,RG,4080,10,10,D,,Open
901366,901367,9:36:20,JSMR,B,RG,4080,1,1,D,,Open
1032014,1032015,9:49:16,JSMR,B,RG,4080,250,250,D,,Open
1089980,1089981,9:55:41,JSMR,B,RG,4080,1,1,D,,Open
1243522,1243523,10:14:31,JSMR,B,RG,4080,25,25,D,,Open
1443816,1443817,10:40:30,JSMR,B,RG,4080,4,0,D,,Withdrawn
2200880,2200881,14:43:25,JSMR,B,RG,4080,30,30,D,,Open
26699,26700,8:45:01,JSMR,B,RG,4090,30,0,D,,Amended
37506,37507,8:45:02,JSMR,B,RG,4090,50,50,D,,Open
43760,43761,8:45:03,JSMR,B,RG,4090,2,2,D,,Open
62799,62800,8:45:18,JSMR,B,RG,4090,2,0,D,,Withdrawn
2313879,2313880,14:59:52,JSMR,B,RG,4090,172,0,F,,Withdrawn
6207,6208,8:45:00,JSMR,B,RG,4100,10,10,D,,Open
17148,17149,8:45:01,JSMR,B,RG,4100,500,500,D,,Open
17616,17617,8:45:01,JSMR,B,RG,4100,5,5,D,,Open
24448,24449,8:45:01,JSMR,B,RG,4100,10,10,D,,Open
36162,36163,8:45:02,JSMR,B,RG,4100,1,1,D,,Open
43751,43752,8:45:03,JSMR,B,RG,4100,2,2,D,,Open
47616,47617,8:45:04,JSMR,B,RG,4100,5,5,D,,Open
54158,54159,8:45:07,JSMR,B,RG,4100,30,30,D,,Open
56811,56812,8:45:10,JSMR,B,RG,4100,60,60,D,,Open
57021,57022,8:45:10,JSMR,B,RG,4100,1,0,D,,Withdrawn
61426,61427,8:45:15,JSMR,B,RG,4100,1,1,D,,Open
62797,62798,8:45:18,JSMR,B,RG,4100,2,0,D,,Withdrawn
63955,63956,8:45:19,JSMR,B,RG,4100,10,10,D,,Open
65984,65985,8:45:51,JSMR,B,RG,4100,1,1,D,,Open
66441,66442,8:46:02,JSMR,B,RG,4100,113,113,D,,Open
67114,67115,8:46:21,JSMR,B,RG,4100,450,450,D,,Open
72802,72803,8:54:03,JSMR,B,RG,4100,50,50,D,,Open
446642,446643,9:06:19,JSMR,B,RG,4100,3,3,D,,Open
786577,786578,9:26:58,JSMR,B,RG,4100,50,50,D,,Open
877987,877988,9:34:17,JSMR,B,RG,4100,3,3,D,,Open
897990,897991,9:36:02,JSMR,B,RG,4100,5,0,D,,Amended
906663,906664,9:36:49,JSMR,B,RG,4100,5,0,D,,Amended
906744,906745,9:36:50,JSMR,B,RG,4100,10,0,D,,Amended
976987,976988,9:43:37,JSMR,B,RG,4100,5,5,D,,Open
1053453,1053454,9:51:36,JSMR,B,RG,4100,10,10,D,,Open
1085889,1085890,9:55:12,JSMR,B,RG,4100,1,1,D,,Open
1116883,1116884,9:58:42,JSMR,B,RG,4100,1,1,D,,Open
1203441,1203442,10:09:31,JSMR,B,RG,4100,12,12,D,,Open
1443341,1443342,10:40:25,JSMR,B,RG,4100,2,0,D,,Withdrawn
1460234,1460235,10:43:14,JSMR,B,RG,4100,300,0,D,,Amended
1800016,1800017,13:41:20,JSMR,B,RG,4100,50,50,D,,Open
1828724,1828725,13:45:44,JSMR,B,RG,4100,20,0,D,,Amended
2250954,2250955,14:49:00,JSMR,B,RG,4100,25,25,F,,Open
4808,4809,8:45:00,JSMR,B,RG,4110,1,1,D,,Open
7799,7800,8:45:00,JSMR,B,RG,4110,4,4,D,,Open
32869,32870,8:45:02,JSMR,B,RG,4110,30,0,D,,Withdrawn
593419,593420,9:13:53,JSMR,B,RG,4110,5,5,D,,Open
912183,912184,9:37:20,JSMR,B,RG,4110,30,30,D,,Open
918786,918787,9:37:58,JSMR,B,RG,4110,5,5,D,,Open
1072840,1072841,9:53:45,JSMR,B,RG,4110,18,18,D,,Open
1117379,1117380,9:58:45,JSMR,B,RG,4110,30,30,D,,Open
1454857,1454858,10:42:20,JSMR,B,RG,4110,1,1,D,,Open
1597951,1597952,11:10:03,JSMR,B,RG,4110,10,10,D,,Open
1843733,1843734,13:47:56,JSMR,B,RG,4110,100,0,D,,Withdrawn
1850555,1850556,13:48:57,JSMR,B,RG,4110,1,1,D,,Open
1977335,1977336,14:08:12,JSMR,B,RG,4110,10,10,D,,Open
2189419,2189420,14:42:00,JSMR,B,RG,4110,10,10,D,,Open
2313786,2313787,14:59:52,JSMR,B,RG,4110,137,0,F,,Withdrawn
4689,4690,8:45:00,JSMR,B,RG,4120,1,1,D,,Open
17671,17672,8:45:01,JSMR,B,RG,4120,80,80,D,,Open
518639,518640,9:09:42,JSMR,B,RG,4120,2,0,D,,Withdrawn
859899,859900,9:32:49,JSMR,B,RG,4120,5,0,D,,Amended
1203249,1203250,10:09:30,JSMR,B,RG,4120,5009,0,D,,Amended
1203249,1209913,10:10:20,JSMR,B,RG,4120,111,111,D,,Open
1560406,1560407,11:02:03,JSMR,B,RG,4120,5,5,D,,Open
1804134,1804135,13:41:59,JSMR,B,RG,4120,1,1,D,,Open
2280943,2280944,14:53:14,JSMR,B,RG,4120,7000,7000,D,,Open
2304050,2304051,14:57:08,JSMR,B,RG,4120,8,8,D,,Open
4742,4743,8:45:00,JSMR,B,RG,4130,1,1,D,,Open
24980,24981,8:45:01,JSMR,B,RG,4130,20,0,D,,Withdrawn
30620,30621,8:45:02,JSMR,B,RG,4130,1,1,D,,Open
870187,870188,9:33:38,JSMR,B,RG,4130,25,25,D,,Open
872936,872937,9:33:52,JSMR,B,RG,4130,5,0,D,,Withdrawn
1048477,1048478,9:51:03,JSMR,B,RG,4130,200,200,D,,Open
1199889,1199890,10:09:04,JSMR,B,RG,4130,10,10,D,,Open
1550064,1550065,10:59:57,JSMR,B,RG,4130,5,5,D,,Open
1794457,1794458,13:40:28,JSMR,B,RG,4130,2,2,D,,Open
1871580,1871581,13:52:04,JSMR,B,RG,4130,20,20,D,,Open
2254908,2254909,14:49:22,JSMR,B,RG,4130,156,156,F,,Open
2313684,2313685,14:59:50,JSMR,B,RG,4130,137,0,F,,Withdrawn
4698,4699,8:45:00,JSMR,B,RG,4140,1,1,D,,Open
10311,10312,8:45:00,JSMR,B,RG,4140,1,1,D,,Open
59318,59319,8:45:13,JSMR,B,RG,4140,2,2,D,,Open
68187,68188,8:47:55,JSMR,B,RG,4140,1,1,D,,Open
501358,501359,9:08:53,JSMR,B,RG,4140,10,10,D,,Open
880920,880921,9:34:33,JSMR,B,RG,4140,40,40,D,,Open
917641,917642,9:37:51,JSMR,B,RG,4140,1,1,D,,Open
1121870,1121871,9:59:17,JSMR,B,RG,4140,20,20,D,,Open
1201543,1201544,10:09:16,JSMR,B,RG,4140,10,10,D,,Open
1348879,1348880,10:26:42,JSMR,B,RG,4140,35,0,D,,Amended
1348879,1388124,10:32:18,JSMR,B,RG,4140,25,25,D,,Open
1350630,1350631,10:26:56,JSMR,B,RG,4140,1,1,D,,Open
1589356,1589357,11:08:03,JSMR,B,RG,4140,1,1,D,,Open
1820694,1820695,13:44:26,JSMR,B,RG,4140,5,5,D,,Open
1827874,1827875,13:45:37,JSMR,B,RG,4140,40,0,D,,Amended
2254562,2254563,14:49:20,JSMR,B,RG,4140,156,156,F,,Open
2261493,2261494,14:49:58,JSMR,B,RG,4140,5,0,D,,Withdrawn
4723,4724,8:45:00,JSMR,B,RG,4150,1,1,D,,Open
5678,5679,8:45:00,JSMR,B,RG,4150,10,10,D,,Open
45128,45129,8:45:04,JSMR,B,RG,4150,10,10,D,,Open
49445,49446,8:45:05,JSMR,B,RG,4150,1,1,D,,Open
287794,287795,9:00:29,JSMR,B,RG,4150,30,30,D,,Open
522517,522518,9:09:53,JSMR,B,RG,4150,3,0,D,,Withdrawn
541687,541688,9:10:50,JSMR,B,RG,4150,50,50,D,,Open
695423,695424,9:20:21,JSMR,B,RG,4150,1,1,D,,Open
705897,705898,9:21:03,JSMR,B,RG,4150,100,100,D,,Open
846696,846697,9:31:41,JSMR,B,RG,4150,5,5,D,,Open
898758,898759,9:36:05,JSMR,B,RG,4150,5,5,D,,Open
920974,920975,9:38:10,JSMR,B,RG,4150,50,50,D,,Open
1021943,1021944,9:48:11,JSMR,B,RG,4150,2,2,D,,Open
1056089,1056090,9:51:54,JSMR,B,RG,4150,17,17,D,,Open
1076708,1076709,9:54:10,JSMR,B,RG,4150,5,5,D,,Open
1079368,1079369,9:54:28,JSMR,B,RG,4150,60,60,D,,Open
1082062,1082063,9:54:47,JSMR,B,RG,4150,1,0,D,,Withdrawn
1102962,1102963,9:57:11,JSMR,B,RG,4150,120,120,D,,Open
1138488,1138489,10:01:15,JSMR,B,RG,4150,30,30,D,,Open
1153167,1153168,10:03:08,JSMR,B,RG,4150,1,1,D,,Open
1160300,1160301,10:04:02,JSMR,B,RG,4150,3,3,D,,Open
1178736,1178737,10:06:19,JSMR,B,RG,4150,2,2,D,,Open
1203055,1203056,10:09:28,JSMR,B,RG,4150,10,10,D,,Open
1220039,1220040,10:11:39,JSMR,B,RG,4150,2,2,D,,Open
1396634,1396635,10:33:28,JSMR,B,RG,4150,40,0,D,,Amended
1459057,1459058,10:43:02,JSMR,B,RG,4150,100,100,D,,Open
1487373,1487374,10:47:58,JSMR,B,RG,4150,1,1,D,,Open
1577279,1577280,11:05:33,JSMR,B,RG,4150,57,57,D,,Open
1734364,1734365,13:30:45,JSMR,B,RG,4150,11,0,D,,Amended
1764937,1764938,13:36:05,JSMR,B,RG,4150,41,0,D,,Withdrawn
1767453,1767454,13:36:27,JSMR,B,RG,4150,1,1,D,,Open
1790332,1790333,13:39:50,JSMR,B,RG,4150,25,25,D,,Open
1799909,1799910,13:41:18,JSMR,B,RG,4150,20,20,D,,Open
1857705,1857706,13:50:04,JSMR,B,RG,4150,10,10,D,,Open
1864552,1864553,13:51:00,JSMR,B,RG,4150,10,10,D,,Open
1919820,1919821,13:59:47,JSMR,B,RG,4150,1,1,D,,Open
2014044,2014045,14:14:06,JSMR,B,RG,4150,20,0,D,,Withdrawn
2071947,2071948,14:23:50,JSMR,B,RG,4150,1,1,D,,Open
2077928,2077929,14:24:48,JSMR,B,RG,4150,1,1,D,,Open
2141737,2141738,14:35:04,JSMR,B,RG,4150,100,100,D,,Open
2253229,2253230,14:49:13,JSMR,B,RG,4150,156,156,F,,Open
2310276,2310277,14:59:08,JSMR,B,RG,4150,5,5,D,,Open
2313563,2313564,14:59:50,JSMR,B,RG,4150,130,0,F,,Withdrawn
675,676,8:45:00,JSMR,B,RG,4160,2,2,D,,Open
26457,26458,8:45:01,JSMR,B,RG,4160,300,0,D,,Amended
31566,31567,8:45:02,JSMR,B,RG,4160,25,25,D,,Open
72038,72039,8:53:07,JSMR,B,RG,4160,20,20,D,,Open
515695,515696,9:09:33,JSMR,B,RG,4160,10,10,D,,Open
