Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
2360,2361,8:45:00,JSMR,B,RG,4110,1,1,D,,Open
16236,16237,8:45:01,JSMR,B,RG,4110,10,0,D,,Withdrawn
26970,26971,8:45:01,JSMR,B,RG,4110,1,1,D,,Open
32617,32618,8:45:02,JSMR,B,RG,4110,20,0,D,,Withdrawn
40915,40916,8:45:02,JSMR,B,RG,4110,1,1,D,,Open
54427,54428,8:45:06,JSMR,B,RG,4110,1,1,D,,Open
61962,61963,8:45:11,JSMR,B,RG,4110,10,0,D,,Withdrawn
64731,64732,8:45:14,JSMR,B,RG,4110,3,3,D,,Open
67964,67965,8:45:19,JSMR,B,RG,4110,10,10,D,,Open
75261,75262,8:50:32,JSMR,B,RG,4110,5,5,D,,Open
79254,79255,8:54:34,JSMR,B,RG,4110,1,1,D,,Open
791546,791547,9:24:06,JSMR,B,RG,4110,1,1,D,,Open
859678,859679,9:28:23,JSMR,B,RG,4110,500,500,D,,Open
1196845,1196846,9:56:38,JSMR,B,RG,4110,10,0,D,,Withdrawn
1893234,1893235,13:35:05,JSMR,B,RG,4110,1,1,D,,Open
16771,16772,8:45:01,JSMR,B,RG,4120,2,2,D,,Open
68752,68753,8:45:21,JSMR,B,RG,4120,2,2,D,,Open
1495434,1495435,10:35:44,JSMR,B,RG,4120,50,50,D,,Open
1997516,1997517,13:51:01,JSMR,B,RG,4120,1,1,D,,Open
26129,26130,8:45:01,JSMR,B,RG,4130,36,36,D,,Open
28313,28314,8:45:01,JSMR,B,RG,4130,30,30,D,,Open
1413881,1413882,10:23:20,JSMR,B,RG,4130,20,20,D,,Open
1230,1231,8:45:00,JSMR,B,RG,4140,1,1,D,,Open
64717,64718,8:45:14,JSMR,B,RG,4140,3,3,D,,Open
70438,70439,8:45:29,JSMR,B,RG,4140,1,1,D,,Open
521435,521436,9:08:24,JSMR,B,RG,4140,2,2,D,,Open
16839,16840,8:45:01,JSMR,B,RG,4150,25,25,D,,Open
79580,79581,8:54:52,JSMR,B,RG,4150,1,1,D,,Open
1222740,1222741,9:59:39,JSMR,B,RG,4150,1,1,D,,Open
15172,15173,8:45:00,JSMR,B,RG,4160,2,2,D,,Open
1465,1466,8:45:00,JSMR,B,RG,4170,1,1,D,,Open
64729,64730,8:45:14,JSMR,B,RG,4170,3,3,D,,Open
2524998,2524999,14:59:54,JSMR,B,RG,4170,484,0,F,,Withdrawn
52654,52655,8:45:05,JSMR,B,RG,4190,25,0,D,,Withdrawn
219167,219168,9:00:08,JSMR,B,RG,4190,2,2,D,,Open
1736191,1736192,11:15:49,JSMR,B,RG,4190,1,0,D,,Withdrawn
2290,2291,8:45:00,JSMR,B,RG,4200,1,1,D,,Open
10900,10901,8:45:00,JSMR,B,RG,4200,1,1,D,,Open
28375,28376,8:45:01,JSMR,B,RG,4200,50,50,D,,Open
32442,32443,8:45:02,JSMR,B,RG,4200,1,1,D,,Open
62402,62403,8:45:11,JSMR,B,RG,4200,1,1,D,,Open
64725,64726,8:45:14,JSMR,B,RG,4200,3,3,D,,Open
68158,68159,8:45:20,JSMR,B,RG,4200,2,2,D,,Open
73652,73653,8:48:40,JSMR,B,RG,4200,2,2,D,,Open
399048,399049,9:03:38,JSMR,B,RG,4200,1,1,D,,Open
925775,925776,9:33:02,JSMR,B,RG,4200,8,8,D,,Open
1494686,1494687,10:35:37,JSMR,B,RG,4210,50,50,D,,Open
2525005,2525006,14:59:54,JSMR,B,RG,4210,482,0,F,,Withdrawn
1216,1217,8:45:00,JSMR,B,RG,4230,1,1,D,,Open
40967,40968,8:45:02,JSMR,B,RG,4230,20,0,D,,Withdrawn
64720,64721,8:45:14,JSMR,B,RG,4230,3,3,D,,Open
77713,77714,8:53:04,JSMR,B,RG,4230,29,0,D,,Withdrawn
1880526,1880527,13:33:11,JSMR,B,RG,4230,2,2,D,,Open
77899,77900,8:53:14,JSMR,B,RG,4240,500,0,D,,Withdrawn
27775,27776,8:45:01,JSMR,B,RG,4250,1,1,D,,Open
36182,36183,8:45:02,JSMR,B,RG,4250,3,3,D,,Open
55812,55813,8:45:06,JSMR,B,RG,4250,5,5,D,,Open
66192,66193,8:45:17,JSMR,B,RG,4250,8,8,D,,Open
170620,170621,9:00:05,JSMR,B,RG,4250,50,50,D,,Open
753180,753181,9:21:31,JSMR,B,RG,4250,8,0,D,,Amended
2524890,2524891,14:59:53,JSMR,B,RG,4250,433,0,F,,Withdrawn
1455,1456,8:45:00,JSMR,B,RG,4260,1,1,D,,Open
21595,21596,8:45:01,JSMR,B,RG,4260,10,10,D,,Open
30143,30144,8:45:01,JSMR,B,RG,4260,1,1,D,,Open
64700,64701,8:45:14,JSMR,B,RG,4260,3,3,D,,Open
77823,77824,8:53:09,JSMR,B,RG,4260,500,0,D,,Withdrawn
157546,157547,9:00:04,JSMR,B,RG,4260,50,50,D,,Open
1428416,1428417,10:25:35,JSMR,B,RG,4260,22,22,D,,Open
169006,169007,9:00:05,JSMR,B,RG,4270,50,50,D,,Open
2524754,2524755,14:59:52,JSMR,B,RG,4270,344,0,F,,Withdrawn
