Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
75470,75471,9:00:00,MYOR,B,RG,2200,1364,0,D,,Withdrawn
87711,87712,9:00:01,MYOR,B,RG,2200,30,30,D,,Open
97681,97682,9:00:01,MYOR,B,RG,2200,60,60,D,,Open
115175,115176,9:00:03,MYOR,B,RG,2200,10,10,D,,Open
123450,123451,9:00:03,MYOR,B,RG,2200,1,1,D,,Open
137148,137149,9:00:04,MYOR,B,RG,2200,500,500,D,,Open
139682,139683,9:00:04,MYOR,B,RG,2200,3,3,D,,Open
139851,139852,9:00:04,MYOR,B,RG,2200,20,20,D,,Open
152820,152821,9:00:05,MYOR,B,RG,2200,1,1,D,,Open
159640,159641,9:00:06,MYOR,B,RG,2200,2,2,D,,Open
197740,197741,9:00:09,MYOR,B,RG,2200,3,0,D,,Withdrawn
203111,203112,9:00:09,MYOR,B,RG,2200,10,10,D,,Open
243753,243754,9:00:16,MYOR,B,RG,2200,5,5,D,,Open
243792,243793,9:00:16,MYOR,B,RG,2200,1,1,D,,Open
243841,243842,9:00:16,MYOR,B,RG,2200,1,0,D,,Withdrawn
255367,255368,9:00:19,MYOR,B,RG,2200,20,20,D,,Open
260778,260779,9:00:22,MYOR,B,RG,2200,25,25,D,,Open
266635,266636,9:00:27,MYOR,B,RG,2200,25,25,D,,Open
287834,287835,9:00:51,MYOR,B,RG,2200,10,10,D,,Open
288558,288559,9:00:52,MYOR,B,RG,2200,1,1,D,,Open
296172,296173,9:01:01,MYOR,B,RG,2200,1,1,D,,Open
388814,388815,9:05:09,MYOR,B,RG,2200,4,4,D,,Open
391051,391052,9:05:15,MYOR,B,RG,2200,10,10,D,,Open
527508,527509,9:12:34,MYOR,B,RG,2200,10,10,D,,Open
545069,545070,9:13:38,MYOR,B,RG,2200,2,2,D,,Open
547480,547481,9:13:47,MYOR,B,RG,2200,4,0,D,,Withdrawn
651749,651750,9:20:35,MYOR,B,RG,2200,1,1,D,,Open
665966,665967,9:21:34,MYOR,B,RG,2200,1,1,D,,Open
674131,674132,9:22:09,MYOR,B,RG,2200,2,2,D,,Open
818414,818415,9:33:42,MYOR,B,RG,2200,50,50,F,,Open
892449,892450,9:40:15,MYOR,B,RG,2200,5,5,D,,Open
945036,945037,9:45:27,MYOR,B,RG,2200,20,20,D,,Open
1364658,1364659,10:37:08,MYOR,B,RG,2200,5,5,D,,Open
1689324,1689325,13:30:03,MYOR,B,RG,2200,5,5,D,,Open
1722058,1722059,13:30:09,MYOR,B,RG,2200,45,45,D,,Open
1936048,1936049,13:58:54,MYOR,B,RG,2200,1,1,D,,Open
2019264,2019265,14:10:29,MYOR,B,RG,2200,20,20,D,,Open
2050103,2050104,14:14:36,MYOR,B,RG,2200,1,1,D,,Open
2118179,2118180,14:23:41,MYOR,B,RG,2200,5,5,D,,Open
2142189,2142190,14:26:58,MYOR,B,RG,2200,28,28,D,,Open
