Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
1581,1582,8:45:00,TLKM,B,RG,3540,10,0,D,,Amended
1581,1278165,10:08:29,TLKM,B,RG,3540,5,0,D,,Withdrawn
2584,2585,8:45:00,TLKM,B,RG,3540,1,1,D,,Open
5692,5693,8:45:00,TLKM,B,RG,3540,50,50,D,,Open
13681,13682,8:45:00,TLKM,B,RG,3540,100,100,D,,Open
14728,14729,8:45:00,TLKM,B,RG,3540,2,2,D,,Open
17292,17293,8:45:01,TLKM,B,RG,3540,45,0,D,,Amended
18444,18445,8:45:01,TLKM,B,RG,3540,5,5,D,,Open
27371,27372,8:45:01,TLKM,B,RG,3540,4,4,D,,Open
27411,27412,8:45:01,TLKM,B,RG,3540,5,5,D,,Open
38591,38592,8:45:02,TLKM,B,RG,3540,1,1,D,,Open
54888,54889,8:45:07,TLKM,B,RG,3540,20,20,D,,Open
57688,57689,8:45:10,TLKM,B,RG,3540,50,50,D,,Open
57935,57936,8:45:10,TLKM,B,RG,3540,5,5,D,,Open
58074,58075,8:45:10,TLKM,B,RG,3540,50,50,D,,Open
58706,58707,8:45:11,TLKM,B,RG,3540,10,10,D,,Open
59984,59985,8:45:13,TLKM,B,RG,3540,14,0,D,,Withdrawn
62429,62430,8:45:16,TLKM,B,RG,3540,2,2,D,,Open
62707,62708,8:45:17,TLKM,B,RG,3540,33,33,D,,Open
67396,67397,8:47:06,TLKM,B,RG,3540,1130,0,D,,Withdrawn
68450,68451,8:48:41,TLKM,B,RG,3540,1,1,D,,Open
299316,299317,9:00:33,TLKM,B,RG,3540,1,1,D,,Open
415410,415411,9:04:21,TLKM,B,RG,3540,1,0,D,,Withdrawn
417355,417356,9:04:26,TLKM,B,RG,3540,1,1,D,,Open
557790,557791,9:10:33,TLKM,B,RG,3540,5,5,D,,Open
572129,572130,9:11:12,TLKM,B,RG,3540,5,5,D,,Open
573153,573154,9:11:15,TLKM,B,RG,3540,1000,0,D,,Withdrawn
616600,616601,9:13:29,TLKM,B,RG,3540,2,2,D,,Open
646912,646913,9:15:11,TLKM,B,RG,3540,30000,0,D,,Withdrawn
817754,817755,9:25:49,TLKM,B,RG,3540,2,2,D,,Open
820823,820824,9:26:03,TLKM,B,RG,3540,600,600,D,,Open
831743,831744,9:26:49,TLKM,B,RG,3540,2,2,D,,Open
1013886,1013887,9:41:19,TLKM,B,RG,3540,1,1,D,,Open
1160551,1160552,9:54:43,TLKM,B,RG,3540,50,50,D,,Open
1699080,1699081,11:08:30,TLKM,B,RG,3540,1,1,D,,Open
1708942,1708943,11:10:31,TLKM,B,RG,3540,2,2,D,,Open
1822134,1822135,13:30:04,TLKM,B,RG,3540,1,1,D,,Open
1822612,1822613,13:30:04,TLKM,B,RG,3540,20,20,D,,Open
2284561,2284562,14:25:51,TLKM,B,RG,3540,1,1,D,,Open
1299,1300,8:45:00,TLKM,B,RG,3550,10,0,D,,Amended
1299,1279918,10:08:43,TLKM,B,RG,3550,5,0,D,,Withdrawn
1852,1853,8:45:00,TLKM,B,RG,3550,845,0,D,,Withdrawn
4245,4246,8:45:00,TLKM,B,RG,3550,300,300,D,,Open
8399,8400,8:45:00,TLKM,B,RG,3550,1,1,D,,Open
13201,13202,8:45:00,TLKM,B,RG,3550,150,150,D,,Open
13628,13629,8:45:00,TLKM,B,RG,3550,3,3,D,,Open
14395,14396,8:45:00,TLKM,B,RG,3550,2,2,D,,Open
15713,15714,8:45:00,TLKM,B,RG,3550,5,0,D,,Amended
19889,19890,8:45:01,TLKM,B,RG,3550,1,1,D,,Open
