Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
4054,4055,8:45:00,TLKM,B,RG,3520,1137,0,D,,Withdrawn
6957,6958,8:45:00,TLKM,B,RG,3520,1,1,D,,Open
9545,9546,8:45:00,TLKM,B,RG,3520,1,1,D,,Open
17039,17040,8:45:01,TLKM,B,RG,3520,2,2,D,,Open
22166,22167,8:45:01,TLKM,B,RG,3520,5,5,D,,Open
23375,23376,8:45:01,TLKM,B,RG,3520,2,2,D,,Open
26480,26481,8:45:01,TLKM,B,RG,3520,5,5,D,,Open
26960,26961,8:45:01,TLKM,B,RG,3520,500,500,D,,Open
44139,44140,8:45:03,TLKM,B,RG,3520,5,5,D,,Open
50131,50132,8:45:04,TLKM,B,RG,3520,2,2,D,,Open
53153,53154,8:45:06,TLKM,B,RG,3520,5,5,D,,Open
54398,54399,8:45:06,TLKM,B,RG,3520,1500,1500,D,,Open
55406,55407,8:45:06,TLKM,B,RG,3520,7,7,D,,Open
59629,59630,8:45:10,TLKM,B,RG,3520,1,1,D,,Open
60867,60868,8:45:11,TLKM,B,RG,3520,1,1,D,,Open
62342,62343,8:45:13,TLKM,B,RG,3520,100,0,D,,Withdrawn
62878,62879,8:45:14,TLKM,B,RG,3520,1,1,D,,Open
63046,63047,8:45:14,TLKM,B,RG,3520,5,5,D,,Open
64515,64516,8:45:16,TLKM,B,RG,3520,5,5,D,,Open
65981,65982,8:45:18,TLKM,B,RG,3520,3,0,D,,Withdrawn
66363,66364,8:45:19,TLKM,B,RG,3520,33,33,D,,Open
67691,67692,8:45:21,TLKM,B,RG,3520,5,5,D,,Open
73849,73850,8:50:19,TLKM,B,RG,3520,400,400,D,,Open
77618,77619,8:54:48,TLKM,B,RG,3520,1,1,D,,Open
130927,130928,9:00:03,TLKM,B,RG,3520,5,5,D,,Open
205047,205048,9:00:08,TLKM,B,RG,3520,20,20,D,,Open
382284,382285,9:02:53,TLKM,B,RG,3520,1,1,D,,Open
420938,420939,9:04:33,TLKM,B,RG,3520,1,1,D,,Open
490998,490999,9:07:34,TLKM,B,RG,3520,1,1,D,,Open
531343,531344,9:09:18,TLKM,B,RG,3520,5,5,D,,Open
865789,865790,9:29:03,TLKM,B,RG,3520,100,100,D,,Open
1306721,1306722,10:05:14,TLKM,B,RG,3520,1,1,D,,Open
1316970,1316971,10:06:20,TLKM,B,RG,3520,1,1,D,,Open
1462435,1462436,10:22:48,TLKM,B,RG,3520,15,15,D,,Open
1891603,1891604,13:30:03,TLKM,B,RG,3520,50000,0,D,,Amended
1891603,2378247,14:30:12,TLKM,B,RG,3520,20000,0,D,,Withdrawn
10167,10168,8:45:00,TLKM,B,RG,3530,2,2,D,,Open
16800,16801,8:45:00,TLKM,B,RG,3530,2,2,D,,Open
47079,47080,8:45:04,TLKM,B,RG,3530,2,2,D,,Open
1064040,1064041,9:43:59,TLKM,B,RG,3530,16,0,D,,Amended
1317934,1317935,10:06:27,TLKM,B,RG,3530,1,1,D,,Open
1906998,1906999,13:30:05,TLKM,B,RG,3530,50000,0,D,,Amended
1906998,2377845,14:30:09,TLKM,B,RG,3530,20000,0,D,,Withdrawn
7509,7510,8:45:00,TLKM,B,RG,3540,2,2,D,,Open
16188,16189,8:45:00,TLKM,B,RG,3540,100,100,D,,Open
17132,17133,8:45:01,TLKM,B,RG,3540,2,2,D,,Open
46992,46993,8:45:04,TLKM,B,RG,3540,2,2,D,,Open
54514,54515,8:45:06,TLKM,B,RG,3540,7,7,D,,Open
531402,531403,9:09:18,TLKM,B,RG,3540,5,5,D,,Open
1360681,1360682,10:11:13,TLKM,B,RG,3540,1,1,D,,Open
1903593,1903594,13:30:04,TLKM,B,RG,3540,50000,0,D,,Amended
1903593,2375799,14:29:52,TLKM,B,RG,3540,20000,0,D,,Withdrawn
16056,16057,8:45:00,TLKM,B,RG,3550,1,1,D,,Open
16312,16313,8:45:00,TLKM,B,RG,3550,2,2,D,,Open
17124,17125,8:45:01,TLKM,B,RG,3550,3,3,D,,Open
22537,22538,8:45:01,TLKM,B,RG,3550,1,1,D,,Open
36915,36916,8:45:02,TLKM,B,RG,3550,15,15,D,,Open
48664,48665,8:45:04,TLKM,B,RG,3550,2,2,D,,Open
49594,49595,8:45:04,TLKM,B,RG,3550,5,5,D,,Open
54384,54385,8:45:06,TLKM,B,RG,3550,1000,1000,D,,Open
55086,55087,8:45:06,TLKM,B,RG,3550,500,500,D,,Open
58935,58936,8:45:09,TLKM,B,RG,3550,10,10,D,,Open
62875,62876,8:45:14,TLKM,B,RG,3550,1,1,D,,Open
63665,63666,8:45:15,TLKM,B,RG,3550,50,0,D,,Withdrawn
65989,65990,8:45:18,TLKM,B,RG,3550,2,0,D,,Withdrawn
66339,66340,8:45:19,TLKM,B,RG,3550,1,1,D,,Open
68093,68094,8:45:22,TLKM,B,RG,3550,20,20,D,,Open
80340,80341,9:00:00,TLKM,B,RG,3550,10,10,D,,Open
717984,717985,9:19:28,TLKM,B,RG,3550,2000,0,D,,Withdrawn
1756230,1756231,11:06:03,TLKM,B,RG,3550,14,14,D,,Open
9471,9472,8:45:00,TLKM,B,RG,3560,3,3,D,,Open
16001,16002,8:45:00,TLKM,B,RG,3560,2,2,D,,Open
49408,49409,8:45:04,TLKM,B,RG,3560,2,2,D,,Open
54821,54822,8:45:06,TLKM,B,RG,3560,2,2,D,,Open
55051,55052,8:45:06,TLKM,B,RG,3560,7,7,D,,Open
69118,69119,8:45:24,TLKM,B,RG,3560,10,10,D,,Open
531456,531457,9:09:19,TLKM,B,RG,3560,5,5,D,,Open
