Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
7060,7061,8:45:00,UNVR,B,RG,4510,10,10,D,,Open
18105,18106,8:45:01,UNVR,B,RG,4510,2,2,D,,Open
20941,20942,8:45:01,UNVR,B,RG,4510,8,8,D,,Open
21220,21221,8:45:01,UNVR,B,RG,4510,40,40,D,,Open
22317,22318,8:45:01,UNVR,B,RG,4510,5,5,D,,Open
25807,25808,8:45:01,UNVR,B,RG,4510,40,40,D,,Open
30324,30325,8:45:01,UNVR,B,RG,4510,1,1,D,,Open
31414,31415,8:45:01,UNVR,B,RG,4510,5,5,D,,Open
31977,31978,8:45:01,UNVR,B,RG,4510,2,2,D,,Open
33638,33639,8:45:02,UNVR,B,RG,4510,10,10,D,,Open
33691,33692,8:45:02,UNVR,B,RG,4510,1,1,D,,Open
33769,33770,8:45:02,UNVR,B,RG,4510,1,1,D,,Open
34743,34744,8:45:02,UNVR,B,RG,4510,1,1,D,,Open
36616,36617,8:45:02,UNVR,B,RG,4510,20,20,F,,Open
39304,39305,8:45:02,UNVR,B,RG,4510,3,3,D,,Open
41918,41919,8:45:02,UNVR,B,RG,4510,1,1,D,,Open
41991,41992,8:45:02,UNVR,B,RG,4510,20,20,D,,Open
42186,42187,8:45:02,UNVR,B,RG,4510,10,10,D,,Open
46454,46455,8:45:03,UNVR,B,RG,4510,1,1,D,,Open
48844,48845,8:45:04,UNVR,B,RG,4510,10,10,D,,Open
53999,54000,8:45:06,UNVR,B,RG,4510,50,50,D,,Open
54040,54041,8:45:06,UNVR,B,RG,4510,1,1,D,,Open
59402,59403,8:45:11,UNVR,B,RG,4510,2,2,D,,Open
59648,59649,8:45:11,UNVR,B,RG,4510,50,50,D,,Open
60016,60017,8:45:12,UNVR,B,RG,4510,2,2,D,,Open
60243,60244,8:45:12,UNVR,B,RG,4510,1,0,D,,Withdrawn
61565,61566,8:45:14,UNVR,B,RG,4510,2,2,D,,Open
61858,61859,8:45:14,UNVR,B,RG,4510,5,5,D,,Open
61916,61917,8:45:15,UNVR,B,RG,4510,1,1,D,,Open
63337,63338,8:45:16,UNVR,B,RG,4510,2,2,D,,Open
63473,63474,8:45:17,UNVR,B,RG,4510,3,0,D,,Withdrawn
63778,63779,8:45:17,UNVR,B,RG,4510,10,10,D,,Open
64120,64121,8:45:18,UNVR,B,RG,4510,1,1,D,,Open
66064,66065,8:45:21,UNVR,B,RG,4510,2,2,D,,Open
66666,66667,8:45:22,UNVR,B,RG,4510,5,5,D,,Open
67734,67735,8:46:02,UNVR,B,RG,4510,50,50,D,,Open
69758,69759,8:48:26,UNVR,B,RG,4510,2,2,D,,Open
71164,71165,8:50:30,UNVR,B,RG,4510,20,20,F,,Open
73200,73201,8:53:12,UNVR,B,RG,4510,2,0,D,,Withdrawn
74426,74427,8:54:43,UNVR,B,RG,4510,1,1,D,,Open
83013,83014,9:00:00,UNVR,B,RG,4510,25,25,D,,Open
