Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
2365,2366,8:45:00,UNVR,B,RG,4260,100,100,D,,Open
3274,3275,8:45:00,UNVR,B,RG,4260,10,10,D,,Open
5884,5885,8:45:00,UNVR,B,RG,4260,5,5,D,,Open
6642,6643,8:45:00,UNVR,B,RG,4260,1,1,D,,Open
6974,6975,8:45:00,UNVR,B,RG,4260,1,1,D,,Open
7374,7375,8:45:00,UNVR,B,RG,4260,1,1,D,,Open
8493,8494,8:45:00,UNVR,B,RG,4260,10,0,D,,Amended
8493,72955,8:49:09,UNVR,B,RG,4260,5,0,D,,Withdrawn
9605,9606,8:45:00,UNVR,B,RG,4260,3,3,D,,Open
10221,10222,8:45:00,UNVR,B,RG,4260,50,50,D,,Open
11486,11487,8:45:00,UNVR,B,RG,4260,3,3,D,,Open
14612,14613,8:45:00,UNVR,B,RG,4260,2000,2000,D,,Open
15934,15935,8:45:00,UNVR,B,RG,4260,1,1,D,,Open
16189,16190,8:45:00,UNVR,B,RG,4260,1000,1000,D,,Open
18478,18479,8:45:01,UNVR,B,RG,4260,10,10,D,,Open
20400,20401,8:45:01,UNVR,B,RG,4260,1,1,D,,Open
21855,21856,8:45:01,UNVR,B,RG,4260,50,50,D,,Open
22188,22189,8:45:01,UNVR,B,RG,4260,5,5,D,,Open
22405,22406,8:45:01,UNVR,B,RG,4260,15,15,D,,Open
24146,24147,8:45:01,UNVR,B,RG,4260,40,40,D,,Open
25146,25147,8:45:01,UNVR,B,RG,4260,8,8,D,,Open
25151,25152,8:45:01,UNVR,B,RG,4260,29,29,D,,Open
26745,26746,8:45:01,UNVR,B,RG,4260,5,5,D,,Open
27532,27533,8:45:01,UNVR,B,RG,4260,1,1,D,,Open
28718,28719,8:45:01,UNVR,B,RG,4260,4,4,D,,Open
29021,29022,8:45:01,UNVR,B,RG,4260,12,12,D,,Open
31587,31588,8:45:02,UNVR,B,RG,4260,45,45,D,,Open
32684,32685,8:45:02,UNVR,B,RG,4260,10,10,D,,Open
34596,34597,8:45:02,UNVR,B,RG,4260,2,2,D,,Open
34743,34744,8:45:02,UNVR,B,RG,4260,1,1,D,,Open
