Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total
31-Okt-2017,AALI,EQUITY,1924688333,14575,76264607,8898263,55834510,49700,38729371,38551319,579127,1837686,4836727,225581310,2367154,6845269,21162428,18017656,18948766,63514019,13671785,0,20681106,165208183
31-Okt-2017,ABBA,EQUITY,2755125000,50,82199700,1416424465,0,0,776749851,10533200,10740243,0,0,2296647459,0,0,0,282886300,201100,0,39700,0,0,283127100
31-Okt-2017,ABDA,EQUITY,620806680,6650,43822,47304145,0,98,47968998,0,7562,881084,0,96205709,70317086,355841069,0,97400000,400,0,0,0,0,523558555
31-Okt-2017,ABMM,EQUITY,2753165000,2380,11118500,7711500,1600,0,40007943,6551800,3214157,400000,0,69005500,0,25764900,0,60247300,651500,296331000,4500,0,153691300,536690500
31-Okt-2017,ACES,EQUITY,17150000000,1255,166064327,129574500,23242395,0,149927171,336109178,473723,852700,758400,807002394,30732200,387666165,150945743,595969274,383600,3282808103,194098058,9777166,1405617297,6057997606
31-Okt-2017,ACST,EQUITY,700000000,2950,1819700,481788400,6145240,0,17720716,33944980,110424,1048600,152500,542730560,0,26639120,10650600,21192060,10530920,30448480,5251500,7838400,44718360,157269440
31-Okt-2017,ADES,EQUITY,589896800,1010,108000,1032900,445000,350,30692049,29600,411,25000,0,32333310,0,540310713,0,13288721,616300,883900,250000,0,1191428,556541062
31-Okt-2017,ADFO,EQUITY,745543638,0,10000,116530120,0,0,58817000,0,888000,0,0,176245120,0,147319420,0,46500,144076570,0,0,0,243009528,534452018
31-Okt-2017,ADHI,EQUITY,3560849376,2190,250851465,28099364,105745470,0,419164726,322047933,10708642,17696902,880800,1155195302,1395632,58453517,45185660,43521168,4300421,237555599,51299670,10100,147875683,589597450
31-Okt-2017,ADMF,EQUITY,1000000000,7075,4366800,446700,0,920700000,21514000,22939200,71500,0,0,970038200,0,0,49500,14668300,485800,10572600,143700,0,3991900,29911800
31-Okt-2017,ADMG,EQUITY,3889179559,230,1030000,994460000,3300500,0,397570487,1458983,450013,0,0,1398269983,0,3000000,54708882,24537018,1461000,7513500,16960600,214300,7829500,116224800
31-Okt-2017,ADRO,EQUITY,31985962000,1825,1152743900,15301976343,585203300,0,5723850313,745920123,21930208,17548700,912000,23550084887,150672512,1713728849,1015091312,1184094733,26417229,1768157778,612630424,13398800,1951685476,8435877113
31-Okt-2017,AGII,EQUITY,3066660000,585,8731700,20944300,23409100,0,63642600,6744500,1500000,481300,0,125453500,695400,213013400,0,121089282,110200,222619700,46454200,74617300,115940018,794539500
31-Okt-2017,AGRO,EQUITY,17910437173,535,271874200,15574047594,936604997,0,817167246,48428498,24818105,26757193,2006600,17701704433,0,430734,0,22972396,830612,0,335012,0,6184206,30752960
31-Okt-2017,AGRS,EQUITY,5256176644,252,0,6086800,0,0,232797875,1537900,0,0,0,240422575,0,149795000,0,0,0,0,444061000,0,65723500,659579500
31-Okt-2017,AHAP,EQUITY,840000000,185,522040695,52901988,0,0,165918125,190300,44081,0,0,741095189,0,0,0,60014549,33797722,0,751682,0,0,94563953
31-Okt-2017,AIMS,EQUITY,220000000,127,0,169964000,0,0,49865600,0,18000,0,0,219847600,0,0,0,0,2000,0,400,0,0,2400
