Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total
30-Des-2019,AALI,EQUITY,1924688333,14575,62484814,1863145,64822250,49700,41908570,73953445,345676,2095464,5467327,252990391,1583054,4766525,14474556,20678826,2054473,48790861,29147794,386922,15916091,137799102
30-Des-2019,ABBA,EQUITY,2755125000,106,0,1692286565,0,0,590510899,0,171043,100000,800000,2283868507,0,5000,0,10286000,427000,0,2301800,0,0,13019800
30-Des-2019,ABDA,EQUITY,620806680,6975,21885,47364282,0,98,47939472,0,7500,873284,0,96206521,0,426144555,0,97416200,500,0,0,0,62,523561317
30-Des-2019,ABMM,EQUITY,2753165000,1530,11370000,6961500,1600,0,40120200,6250300,440500,0,0,65144100,0,57405400,0,34678500,426600,295799000,4500,0,152237900,540551900
30-Des-2019,ACES,EQUITY,17150000000,1495,246235827,86484100,14319288,0,227512911,82268233,314268,226000,247500,657608127,25804600,545533194,962530648,550438534,428900,2816374875,205069386,2358100,1098853636,6207391873
30-Des-2019,ACST,EQUITY,700000000,970,252560,525886840,3122600,0,28225116,12457420,804,0,0,569945340,0,9665220,6763800,23379880,8753220,35338980,6126100,0,40027460,130054660
30-Des-2019,ADES,EQUITY,589896800,1045,108000,150500,208500,350,31459677,1092500,411,25000,0,33044938,0,540501713,0,14749121,328600,0,250000,0,0,555829434
30-Des-2019,ADFO,EQUITY,745543638,0,10000,115720120,0,0,58212000,0,1903000,0,0,175845120,0,147319420,0,46500,144476570,0,0,0,243009528,534852018
30-Des-2019,ADHI,EQUITY,3560849376,1175,160345237,11694666,81873124,5000,648714191,239722693,61237517,18375051,252500,1222219979,5197032,47615670,41099799,27121916,4439143,182503945,54457395,0,160137873,522572773
30-Des-2019,ADMF,EQUITY,1000000000,10400,4366800,455600,0,920700000,24139200,19906800,41500,0,0,969609900,32700,35600,301542,12231800,394400,12721566,307000,44000,4221492,30290100
30-Des-2019,ADMG,EQUITY,3889179559,186,1030000,994380100,2993000,0,404609087,160083,450027,0,0,1403622297,0,95600,1003400,35797647,2342600,54241700,12808696,0,4582843,110872486
30-Des-2019,ADRO,EQUITY,31985962000,1555,1466688400,15676105143,972917700,0,6487610842,1061120396,25427915,32294300,12452200,25734616896,112483804,930201841,668199786,805344138,16603542,1537435304,491168128,43963200,1645945361,6251345104
30-Des-2019,AGAR,EQUITY,1000000000,396,0,793085400,0,0,206765900,0,148500,0,0,999999800,0,200,0,0,0,0,0,0,0,200
30-Des-2019,AGII,EQUITY,3066660000,695,0,997714641,23409100,0,135162600,3472100,371781598,0,200000,1531740039,0,953200,0,266061978,288400,23894300,137064900,0,73793000,502055778
30-Des-2019,AGRO,EQUITY,21343290230,198,376530700,2785144,1238753046,18529210847,793422640,91428498,2756123,103537484,3025100,21141449582,0,393234,0,2177636,3065712,0,2136440,0,2465853,10238875
30-Des-2019,AGRS,EQUITY,7108349644,135,0,5523437,0,20158930,46464637,1587900,0,0,1434781,75169685,0,150416362,0,0,2082391,0,55100,0,6828064340,6980618193
30-Des-2019,AHAP,EQUITY,2940000000,60,1827142432,220710666,0,0,498422668,661100,3965,0,0,2546940831,147816500,0,0,0,240798415,0,103341,0,55,388718311
30-Des-2019,AIMS,EQUITY,220000000,180,0,184461690,0,0,35367710,0,18100,0,0,219847500,0,0,0,100,2000,0,400,0,0,2500
30-Des-2019,AISA,EQUITY,3218600000,168,770100,217538886,9729500,0,1196761889,21822300,942282,590000,9156615,1457311572,250000,913939985,2082500,148678750,13979100,364295622,78891355,0,238543116,1760660428
30-Des-2019,AKKU,EQUITY,6449463636,50,0,5243982400,0,0,910037236,0,73199400,0,0,6227219036,0,196154300,0,0,1050200,0,2040100,0,23000000,222244600
30-Des-2019,AKPI,EQUITY,680000000,370,4000,213183673,0,2,28382471,17500,2122,0,0,241589768,0,0,34,190101,97203,0,97500,0,10300,395138
30-Des-2019,AKRA,EQUITY,4014694920,3950,119431200,483478900,28264600,0,142183111,218763146,4760641,1353500,972000,999207098,1950500,87170072,121687863,93796012,10536600,522042445,48418462,53500,187506548,1073162002
30-Des-2019,AKSI,EQUITY,720000000,1145,0,4947210,0,0,51542290,0,0,0,0,56489500,0,0,0,1048000,0,0,1000,0,0,1049000
30-Des-2019,ALDI,EQUITY,398260000,0,0,105000,0,0,170855500,0,2446000,0,0,173406500,0,80000,0,100000,105000,0,43500,0,0,328500
30-Des-2019,ALDO,EQUITY,1100000000,428,0,855877869,0,0,244051531,0,100,0,0,1099929500,0,0,0,0,70500,0,0,0,0,70500
30-Des-2019,ALKA,EQUITY,507665055,418,0,11021250,0,77500,23573105,0,46200,0,0,34718055,0,0,0,793100,2562423,0,33000,0,0,3388523
30-Des-2019,ALMI,EQUITY,616000000,358,0,96601940,0,0,48905900,0,303000,0,0,145810840,0,32823800,0,300600,372600,0,184900,0,0,33681900
30-Des-2019,ALTO,EQUITY,2191870558,398,0,1492391882,0,0,420901024,21567500,248109952,0,0,2182970358,0,0,0,7560000,36000,0,1037100,0,15600,8648700
30-Des-2019,AMAG,EQUITY,5001552516,296,0,48000,185066933,388000000,21081696,0,23887500,0,0,618084129,0,71414700,0,23163700,10834700,0,74524200,0,13988000,193925300
30-Des-2019,AMFG,EQUITY,434000000,3430,23500,14224782,94500,0,18738000,1689500,73776,3800,0,34847858,0,22980700,0,2613500,100300,11922200,12026859,0,274583,49918142
30-Des-2019,AMIN,EQUITY,1080000000,312,0,20688800,0,0,105191900,0,26333400,0,0,152214100,0,17438300,0,0,68374800,0,192800,0,1780000,87785900
30-Des-2019,AMRT,EQUITY,41524501700,880,208907500,23876639910,11027000,0,2803163435,50622600,1397,12280400,0,26962642242,0,4483572515,149083400,1788969538,437400,2479101200,2601843041,231000,3058621364,14561859458
30-Des-2019,ANDI,EQUITY,9350000000,50,0,725908500,0,0,1619162300,1992438300,310294500,100000,0,4647903600,0,9900,0,51898000,158500,0,0,0,0,52066400
30-Des-2019,ANJT,EQUITY,3354175000,1000,161038300,95760079,0,0,79635084,100,0,0,0,336433563,0,5065000,2000,393200,8599937,0,1544300,0,2137000,17741437
