Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total
31-Mei-2019,AALI,EQUITY,1924688333,10550,52091064,2242645,58023655,49700,51997620,61262683,473424,1684686,4883527,232709004,1601254,4645257,16059871,22964606,1472673,64327308,30691262,386922,15931336,158080489
31-Mei-2019,ABBA,EQUITY,2755125000,133,0,1527267165,0,0,757727475,0,177043,0,300000,2285471683,0,0,0,10000000,301900,0,1114700,0,0,11416600
31-Mei-2019,ABDA,EQUITY,620806680,6300,21885,47362482,0,98,47938672,0,7500,873384,0,96204021,0,426147055,0,97416200,500,0,0,0,62,523563817
31-Mei-2019,ABMM,EQUITY,2753165000,1770,11370000,6961500,1600,0,39590500,6276200,943000,0,0,65142800,0,57405400,0,34678500,427900,295799000,4500,0,152237900,540553200
31-Mei-2019,ACES,EQUITY,17150000000,1735,227951127,67765500,19565088,0,172710211,121395013,163564,119800,69500,609739803,41838100,400126265,993534500,577473668,318100,3044231090,312556044,6011593,879170837,6255260197
31-Mei-2019,ACST,EQUITY,700000000,1280,252560,482894440,3240900,0,29268116,33352540,265804,0,0,549274360,0,10765200,8872300,23409480,8866120,23566080,6801500,0,68444960,150725640
31-Mei-2019,ADES,EQUITY,589896800,1030,108000,117500,208500,350,31265777,1042100,411,25000,0,32767638,0,540501713,0,14749121,605900,0,250000,0,0,556106734
31-Mei-2019,ADFO,EQUITY,745543638,0,10000,115720120,0,0,58212000,0,1903000,0,0,175845120,0,147319420,0,46500,144476570,0,0,0,243009528,534852018
31-Mei-2019,ADHI,EQUITY,3560849376,1450,188242175,6461747,88094764,5000,501498520,330386254,32906518,19363071,141100,1167099149,5708532,47593039,38768732,31113156,2559693,253910908,57843653,0,140195890,577693603
31-Mei-2019,ADMF,EQUITY,1000000000,9950,4366800,463900,0,920700000,23908600,19755600,41500,0,0,969236400,32700,0,219500,12842900,441200,12864000,303100,26300,3983900,30713600
31-Mei-2019,ADMG,EQUITY,3889179559,242,1030000,995450000,2993000,0,390666387,1850083,452613,0,1000,1392443083,0,2252300,1578300,41106318,2582600,54938600,15160782,0,4432800,122051700
31-Mei-2019,ADRO,EQUITY,31985962000,1295,1287669800,15636450771,972415500,0,6432332642,960493837,29330830,32986700,2170300,25353850380,99110027,904462543,666443194,986043414,18625142,1797135263,523304598,47605000,1589382439,6632111620
31-Mei-2019,AGII,EQUITY,3066660000,530,0,867125857,23409100,0,128589700,2064600,1500000,0,100,1022689357,0,45366800,0,136750860,112300,69870800,168925000,44667700,65413000,531106460
31-Mei-2019,AGRO,EQUITY,21343290230,282,392406600,3291144,1240121746,18529291185,726550802,134139598,9794023,103537484,2204500,21141337082,0,233234,0,1081436,3615812,0,2955040,0,2465853,10351375
31-Mei-2019,AGRS,EQUITY,5256176644,312,0,5550323,0,0,8277675,1587900,0,0,1346000,16761898,0,149932000,0,0,1802300,0,61200,0,5035057480,5186852980
31-Mei-2019,AHAP,EQUITY,2940000000,59,1827142432,227605366,0,0,491003568,980000,3965,0,0,2546735331,147816500,0,0,0,240999415,0,107841,0,55,388923811
31-Mei-2019,AIMS,EQUITY,220000000,180,0,184461690,0,0,35367710,0,18100,0,0,219847500,0,0,0,0,2000,0,500,0,0,2500
31-Mei-2019,AISA,EQUITY,3218600000,168,772100,217538886,9729500,0,1196499689,21822300,938782,590000,9154615,1457045872,250000,913939985,2082500,147078705,14244800,364295622,78891400,0,240143116,1760926128
31-Mei-2019,AKKU,EQUITY,6449463636,50,0,5713908700,0,0,440164936,0,73199400,0,0,6227273036,0,196089300,0,0,1059000,0,2042300,0,23000000,222190600
31-Mei-2019,AKPI,EQUITY,680000000,482,4000,213183673,0,2,28589271,17500,2122,0,0,241796568,0,0,34,1,503,0,97500,0,10300,108338
31-Mei-2019,AKRA,EQUITY,4014694920,3980,101361900,449127300,24332300,0,119286011,171259402,5730308,1584500,881100,873562821,3672900,77496742,111214862,101869830,8027000,642452795,61431264,53500,192587386,1198806279
31-Mei-2019,AKSI,EQUITY,720000000,256,0,24915400,0,0,1383900,0,0,0,0,26299300,0,0,0,0,200,0,10000,0,0,10200
31-Mei-2019,ALDI,EQUITY,398260000,0,0,105000,0,0,170855500,0,2446000,0,0,173406500,0,80000,0,100000,105000,0,43500,0,0,328500
31-Mei-2019,ALDO,EQUITY,1100000000,354,0,855877869,0,0,244038031,0,100,0,0,1099916000,0,0,0,0,84000,0,0,0,0,84000
31-Mei-2019,ALKA,EQUITY,507665055,384,0,11021250,0,77500,24094205,0,46200,0,0,35239155,0,0,0,277200,2557223,0,33000,0,0,2867423
31-Mei-2019,ALMI,EQUITY,616000000,500,0,96602040,0,0,48522300,0,303000,0,0,145427340,0,32823800,0,70000,368900,0,802700,0,0,34065400
31-Mei-2019,ALTO,EQUITY,2191870558,396,0,1497102049,0,0,408483024,1000000,276401885,0,0,2182986958,0,0,0,7560000,36000,0,1036100,0,0,8632100
31-Mei-2019,AMAG,EQUITY,5001552516,316,0,48000,185066933,388000000,21164696,0,23887500,0,0,618167129,0,30366300,0,23163700,10834700,41048400,74441200,0,13988000,193842300
31-Mei-2019,AMFG,EQUITY,434000000,5450,23500,11346782,94500,0,17371000,2641800,73776,3800,0,31555158,0,18685100,112400,8395200,10862400,13671600,1186359,0,297783,53210842
31-Mei-2019,AMIN,EQUITY,1080000000,400,0,20688800,0,0,104994900,0,26333400,0,0,152017100,0,17438300,0,0,68571800,0,192800,0,1780000,87982900
31-Mei-2019,AMRT,EQUITY,41524501700,930,151470800,23870039410,35011900,0,2792380035,69019900,397,12280400,0,26930202842,0,4712934715,177201600,2396196938,420500,2211259500,2121019841,871600,2974394164,14594298858
31-Mei-2019,ANDI,EQUITY,1870000000,1770,0,4433500,0,0,126258900,307497200,53809400,0,0,491999000,0,0,0,8001000,0,0,0,0,0,8001000
31-Mei-2019,ANJT,EQUITY,3354175000,915,161038300,95766751,0,0,78626712,100,0,0,0,335431863,5650400,0,2000,809500,8599937,0,1544300,0,2137000,18743137
31-Mei-2019,ANTM,EQUITY,24030764725,725,1875808338,44415147,768524136,0,2485392584,1385721414,90933731,19070975,725200,6670591525,4744818,116545384,107626595,302293902,14425341,619230624,302602486,490500,227839755,1695799405
31-Mei-2019,APEX,EQUITY,2659850000,840,0,1968183744,0,0,53546220,0,2800,0,0,2021732764,0,352970027,0,113233021,1930000,0,89187,0,92181329,560403564
31-Mei-2019,APIC,EQUITY,11765972847,520,985776100,8811907612,0,0,38839318,1509033075,1591,0,0,11345557696,0,1,0,417417600,250,2159500,284700,0,553100,420415151
31-Mei-2019,APII,EQUITY,1075760000,173,0,0,0,0,38964400,0,0,0,0,38964400,0,0,0,798600,53787700,0,34802300,0,146221000,235609600
31-Mei-2019,APLI,EQUITY,1362671400,90,0,202544300,0,0,557522300,0,167000,0,0,760233600,0,0,0,0,359400,0,1977400,0,0,2336800
31-Mei-2019,APLN,EQUITY,19364561700,165,47183600,6110028700,39413400,0,1486317767,89940400,307107245,741800,8942400,8089675312,3235300,34064060,20448483,398497890,14523200,284464711,157634756,1520857,60497131,974886388
31-Mei-2019,APOL,EQUITY,10746194970,58,0,647104480,1400000,0,768197421,15529235,1195300,14086735,0,1447513171,0,309042159,0,310470582,7296200,0,13251500,0,71420000,711480441
31-Mei-2019,ARGO,EQUITY,335557450,825,45000,34150914,0,0,438150,0,83500,0,0,34717564,0,280,0,112500,11250,0,91500,0,5720,221250
31-Mei-2019,ARII,EQUITY,3000000000,800,168777700,1098690200,150000,0,498051100,134488700,0,0,0,1900157700,0,312864100,0,274785400,13675300,0,1511000,0,9645500,612481300
31-Mei-2019,ARMY,EQUITY,9006250000,278,464967600,2666097300,0,0,2445781700,2773911900,184295000,200000,0,8535253500,0,454612300,0,3884300,12499900,0,0,0,0,470996500
31-Mei-2019,ARNA,EQUITY,7341430976,505,31689697,1050342620,18439423,0,3272562961,180307100,447213,0,0,4553789014,0,308209100,168300900,241063541,57723828,1312061810,30406582,87770000,582106201,2787641962
31-Mei-2019,ARTA,EQUITY,446674175,370,0,39777500,0,0,399600425,0,0,0,0,439377925,0,0,0,250,499600,0,6796400,0,0,7296250
31-Mei-2019,ARTI,EQUITY,7840000000,50,195503974,2810941286,739500000,0,3502167600,505451300,27947340,0,0,7781511500,0,110700,0,0,24203800,0,12130000,0,20669000,57113500
31-Mei-2019,ARTO,EQUITY,1206250000,153,0,50505200,0,0,190744700,0,0,0,0,241249900,0,100,0,0,0,0,0,0,0,100
31-Mei-2019,ASBI,EQUITY,348386472,310,21492,308469272,922,1106,19966890,0,52656,0,0,328512338,0,0,0,6088400,530170,0,1248828,0,0,7867398
31-Mei-2019,ASDM,EQUITY,192000000,1070,0,31252100,0,13200,17337160,2000000,0,0,0,50602460,0,11300,0,1618000,605200,0,391200,0,0,2625700
31-Mei-2019,ASGR,EQUITY,1348780500,1240,2500,148260,0,178000,110693778,5384800,128301,500,218200,116754339,0,12833309,8767270,48848353,728700,36529204,11385500,3453500,58018135,180563971
31-Mei-2019,ASIA,EQUITY,2275009490,0,250000,16706639,0,0,1023076508,0,3195200,0,22006500,1065234847,0,334,0,1720002,13351173,0,24374673,0,1153364413,1192810595
31-Mei-2019,ASII,EQUITY,40483553140,7450,1506332391,29425664,1446407705,555650,626871682,1114773334,11277492,30972400,23541230,4790157548,205886702,427774095,2257117315,1450554429,2811220,5070296071,639489227,40727400,3369532953,13464189412
31-Mei-2019,ASJT,EQUITY,600000000,214,12820000,9800,464365700,0,18767500,94252400,4110000,0,5102900,599428300,0,0,0,0,180800,0,390900,0,0,571700
31-Mei-2019,ASMI,EQUITY,8958380460,815,2220010500,1571581400,17349500,0,5022691760,38155800,0,776300,51516200,8922081460,0,30100,0,8897200,22327700,2778000,1048200,0,1217800,36299000
31-Mei-2019,ASRI,EQUITY,19649411888,324,21197800,9178062409,58609700,0,1801222542,275559664,2141402128,15013500,1200000,13492267743,5182900,172337442,255571847,507333012,37167800,659743436,402644655,13883600,1120829453,3174694145
31-Mei-2019,ASRM,EQUITY,214559422,2180,10728,848941,1027742,0,6836879,0,4920,96,0,8729306,0,8500,0,19948,12900,0,305306,0,1453518,1800172
31-Mei-2019,ASSA,EQUITY,3397500000,805,43310900,1739469200,8318200,0,1018585300,267179700,7555400,0,3421000,3087839700,0,5393000,1138600,72082100,1141600,5688000,12805000,0,211412000,309660300
31-Mei-2019,ASTR,EQUITY,50400000,0,0,200,0,606500,186900,0,82500,0,40000,916100,0,0,0,0,11000,0,2000,0,200000,213000
31-Mei-2019,ATIC,EQUITY,1875010000,855,0,669163406,0,0,298168043,0,0,0,0,967331449,0,572043410,0,0,131200,0,0,0,0,572174610
31-Mei-2019,ATPK,EQUITY,5760245414,194,334100,20100,18900,0,213977994,3675000,0,0,0,218026094,0,3651000,3400000,366222000,1161500,0,516047807,0,100059129,990541436
31-Mei-2019,AUTO,EQUITY,4819733000,1455,486600,55774687,279075,0,93963393,62393400,660445,2500,75,213560175,0,328594724,1109400,215580276,684325,158309300,16352898,0,28490845,749121768
31-Mei-2019,BABP,EQUITY,23425053884,50,117226924,10741000004,549620000,0,1713147532,433443776,1063850,0,0,13555502086,0,7974572610,0,869994222,7666800,0,3609183,0,779458446,9635301261
31-Mei-2019,BACA,EQUITY,7070141850,296,1328996300,3868802449,0,12686999,98848198,1538001020,16034,0,0,6847351000,0,2000,0,44300,3100,0,50090,0,222691360,222790850
31-Mei-2019,BAJA,EQUITY,1800000000,99,0,88003100,450000,0,311395300,0,0,50000,0,399898400,0,0,0,0,101600,0,0,0,0,101600
31-Mei-2019,BALI,EQUITY,3934592500,1780,86037038,2654561535,0,0,570792800,71978700,79635527,0,0,3463005600,0,0,0,65503000,13900,31625000,0,0,374395000,471536900
31-Mei-2019,BAPA,EQUITY,661784520,91,0,600645800,0,0,52078903,0,1321017,0,0,654045720,0,1032500,0,575000,1512600,2878600,1735100,0,0,7733800
31-Mei-2019,BASS,EQUITY,1756533500,0,0,345928500,0,121000000,172074500,0,203158000,500,250000,842411500,0,0,0,11236500,0,0,196000,0,7115000,18547500
31-Mei-2019,BATA,EQUITY,1300000000,595,0,0,0,50000,36400700,0,0,5800,0,36456500,0,0,0,72571600,2533600,38650900,3158100,0,65848200,182762400
31-Mei-2019,BAYU,EQUITY,353220780,1630,42543283,102789110,0,27384,39279060,18449300,11270,0,0,203099407,0,0,0,128855348,844,0,9000,0,13405545,142270737
31-Mei-2019,BBCA,EQUITY,24655010000,29100,503409432,611801446,229614500,4000,788229227,423805907,5514754,12839100,201323,2575419689,95983891,481290725,1141393282,792052270,17233383,3720606130,309337259,78477022,1883945573,8520319535
31-Mei-2019,BBHI,EQUITY,4184431795,170,40000000,3043767082,0,0,1044398595,14403600,0,0,0,4142569277,0,0,0,0,18200,0,0,0,0,18200
31-Mei-2019,BBKP,EQUITY,11651908748,280,16203299,2760079029,20640916,43040931,1804212028,74583107,228072620,32051300,1319152380,6298035610,0,18427500,88078333,105626118,2321700,346625056,78907713,0,1063089626,1703076046
31-Mei-2019,BBLD,EQUITY,1645796054,472,63281585,1179815165,0,1283,40311748,1128596,33457,0,0,1284571834,0,4996895,0,282813673,1881214,0,5244,0,70192500,359889526
31-Mei-2019,BBMD,EQUITY,4090090000,1610,0,357400,0,0,244658300,0,0,0,0,245015700,0,0,0,0,184907700,0,76600,0,0,184984300
31-Mei-2019,BBNI,EQUITY,18648656458,8400,538821965,7665952,635633893,3981427,238427410,580373767,30111167,79938472,611865,2115565918,232437318,126093399,821215312,789021126,7847888,1462764795,235952374,35401140,1633163313,5343896665
31-Mei-2019,BBRI,EQUITY,123345810000,4100,2965494100,24143454,1799375900,1142104600,1217182220,2716589949,11637785,155772900,2601152,10034902060,747974279,2537565663,6425862014,4505417746,188799777,15696047672,1532088675,286456977,11245689637,43165902440
31-Mei-2019,BBRM,EQUITY,5367076248,50,0,2853148939,0,0,361412670,0,395500,0,1300,3214958409,0,1671252452,0,245523930,31647100,0,133774357,0,69920000,2152117839
