Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total
31-Jan-2020,AALI,EQUITY,1924688333,11875,57762914,1963445,65691162,49700,45919670,73045852,807457,2089398,5247727,252577325,1583054,5299725,14119156,21419926,2054473,48395760,29128494,386922,15824658,138212168
31-Jan-2020,ABBA,EQUITY,2755125000,76,0,1692286565,0,0,591683499,0,171043,100000,0,2284241107,0,5000,0,10023400,317000,0,2301800,0,0,12647200
31-Jan-2020,ABDA,EQUITY,620806680,6800,21885,47364282,0,98,47941072,0,7500,873284,0,96208121,0,426142955,0,97416200,500,0,0,0,62,523559717
31-Jan-2020,ABMM,EQUITY,2753165000,1445,11370000,6961500,1600,0,40125300,6245200,440500,0,0,65144100,0,57405400,0,34678500,426600,295799000,4500,0,152237900,540551900
31-Jan-2020,ACES,EQUITY,17150000000,1720,250407727,89931000,15871288,0,209170111,104685982,2273850,209600,61500,672611058,23266921,538153407,845117900,605852326,342300,2890484994,200765888,2358100,1086047106,6192388942
31-Jan-2020,ACST,EQUITY,700000000,910,252560,526406340,3017600,0,29064616,12330220,804,0,0,571072140,0,9665220,6364800,23379880,8724620,34813580,6126100,0,39853660,128927860
31-Jan-2020,ADES,EQUITY,589896800,970,108000,147000,208500,350,31666477,902500,411,25000,0,33058238,0,540501713,0,14749121,315300,0,250000,0,0,555816134
31-Jan-2020,ADFO,EQUITY,745543638,0,10000,115720120,0,0,58212000,0,1903000,0,0,175845120,0,147319420,0,46500,144476570,0,0,0,243009528,534852018
31-Jan-2020,ADHI,EQUITY,3560849376,1030,163384037,12070266,82469224,5000,716387191,232355054,1091556,18475051,252500,1226489879,5197032,47728670,41104399,24536716,5396743,182683145,52618295,0,159037873,518302873
31-Jan-2020,ADMF,EQUITY,1000000000,10050,4366800,472800,0,920700000,24639300,19882800,41500,0,0,970103200,32700,35600,326242,12177500,394400,12277766,307000,44000,4201592,29796800
31-Jan-2020,ADMG,EQUITY,3889179559,173,1030000,994380100,2993000,0,407924787,83,450027,0,0,1406777997,0,95600,1003400,35797647,2342600,51324400,12808696,0,4344443,107716786
31-Jan-2020,ADRO,EQUITY,31985962000,1225,1531656900,15678118043,972428200,0,6482780542,1044302196,20665748,32288800,10052700,25772293129,112594185,940745609,662304786,796954888,13711642,1514003731,497562707,44409000,1631382323,6213668871
31-Jan-2020,AGAR,EQUITY,1000000000,384,0,793085400,0,0,206914400,0,0,0,0,999999800,0,200,0,0,0,0,0,0,0,200
31-Jan-2020,AGII,EQUITY,3066660000,590,0,1369396057,23409100,0,134169900,3002700,182,0,0,1529977939,0,953200,0,267150778,288400,23894300,136926900,0,74604300,503817878
31-Jan-2020,AGRO,EQUITY,21343290230,153,376154200,2959544,1238753046,18529210847,799979140,86341898,1496323,103537484,3025100,21141457582,0,393234,0,2177636,3057712,0,2136440,0,2465853,10230875
31-Jan-2020,AGRS,EQUITY,7108349644,157,0,5523437,0,20158930,46464637,1587900,0,0,1434781,75169685,0,150416362,0,0,2082391,0,55100,0,6828064340,6980618193
31-Jan-2020,AHAP,EQUITY,2940000000,58,1827142432,220710666,0,0,499083768,0,3965,0,0,2546940831,147816500,0,0,0,240798415,0,103341,0,55,388718311
31-Jan-2020,AIMS,EQUITY,220000000,180,0,184461690,0,0,35367710,0,18100,0,0,219847500,0,0,0,100,2000,0,400,0,0,2500
31-Jan-2020,AISA,EQUITY,3218600000,168,770100,217538886,9729500,0,1196761889,21822300,942282,590000,9156615,1457311572,250000,913939985,2082500,148678750,13979100,364295622,78891355,0,238543116,1760660428
31-Jan-2020,AKKU,EQUITY,6449463636,50,0,5243982400,0,0,910037236,0,73199400,0,0,6227219036,0,196154300,0,0,1050200,0,2040100,0,23000000,222244600
31-Jan-2020,AKPI,EQUITY,680000000,340,4000,213183673,0,2,28323771,17500,2122,0,0,241531068,0,0,34,249301,96703,0,97500,0,10300,453838
31-Jan-2020,AKRA,EQUITY,4014694920,3310,104219500,479716100,27055000,0,171592211,238574703,6090126,1513800,962000,1029723440,1913600,86918072,118716963,87990912,10290400,501063873,48723627,53500,186974713,1042645660
31-Jan-2020,AKSI,EQUITY,720000000,442,0,11244910,0,0,45343390,0,0,0,0,56588300,0,0,0,949200,0,0,1000,0,0,950200
31-Jan-2020,ALDI,EQUITY,398260000,0,0,105000,0,0,170855500,0,2446000,0,0,173406500,0,80000,0,100000,105000,0,43500,0,0,328500
31-Jan-2020,ALDO,EQUITY,1100000000,460,0,855877869,0,0,244051531,0,100,0,0,1099929500,0,0,0,0,70500,0,0,0,0,70500
31-Jan-2020,ALKA,EQUITY,507665055,406,0,11021250,0,77500,23573105,0,46200,0,0,34718055,0,0,0,793100,2562423,0,33000,0,0,3388523
31-Jan-2020,ALMI,EQUITY,616000000,350,0,96601940,0,0,48916500,0,303000,0,0,145821440,0,32823800,0,300600,372000,0,184900,0,0,33681300
31-Jan-2020,ALTO,EQUITY,2191870558,390,0,1510909116,0,0,419624524,21567500,230879218,0,0,2182980358,0,0,0,7560000,36000,0,1027100,0,15600,8638700
31-Jan-2020,AMAG,EQUITY,5001552516,304,0,48000,185066933,388000000,21081696,0,23887500,0,0,618084129,0,71414700,0,23163700,10834700,0,74524200,0,13988000,193925300
31-Jan-2020,AMAR,EQUITY,8035100000,432,0,0,0,0,36364000,0,0,0,0,36364000,0,0,0,6724277200,100000,0,1194007800,0,0,7918385000
31-Jan-2020,AMFG,EQUITY,434000000,3330,23500,14225782,94500,0,18977600,1689500,73776,3800,0,35088458,0,22983500,0,2613500,191000,11577000,12037959,0,274583,49677542
31-Jan-2020,AMIN,EQUITY,1080000000,406,0,20688800,0,0,105176200,0,26333400,0,0,152198400,0,17438300,0,0,68384800,0,192800,0,1785700,87801600
31-Jan-2020,AMOR,EQUITY,1111111200,2700,22715800,11393000,0,0,67969900,250000,0,0,0,102328700,0,0,0,5653627,23900,2368200,0,0,736773,8782500
31-Jan-2020,AMRT,EQUITY,41524501700,800,210170600,23893437210,9722200,0,2803885635,49609500,397,12280400,0,26979105942,0,4469966715,144177500,1789173238,437400,2481241900,2601844041,231000,3058323964,14545395758
31-Jan-2020,ANDI,EQUITY,9350000000,50,0,725908500,0,0,1761429600,1857249500,310294500,100000,0,4654982100,0,9900,0,42659500,318500,0,2000000,0,0,44987900
31-Jan-2020,ANJT,EQUITY,3354175000,865,161038300,95760079,0,0,79767884,100,0,0,0,336566363,0,5065000,2000,260400,8599937,0,1544300,0,2137000,17608637
31-Jan-2020,ANTM,EQUITY,24030764725,720,1838489338,86547415,685785936,0,2936969065,1077581839,75973806,11687175,8945800,6721980374,20944504,88739715,75386415,303648066,13895741,619893639,263714992,490500,256624584,1643338156
