Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total
26-Feb-2021,AALI,EQUITY,1924688333,11250,127103214,9801645,19143422,49700,83583158,43242740,1270953,2017498,4971127,291183457,1596310,6094361,9234938,15020865,968319,31845007,26660129,386922,7799185,99606036
26-Feb-2021,ABBA,EQUITY,2755125000,74,0,1694286565,0,0,591328399,0,151243,0,0,2285766207,0,100,0,10000000,117600,0,1004400,0,0,11122100
26-Feb-2021,ABDA,EQUITY,620806680,6500,21885,47527082,0,98,47930772,0,7500,739884,0,96227221,0,426136555,0,97403500,500,0,0,0,62,523540617
26-Feb-2021,ABMM,EQUITY,2753165000,750,2677000,6967200,1600,0,50689900,4863500,0,0,0,65199200,0,57405300,0,34985500,444100,295799000,0,0,151862900,540496800
26-Feb-2021,ACES,EQUITY,17150000000,1525,424065227,88415900,31314045,0,218705911,285881155,77648,2220800,5000,1050685686,7486690,718215227,1058788754,517658889,310900,2270579059,176315033,5044099,1059915663,5814314314
26-Feb-2021,ACST,EQUITY,6425160000,380,0,4924061835,23124338,0,1185596897,82914300,1168,0,0,6215698538,0,122148920,0,29157304,5496935,1505800,8063043,0,43089460,209461462
26-Feb-2021,ADES,EQUITY,589896800,1665,62000,119200,58500,350,32245177,500000,411,25000,0,33010638,0,540501713,0,14954021,158000,0,250000,0,0,555863734
26-Feb-2021,ADHI,EQUITY,3560849376,1385,171047637,37961066,140023992,0,793396185,349742074,2532444,21557051,400000,1516660449,0,10314288,46089144,17351133,4087371,44464335,36411946,0,69414086,228132303
26-Feb-2021,ADMF,EQUITY,1000000000,8525,4366800,548400,0,920700000,34619900,15648500,70,0,0,975883670,0,57331,363696,10549822,475300,4083466,4251300,0,4235415,24016330
26-Feb-2021,ADMG,EQUITY,3889179559,177,1030000,994377200,2757200,0,479497987,83,450027,0,0,1478112497,0,1298600,0,23562747,2779000,0,8741896,0,43,36382286
26-Feb-2021,ADRO,EQUITY,31985962000,1180,1939945300,15710268470,185175400,1000,7502885502,1190939699,96015656,50762600,1501810,26677495437,67064924,981677428,683072968,641026847,20558072,1141982538,360585949,39928600,1372569237,5308466563
26-Feb-2021,AGAR,EQUITY,1000000000,412,0,793085400,0,0,206892200,0,0,0,0,999977600,0,200,0,0,22200,0,0,0,0,22400
26-Feb-2021,AGII,EQUITY,3066660000,1360,0,1377533857,0,0,428177700,2625000,20360,0,200000,1808556917,0,780800,0,94304400,717000,0,102236700,0,27200000,225238900
26-Feb-2021,AGRO,EQUITY,21343290230,1355,294694400,14027544,1042070003,18526791176,1076423358,113989198,11226036,88911884,1282071,21169415670,0,10188934,0,32572736,2426312,0,2497040,0,49401672,97086694
26-Feb-2021,AGRS,EQUITY,11226007038,358,0,58085203,0,20158930,47607773,1174500,0,0,1434781,128461187,0,150137862,0,5300,1395591,0,295700,0,6828064340,6979898793
26-Feb-2021,AHAP,EQUITY,2940000000,62,1827142432,221354081,0,0,487280218,0,4050,0,0,2535780781,147816500,0,0,71486621,180471844,0,103341,0,55,399878361
26-Feb-2021,AIMS,EQUITY,220000000,138,0,170441890,0,0,49387510,0,18100,0,0,219847500,0,0,0,100,2000,0,400,0,0,2500
26-Feb-2021,AISA,EQUITY,9311800000,310,770100,6298435286,6864500,0,1587696689,20788900,4037982,100000,8806615,7927500072,250000,914716585,2641700,83020850,5229100,72935022,75644055,0,229234616,1383671928
26-Feb-2021,AKKU,EQUITY,6449463636,50,0,4788680000,0,0,1354418036,0,84017900,3100,0,6227119036,0,196254300,0,0,1050200,0,2040100,0,23000000,222344600
26-Feb-2021,AKPI,EQUITY,680000000,494,4000,213183673,0,2,28313871,17500,2122,0,0,241521168,0,0,34,252401,103503,0,97500,0,10300,463738
26-Feb-2021,AKRA,EQUITY,4014694920,3370,105053402,539758400,29115100,0,210860511,244016582,10716087,817300,880200,1141217582,1481372,46732685,183923433,94725146,9982000,343173993,48554107,171900,202406882,931151518
26-Feb-2021,AKSI,EQUITY,720000000,735,0,3666444,0,0,53871756,0,0,0,0,57538200,0,0,0,0,0,0,300,0,0,300
26-Feb-2021,ALDO,EQUITY,1100000000,450,0,871130069,0,0,228869331,0,100,0,0,1099999500,0,0,0,0,500,0,0,0,0,500
26-Feb-2021,ALKA,EQUITY,507665055,232,0,11021250,0,77500,23873305,0,46200,0,0,35018255,0,0,0,497300,2587323,0,3700,0,0,3088323
26-Feb-2021,ALMI,EQUITY,616000000,262,0,96601840,0,0,49109100,0,303000,0,0,146013940,0,32822200,0,120000,368800,0,177800,0,0,33488800
26-Feb-2021,ALTO,EQUITY,2191870558,344,0,1440879710,0,0,394060918,12688300,335239330,0,0,2182868258,0,50000,0,7560000,36000,0,1104800,0,0,8750800
26-Feb-2021,AMAG,EQUITY,5001552516,230,0,4448000,185066933,388000000,39777496,0,23887500,0,0,641179929,0,58444400,0,7788100,7748200,2066800,68985800,0,25796200,170829500
26-Feb-2021,AMAN,EQUITY,3873500000,294,0,0,0,0,585000000,0,0,0,0,585000000,0,0,0,0,0,0,0,0,0,0
26-Feb-2021,AMAR,EQUITY,8035100000,270,0,6036700,0,0,182915300,0,0,0,0,188952000,0,0,0,6737712100,120000,0,1027964900,0,0,7765797000
26-Feb-2021,AMFG,EQUITY,434000000,3330,23500,14225482,94500,0,22548500,1392400,73776,0,0,38358158,0,22139200,0,1785200,402200,9815700,12024459,0,241083,46407842
26-Feb-2021,AMIN,EQUITY,1080000000,238,0,20688800,0,0,101715900,0,29783800,0,0,152188500,0,17438300,0,0,68394700,0,192800,0,1785700,87811500
26-Feb-2021,AMOR,EQUITY,1111111200,3110,20964100,177558700,0,0,233590000,180000,0,0,0,432292800,0,0,0,8945227,500000,1883300,300,0,429573,11758400
26-Feb-2021,AMRT,EQUITY,41524501700,1020,250762900,24002011183,9438200,0,2825167262,49937000,409,12280400,0,27149597354,0,4042829315,466885000,1864899638,3342000,2450483428,2601619370,127293800,2817551795,14374904346
26-Feb-2021,ANDI,EQUITY,9350000000,50,19879605,786790180,0,0,1985310868,1656170890,245309208,0,105600,4693566351,0,9900,0,5252300,1141449,0,0,0,0,6403649
26-Feb-2021,ANJT,EQUITY,3354175000,665,160941800,95859579,0,0,81340284,100,0,0,0,338141763,0,5000000,2000,0,7099937,0,1794300,0,2137000,16033237
26-Feb-2021,ANTM,EQUITY,24030764725,2840,837000817,121590015,197139857,2700,3368943516,1302474891,118939406,21754475,8604700,5976450377,29367904,200255382,183968971,663445078,22475841,704349419,216275117,3152200,366980866,2390270778
26-Feb-2021,APEX,EQUITY,2659850000,525,0,1827214694,0,0,58426520,0,2800,0,0,1885644014,0,573737577,0,122676950,0,0,77787,0,0,696492314
26-Feb-2021,APIC,EQUITY,11766313488,820,1298436650,8630634680,9750000,0,169497859,751702157,89587391,25490000,0,10975098737,4523744,260237101,4422100,433582300,21250,43873900,470800,0,44083556,791214751
26-Feb-2021,APII,EQUITY,1075760000,174,0,1000,0,0,46002000,0,0,0,0,46003000,0,0,0,798600,45249000,0,39427400,0,143096000,228571000
26-Feb-2021,APLI,EQUITY,1362671400,194,0,202033500,0,0,558761800,0,165000,0,0,760960300,0,0,0,0,204800,0,1405300,0,0,1610100
