Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
7325,7326,8:45:00,ICBP,B,RG,8150,1,1,D,--,Open
12949,12950,8:45:00,ICBP,B,RG,8150,200,200,D,--,Open
14157,14158,8:45:01,ICBP,B,RG,8150,1,1,D,--,Open
24793,24794,8:45:02,ICBP,B,RG,8150,2,2,D,--,Open
27733,27734,8:45:02,ICBP,B,RG,8150,35,35,D,--,Open
29074,29075,8:45:02,ICBP,B,RG,8150,10,10,D,--,Open
31908,31909,8:45:03,ICBP,B,RG,8150,2,2,D,--,Open
32338,32339,8:45:03,ICBP,B,RG,8150,50,50,D,--,Open
33844,33845,8:45:03,ICBP,B,RG,8150,1,1,D,--,Open
44279,44280,8:45:08,ICBP,B,RG,8150,2,2,D,--,Open
45701,45702,8:45:09,ICBP,B,RG,8150,3,3,D,--,Open
46122,46123,8:45:10,ICBP,B,RG,8150,5,5,D,--,Open
46330,46331,8:45:10,ICBP,B,RG,8150,13,0,D,--,Withdrawn
48450,48451,8:45:12,ICBP,B,RG,8150,40,0,D,--,Withdrawn
50477,50478,8:45:12,ICBP,B,RG,8150,1,1,D,--,Open
51521,51522,8:45:13,ICBP,B,RG,8150,5,5,D,--,Open
51603,51604,8:45:13,ICBP,B,RG,8150,2,2,D,--,Open
52500,52501,8:45:14,ICBP,B,RG,8150,6,6,D,--,Open
52690,52691,8:45:14,ICBP,B,RG,8150,2,2,D,--,Open
53529,53530,8:45:16,ICBP,B,RG,8150,1,1,D,--,Open
56234,56235,8:46:00,ICBP,B,RG,8150,1,1,D,--,Open
59774,59775,8:50:23,ICBP,B,RG,8150,2,2,D,--,Open
63043,63044,8:54:49,ICBP,B,RG,8150,3,3,D,--,Open
64086,64087,8:56:07,ICBP,B,RG,8150,15,15,D,--,Open
65292,65293,8:57:29,ICBP,B,RG,8150,300,300,D,--,Open
308855,308856,9:01:56,ICBP,B,RG,8150,2,2,D,--,Open
368485,368486,9:04:34,ICBP,B,RG,8150,7,7,D,--,Open
455910,455911,9:08:29,ICBP,B,RG,8150,2,2,D,--,Open
458372,458373,9:08:36,ICBP,B,RG,8150,5,5,D,--,Open
480945,480946,9:09:43,ICBP,B,RG,8150,1,1,D,--,Open
737319,737320,9:24:54,ICBP,B,RG,8150,10,10,D,--,Open
850423,850424,9:32:35,ICBP,B,RG,8150,2,2,D,--,Open
1044761,1044762,9:49:13,ICBP,B,RG,8150,10,10,D,--,Open
1225867,1225868,10:09:00,ICBP,B,RG,8150,2,2,D,--,Open
1567906,1567907,10:54:02,ICBP,B,RG,8150,1,1,D,--,Open
1681638,1681639,11:10:58,ICBP,B,RG,8150,1,1,D,--,Open
1797585,1797586,13:30:01,ICBP,B,RG,8150,1,1,D,--,Open
2128271,2128272,14:01:13,ICBP,B,RG,8150,1,1,D,--,Open
45696,45697,8:45:09,ICBP,B,RG,8175,2,2,D,--,Open
51871,51872,8:45:13,ICBP,B,RG,8175,1,1,D,--,Open
2717,2718,8:45:00,ICBP,B,RG,8200,1,1,D,--,Open
3585,3586,8:45:00,ICBP,B,RG,8200,30,30,D,--,Open
19135,19136,8:45:01,ICBP,B,RG,8200,13,13,D,--,Open
20277,20278,8:45:01,ICBP,B,RG,8200,5,5,D,--,Open
23485,23486,8:45:01,ICBP,B,RG,8200,1,1,D,--,Open
27303,27304,8:45:02,ICBP,B,RG,8200,2,2,D,--,Open
27381,27382,8:45:02,ICBP,B,RG,8200,1,1,D,--,Open
32340,32341,8:45:03,ICBP,B,RG,8200,10,0,D,--,Amended
34795,34796,8:45:03,ICBP,B,RG,8200,37,37,D,--,Open
39178,39179,8:45:05,ICBP,B,RG,8200,1,1,D,--,Open
41566,41567,8:45:06,ICBP,B,RG,8200,7,7,D,--,Open
42050,42051,8:45:06,ICBP,B,RG,8200,50,50,D,--,Open
45690,45691,8:45:09,ICBP,B,RG,8200,3,3,D,--,Open
46121,46122,8:45:10,ICBP,B,RG,8200,5,5,D,--,Open
48588,48589,8:45:12,ICBP,B,RG,8200,30,30,D,--,Open
52708,52709,8:45:14,ICBP,B,RG,8200,10,10,D,--,Open
56235,56236,8:46:00,ICBP,B,RG,8200,1,1,D,--,Open
404365,404366,9:06:09,ICBP,B,RG,8200,1,1,D,--,Open
421750,421751,9:06:57,ICBP,B,RG,8200,1,1,D,--,Open
459032,459033,9:08:38,ICBP,B,RG,8200,5,5,D,--,Open
467021,467022,9:09:03,ICBP,B,RG,8200,5,5,D,--,Open
784729,784730,9:28:02,ICBP,B,RG,8200,2,2,D,--,Open
1053706,1053707,9:50:02,ICBP,B,RG,8200,5,5,D,--,Open
1500713,1500714,10:44:38,ICBP,B,RG,8200,20,20,D,--,Open
1541592,1541593,10:50:18,ICBP,B,RG,8200,15,15,F,--,Open
1681897,1681898,11:11:01,ICBP,B,RG,8200,1,1,D,--,Open
8561,8562,8:45:00,ICBP,B,RG,8225,80,80,D,--,Open
24107,24108,8:45:01,ICBP,B,RG,8225,2,2,D,--,Open
