Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
2926,2927,8:45:00,ICBP,B,RG,8325,1,1,D,,Open
3883,3884,8:45:00,ICBP,B,RG,8325,360,0,D,,Withdrawn
12768,12769,8:45:00,ICBP,B,RG,8325,1,1,D,,Open
16694,16695,8:45:01,ICBP,B,RG,8325,5,5,D,,Open
16909,16910,8:45:01,ICBP,B,RG,8325,200,200,D,,Open
20476,20477,8:45:01,ICBP,B,RG,8325,3,3,D,,Open
21602,21603,8:45:01,ICBP,B,RG,8325,3,3,D,,Open
32797,32798,8:45:02,ICBP,B,RG,8325,1,1,D,,Open
39602,39603,8:45:02,ICBP,B,RG,8325,10,10,D,,Open
40956,40957,8:45:03,ICBP,B,RG,8325,3,3,D,,Open
56133,56134,8:45:09,ICBP,B,RG,8325,1,1,D,,Open
58108,58109,8:45:12,ICBP,B,RG,8325,10,10,D,,Open
59548,59549,8:45:14,ICBP,B,RG,8325,1,1,D,,Open
66212,66213,8:47:00,ICBP,B,RG,8325,1,1,D,,Open
68634,68635,8:50:42,ICBP,B,RG,8325,2,2,D,,Open
71457,71458,8:54:42,ICBP,B,RG,8325,5,5,D,,Open
376519,376520,9:02:53,ICBP,B,RG,8325,1,1,D,,Open
881347,881348,9:30:20,ICBP,B,RG,8325,1,1,D,,Open
1000072,1000073,9:39:37,ICBP,B,RG,8325,5,5,D,,Open
1021189,1021190,9:41:21,ICBP,B,RG,8325,1,1,D,,Open
1390832,1390833,10:19:51,ICBP,B,RG,8325,5,5,D,,Open
1431286,1431287,10:25:41,ICBP,B,RG,8325,4,4,D,,Open
1552969,1552970,10:44:31,ICBP,B,RG,8325,10,10,D,,Open
1912044,1912045,13:30:07,ICBP,B,RG,8325,1,1,D,,Open
1923093,1923094,13:30:09,ICBP,B,RG,8325,1,1,D,,Open
1984765,1984766,13:35:32,ICBP,B,RG,8325,1,1,D,,Open
3875,3876,8:45:00,ICBP,B,RG,8350,240,0,D,,Withdrawn
11542,11543,8:45:00,ICBP,B,RG,8350,1,1,D,,Open
15825,15826,8:45:01,ICBP,B,RG,8350,1,1,D,,Open
19318,19319,8:45:01,ICBP,B,RG,8350,1,1,D,,Open
35940,35941,8:45:02,ICBP,B,RG,8350,1,1,D,,Open
41085,41086,8:45:03,ICBP,B,RG,8350,1,1,D,,Open
41142,41143,8:45:03,ICBP,B,RG,8350,5,5,D,,Open
55551,55552,8:45:08,ICBP,B,RG,8350,30,30,D,,Open
63246,63247,8:45:19,ICBP,B,RG,8350,15,15,D,,Open
64670,64671,8:45:50,ICBP,B,RG,8350,175,175,D,,Open
64757,64758,8:45:54,ICBP,B,RG,8350,50,50,D,,Open
66215,66216,8:47:00,ICBP,B,RG,8350,1,1,D,,Open
68003,68004,8:49:42,ICBP,B,RG,8350,2,2,D,,Open
392810,392811,9:03:30,ICBP,B,RG,8350,5,5,D,,Open
463140,463141,9:06:18,ICBP,B,RG,8350,1,1,D,,Open
487386,487387,9:07:22,ICBP,B,RG,8350,3,3,D,,Open
497166,497167,9:07:49,ICBP,B,RG,8350,1,1,D,,Open
1121568,1121569,9:50:07,ICBP,B,RG,8350,15,15,F,,Open
1918425,1918426,13:30:08,ICBP,B,RG,8350,1,1,D,,Open
3867,3868,8:45:00,ICBP,B,RG,8375,119,0,D,,Withdrawn
7514,7515,8:45:00,ICBP,B,RG,8375,1,1,D,,Open
812676,812677,9:25:25,ICBP,B,RG,8375,2,2,D,,Open
1687031,1687032,11:04:18,ICBP,B,RG,8375,1,1,D,,Open
3861,3862,8:45:00,ICBP,B,RG,8400,119,0,D,,Withdrawn
4053,4054,8:45:00,ICBP,B,RG,8400,1,1,D,,Open
7919,7920,8:45:00,ICBP,B,RG,8400,15,15,D,,Open
11849,11850,8:45:00,ICBP,B,RG,8400,1,1,D,,Open
17360,17361,8:45:01,ICBP,B,RG,8400,1,1,D,,Open
17404,17405,8:45:01,ICBP,B,RG,8400,5,5,D,,Open
18626,18627,8:45:01,ICBP,B,RG,8400,1,1,D,,Open
22688,22689,8:45:01,ICBP,B,RG,8400,2,2,D,,Open
25334,25335,8:45:01,ICBP,B,RG,8400,5,5,D,,Open
33013,33014,8:45:02,ICBP,B,RG,8400,1,1,D,,Open
41715,41716,8:45:03,ICBP,B,RG,8400,1,1,D,,Open
45408,45409,8:45:04,ICBP,B,RG,8400,1,1,D,,Open
53351,53352,8:45:07,ICBP,B,RG,8400,10,10,D,,Open
54724,54725,8:45:08,ICBP,B,RG,8400,1,1,D,,Open
65613,65614,8:46:12,ICBP,B,RG,8400,20,20,D,,Open
66216,66217,8:47:00,ICBP,B,RG,8400,1,1,D,,Open
705059,705060,9:18:50,ICBP,B,RG,8400,20,20,D,,Open
837751,837752,9:27:09,ICBP,B,RG,8400,25,25,D,,Open
1213659,1213660,9:59:06,ICBP,B,RG,8400,60,60,D,,Open
1429049,1429050,10:25:22,ICBP,B,RG,8400,2,2,D,,Open
1570441,1570442,10:47:08,ICBP,B,RG,8400,7,0,D,,Amended
3261,3262,8:45:00,ICBP,B,RG,8425,2,2,D,,Open
3853,3854,8:45:00,ICBP,B,RG,8425,119,0,D,,Withdrawn
20433,20434,8:45:01,ICBP,B,RG,8425,3,3,D,,Open
20656,20657,8:45:01,ICBP,B,RG,8425,3,3,D,,Open
41570,41571,8:45:03,ICBP,B,RG,8425,5,5,D,,Open
46678,46679,8:45:04,ICBP,B,RG,8425,1,1,D,,Open
55552,55553,8:45:08,ICBP,B,RG,8425,30,30,D,,Open
