Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
2658,2659,8:45:00,ICBP,B,RG,8250,1,1,D,,Open
3547,3548,8:45:00,ICBP,B,RG,8250,200,200,D,,Open
6730,6731,8:45:00,ICBP,B,RG,8250,2,2,D,,Open
13537,13538,8:45:00,ICBP,B,RG,8250,200,200,D,,Open
16617,16618,8:45:01,ICBP,B,RG,8250,10,10,D,,Open
16951,16952,8:45:01,ICBP,B,RG,8250,15,15,D,,Open
18918,18919,8:45:01,ICBP,B,RG,8250,1,1,D,,Open
19061,19062,8:45:01,ICBP,B,RG,8250,100,100,D,,Open
23047,23048,8:45:01,ICBP,B,RG,8250,500,500,D,,Open
25402,25403,8:45:01,ICBP,B,RG,8250,200,200,D,,Open
29428,29429,8:45:02,ICBP,B,RG,8250,3,3,D,,Open
30613,30614,8:45:02,ICBP,B,RG,8250,100,100,D,,Open
32331,32332,8:45:02,ICBP,B,RG,8250,3,3,D,,Open
34232,34233,8:45:02,ICBP,B,RG,8250,2,2,D,,Open
40197,40198,8:45:03,ICBP,B,RG,8250,1,0,D,,Withdrawn
41556,41557,8:45:03,ICBP,B,RG,8250,1,1,D,,Open
41618,41619,8:45:03,ICBP,B,RG,8250,10,10,D,,Open
43462,43463,8:45:04,ICBP,B,RG,8250,5,5,D,,Open
45827,45828,8:45:05,ICBP,B,RG,8250,40,40,D,,Open
46377,46378,8:45:05,ICBP,B,RG,8250,3,3,D,,Open
49402,49403,8:45:05,ICBP,B,RG,8250,1,1,D,,Open
51847,51848,8:45:06,ICBP,B,RG,8250,5,5,D,,Open
52969,52970,8:45:07,ICBP,B,RG,8250,1,1,D,,Open
53351,53352,8:45:07,ICBP,B,RG,8250,5,0,D,,Withdrawn
54005,54006,8:45:08,ICBP,B,RG,8250,10,10,D,,Open
54419,54420,8:45:08,ICBP,B,RG,8250,25,25,D,,Open
55403,55404,8:45:09,ICBP,B,RG,8250,300,300,D,,Open
55419,55420,8:45:09,ICBP,B,RG,8250,2,2,D,,Open
58190,58191,8:45:12,ICBP,B,RG,8250,10,10,D,,Open
58449,58450,8:45:12,ICBP,B,RG,8250,5,5,D,,Open
58537,58538,8:45:12,ICBP,B,RG,8250,30,0,D,,Amended
59206,59207,8:45:14,ICBP,B,RG,8250,11,11,D,,Open
61732,61733,8:45:17,ICBP,B,RG,8250,1,1,D,,Open
62877,62878,8:45:19,ICBP,B,RG,8250,10,10,D,,Open
64208,64209,8:45:21,ICBP,B,RG,8250,1,1,D,,Open
66317,66318,8:46:59,ICBP,B,RG,8250,10,0,D,,Withdrawn
68326,68327,8:49:49,ICBP,B,RG,8250,1,1,D,,Open
70263,70264,8:52:13,ICBP,B,RG,8250,5,5,D,,Open
70875,70876,8:52:58,ICBP,B,RG,8250,1,1,D,,Open
270631,270632,9:00:21,ICBP,B,RG,8250,1,1,D,,Open
370557,370558,9:03:10,ICBP,B,RG,8250,10,10,D,,Open
374088,374089,9:03:18,ICBP,B,RG,8250,30,0,D,,Withdrawn
376834,376835,9:03:25,ICBP,B,RG,8250,10,10,D,,Open
398911,398912,9:04:21,ICBP,B,RG,8250,3,3,D,,Open
400489,400490,9:04:25,ICBP,B,RG,8250,100,0,D,,Amended
400489,417846,9:05:04,ICBP,B,RG,8250,50,50,D,,Open
445002,445003,9:06:11,ICBP,B,RG,8250,1,1,D,,Open
493946,493947,9:08:14,ICBP,B,RG,8250,10,10,D,,Open
509374,509375,9:08:53,ICBP,B,RG,8250,25,25,D,,Open
554603,554604,9:10:54,ICBP,B,RG,8250,2,2,D,,Open
735382,735383,9:20:43,ICBP,B,RG,8250,2,0,D,,Amended
795801,795802,9:24:29,ICBP,B,RG,8250,30,30,D,,Open
814916,814917,9:25:56,ICBP,B,RG,8250,2,2,D,,Open
869880,869881,9:29:57,ICBP,B,RG,8250,2,2,D,,Open
897277,897278,9:31:56,ICBP,B,RG,8250,1,1,D,,Open
984380,984381,9:38:48,ICBP,B,RG,8250,20,20,D,,Open
1173741,1173742,9:56:42,ICBP,B,RG,8250,20,20,D,,Open
1516266,1516267,10:37:54,ICBP,B,RG,8250,15,15,D,,Open
1521455,1521456,10:38:39,ICBP,B,RG,8250,22,22,D,,Open
1575137,1575138,10:46:23,ICBP,B,RG,8250,20,20,D,,Open
1606857,1606858,10:50:46,ICBP,B,RG,8250,5,5,D,,Open
1682278,1682279,11:02:24,ICBP,B,RG,8250,1,1,D,,Open
1702942,1702943,11:05:33,ICBP,B,RG,8250,2,2,D,,Open
1864969,1864970,13:30:02,ICBP,B,RG,8250,5,5,D,,Open
1871889,1871890,13:30:03,ICBP,B,RG,8250,5,5,D,,Open
1899881,1899882,13:30:07,ICBP,B,RG,8250,2,2,D,,Open
2031839,2031840,13:44:51,ICBP,B,RG,8250,30,30,D,,Open
2056311,2056312,13:47:40,ICBP,B,RG,8250,1,1,D,,Open
24011,24012,8:45:01,ICBP,B,RG,8275,1,1,D,,Open
24024,24025,8:45:01,ICBP,B,RG,8275,1,1,D,,Open
25166,25167,8:45:01,ICBP,B,RG,8275,1,1,D,,Open
25384,25385,8:45:01,ICBP,B,RG,8275,200,200,D,,Open
54480,54481,8:45:08,ICBP,B,RG,8275,2,2,D,,Open
61648,61649,8:45:17,ICBP,B,RG,8275,1,1,D,,Open
72181,72182,8:54:35,ICBP,B,RG,8275,1,0,D,,Amended
425924,425925,9:05:24,ICBP,B,RG,8275,1,1,D,,Open
1148331,1148332,9:54:01,ICBP,B,RG,8275,20,20,D,,Open
1314457,1314458,10:12:24,ICBP,B,RG,8275,7,0,D,,Amended
1872099,1872100,13:30:03,ICBP,B,RG,8275,10,10,D,,Open
3891,3892,8:45:00,ICBP,B,RG,8300,28,28,D,,Open
6912,6913,8:45:00,ICBP,B,RG,8300,2,2,D,,Open
20594,20595,8:45:01,ICBP,B,RG,8300,5,5,D,,Open
20608,20609,8:45:01,ICBP,B,RG,8300,200,200,D,,Open
21552,21553,8:45:01,ICBP,B,RG,8300,3,3,D,,Open
21616,21617,8:45:01,ICBP,B,RG,8300,1,1,D,,Open
21892,21893,8:45:01,ICBP,B,RG,8300,3,3,D,,Open
22910,22911,8:45:01,ICBP,B,RG,8300,5,5,D,,Open
25956,25957,8:45:01,ICBP,B,RG,8300,16,16,D,,Open
29952,29953,8:45:02,ICBP,B,RG,8300,1,0,D,,Withdrawn
40472,40473,8:45:03,ICBP,B,RG,8300,1,1,D,,Open
59407,59408,8:45:14,ICBP,B,RG,8300,30,0,D,,Amended
61640,61641,8:45:17,ICBP,B,RG,8300,1,0,D,,Withdrawn
63578,63579,8:45:20,ICBP,B,RG,8300,10,10,D,,Open
64216,64217,8:45:21,ICBP,B,RG,8300,1,1,D,,Open
72121,72122,8:54:31,ICBP,B,RG,8300,30,30,D,,Open
275759,275760,9:00:25,ICBP,B,RG,8300,30,30,D,,Open
434791,434792,9:05:45,ICBP,B,RG,8300,3,3,D,,Open
554658,554659,9:10:54,ICBP,B,RG,8300,2,2,D,,Open
687628,687629,9:17:50,ICBP,B,RG,8300,2,2,D,,Open
758988,758989,9:22:20,ICBP,B,RG,8300,5,5,D,,Open
841475,841476,9:27:54,ICBP,B,RG,8300,8,8,D,,Open
920063,920064,9:33:36,ICBP,B,RG,8300,5,5,D,,Open
969784,969785,9:37:31,ICBP,B,RG,8300,1000,1000,D,,Open
1022929,1022930,9:42:27,ICBP,B,RG,8300,15,15,F,,Open
1162369,1162370,9:55:29,ICBP,B,RG,8300,60,60,D,,Open
1267029,1267030,10:06:45,ICBP,B,RG,8300,2,2,D,,Open
1887454,1887455,13:30:05,ICBP,B,RG,8300,2,2,D,,Open
2623488,2623489,14:59:54,ICBP,B,RG,8300,310,0,F,,Withdrawn
13921,13922,8:45:00,ICBP,B,RG,8325,1,1,D,,Open
20497,20498,8:45:01,ICBP,B,RG,8325,200,200,D,,Open
29271,29272,8:45:02,ICBP,B,RG,8325,15,15,D,,Open
29421,29422,8:45:02,ICBP,B,RG,8325,3,3,D,,Open
29809,29810,8:45:02,ICBP,B,RG,8325,1,1,D,,Open
32400,32401,8:45:02,ICBP,B,RG,8325,3,3,D,,Open
46091,46092,8:45:05,ICBP,B,RG,8325,30,30,D,,Open
54359,54360,8:45:08,ICBP,B,RG,8325,2,2,D,,Open
56282,56283,8:45:10,ICBP,B,RG,8325,12,12,D,,Open
56509,56510,8:45:10,ICBP,B,RG,8325,15,0,D,,Withdrawn
67027,67028,8:47:55,ICBP,B,RG,8325,1,1,D,,Open
71983,71984,8:54:21,ICBP,B,RG,8325,250,250,D,,Open
1274947,1274948,10:07:43,ICBP,B,RG,8325,1,1,D,,Open
6628,6629,8:45:00,ICBP,B,RG,8350,10,10,D,,Open
14363,14364,8:45:00,ICBP,B,RG,8350,1,1,D,,Open
20412,20413,8:45:01,ICBP,B,RG,8350,200,200,D,,Open
22609,22610,8:45:01,ICBP,B,RG,8350,2,2,D,,Open
24113,24114,8:45:01,ICBP,B,RG,8350,2,2,D,,Open
30253,30254,8:45:02,ICBP,B,RG,8350,5,5,D,,Open
40067,40068,8:45:03,ICBP,B,RG,8350,1,1,D,,Open
45685,45686,8:45:05,ICBP,B,RG,8350,5,5,D,,Open
51827,51828,8:45:06,ICBP,B,RG,8350,5,5,D,,Open
58177,58178,8:45:12,ICBP,B,RG,8350,20,0,D,,Withdrawn
61003,61004,8:45:16,ICBP,B,RG,8350,25,25,D,,Open
67121,67122,8:48:02,ICBP,B,RG,8350,175,175,D,,Open
67162,67163,8:48:05,ICBP,B,RG,8350,50,50,D,,Open
432689,432690,9:05:41,ICBP,B,RG,8350,1,1,D,,Open
456898,456899,9:06:41,ICBP,B,RG,8350,2,2,D,,Open
554713,554714,9:10:54,ICBP,B,RG,8350,2,2,D,,Open
613434,613435,9:13:48,ICBP,B,RG,8350,5,5,D,,Open
925635,925636,9:34:01,ICBP,B,RG,8350,25,25,D,,Open
1435940,1435941,10:26:41,ICBP,B,RG,8350,1,1,D,,Open
1621545,1621546,10:52:58,ICBP,B,RG,8350,2,2,D,,Open
