Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
5593,5594,8:45:00,INDF,B,RG,5975,20,20,D,--,Open
8530,8531,8:45:00,INDF,B,RG,5975,1,1,D,--,Open
8562,8563,8:45:00,INDF,B,RG,5975,2,2,D,--,Open
9855,9856,8:45:00,INDF,B,RG,5975,10,0,D,--,Withdrawn
12763,12764,8:45:00,INDF,B,RG,5975,10,10,D,--,Open
13155,13156,8:45:00,INDF,B,RG,5975,50,50,D,--,Open
27365,27366,8:45:02,INDF,B,RG,5975,3,3,D,--,Open
27572,27573,8:45:02,INDF,B,RG,5975,4,4,D,--,Open
28156,28157,8:45:02,INDF,B,RG,5975,10,10,D,--,Open
34827,34828,8:45:04,INDF,B,RG,5975,30,30,D,--,Open
35662,35663,8:45:05,INDF,B,RG,5975,10,10,D,--,Open
35920,35921,8:45:05,INDF,B,RG,5975,10,10,D,--,Open
41763,41764,8:45:07,INDF,B,RG,5975,5,5,D,--,Open
42169,42170,8:45:07,INDF,B,RG,5975,2,2,D,--,Open
42484,42485,8:45:07,INDF,B,RG,5975,20,20,D,--,Open
43472,43473,8:45:08,INDF,B,RG,5975,3,3,D,--,Open
46422,46423,8:45:12,INDF,B,RG,5975,8,0,D,--,Withdrawn
49118,49119,8:45:16,INDF,B,RG,5975,10,10,D,--,Open
49126,49127,8:45:16,INDF,B,RG,5975,1,1,D,--,Open
49214,49215,8:45:16,INDF,B,RG,5975,3,3,D,--,Open
51342,51343,8:47:00,INDF,B,RG,5975,4,4,D,--,Open
55595,55596,8:54:51,INDF,B,RG,5975,100,100,D,--,Open
56715,56716,8:56:45,INDF,B,RG,5975,25,25,D,--,Open
626848,626849,9:22:58,INDF,B,RG,5975,5,5,D,--,Open
737896,737897,9:31:59,INDF,B,RG,5975,7,7,D,--,Open
967470,967471,9:54:57,INDF,B,RG,5975,5,5,D,--,Open
1033961,1033962,10:02:41,INDF,B,RG,5975,1,1,D,--,Open
1144726,1144727,10:17:04,INDF,B,RG,5975,2,2,D,--,Open
1239710,1239711,10:32:33,INDF,B,RG,5975,10,10,D,--,Open
1250705,1250706,10:34:36,INDF,B,RG,5975,10,10,D,--,Open
1362733,1362734,10:53:55,INDF,B,RG,5975,1,1,D,--,Open
1602601,1602602,13:30:02,INDF,B,RG,5975,2,2,D,--,Open
1621300,1621301,13:30:09,INDF,B,RG,5975,1,1,D,--,Open
1624473,1624474,13:30:11,INDF,B,RG,5975,11,11,D,--,Open
1794550,1794551,13:53:41,INDF,B,RG,5975,1,1,D,--,Open
1920951,1920952,14:10:34,INDF,B,RG,5975,1,1,D,--,Open
2088854,2088855,14:34:08,INDF,B,RG,5975,1,1,D,--,Open
3140,3141,8:45:00,INDF,B,RG,6000,50,50,D,--,Open
5487,5488,8:45:00,INDF,B,RG,6000,2000,2000,D,--,Open
