Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
4058,4059,8:45:00,INDF,B,RG,5850,1,1,D,,Open
12138,12139,8:45:00,INDF,B,RG,5850,5,5,D,,Open
14118,14119,8:45:00,INDF,B,RG,5850,10,0,D,,Withdrawn
14367,14368,8:45:00,INDF,B,RG,5850,500,500,D,,Open
16762,16763,8:45:01,INDF,B,RG,5850,10,10,D,,Open
17053,17054,8:45:01,INDF,B,RG,5850,500,500,D,,Open
18713,18714,8:45:01,INDF,B,RG,5850,3,3,D,,Open
19803,19804,8:45:01,INDF,B,RG,5850,5,5,D,,Open
23309,23310,8:45:01,INDF,B,RG,5850,42,42,D,,Open
26455,26456,8:45:01,INDF,B,RG,5850,3,3,D,,Open
27625,27626,8:45:01,INDF,B,RG,5850,20,20,D,,Open
28775,28776,8:45:02,INDF,B,RG,5850,2,2,D,,Open
30810,30811,8:45:02,INDF,B,RG,5850,1,1,D,,Open
31201,31202,8:45:02,INDF,B,RG,5850,50,50,D,,Open
32188,32189,8:45:02,INDF,B,RG,5850,5,5,D,,Open
41863,41864,8:45:03,INDF,B,RG,5850,30,30,D,,Open
44807,44808,8:45:04,INDF,B,RG,5850,2,2,D,,Open
45191,45192,8:45:04,INDF,B,RG,5850,5,5,D,,Open
45988,45989,8:45:04,INDF,B,RG,5850,2,2,D,,Open
46362,46363,8:45:04,INDF,B,RG,5850,50,50,D,,Open
47258,47259,8:45:04,INDF,B,RG,5850,25,25,D,,Open
48548,48549,8:45:05,INDF,B,RG,5850,4,4,D,,Open
52206,52207,8:45:05,INDF,B,RG,5850,20,20,D,,Open
53429,53430,8:45:05,INDF,B,RG,5850,1,1,D,,Open
56217,56218,8:45:07,INDF,B,RG,5850,50,50,D,,Open
57142,57143,8:45:08,INDF,B,RG,5850,10,10,D,,Open
57666,57667,8:45:08,INDF,B,RG,5850,5,5,D,,Open
57742,57743,8:45:09,INDF,B,RG,5850,1,1,D,,Open
58423,58424,8:45:09,INDF,B,RG,5850,2,2,D,,Open
59984,59985,8:45:11,INDF,B,RG,5850,7,7,D,,Open
60102,60103,8:45:11,INDF,B,RG,5850,5,5,D,,Open
60238,60239,8:45:11,INDF,B,RG,5850,10,10,D,,Open
60494,60495,8:45:11,INDF,B,RG,5850,2,2,D,,Open
64607,64608,8:45:17,INDF,B,RG,5850,2,2,D,,Open
64883,64884,8:45:17,INDF,B,RG,5850,3,0,D,,Withdrawn
65223,65224,8:45:18,INDF,B,RG,5850,10,10,D,,Open
68287,68288,8:46:00,INDF,B,RG,5850,4,4,D,,Open
69233,69234,8:46:19,INDF,B,RG,5850,20,20,F,,Open
74384,74385,8:53:39,INDF,B,RG,5850,41,41,D,,Open
112085,112086,9:00:02,INDF,B,RG,5850,20,20,D,,Open
127333,127334,9:00:03,INDF,B,RG,5850,20,20,D,,Open
375619,375620,9:02:52,INDF,B,RG,5850,2,2,D,,Open
463784,463785,9:06:34,INDF,B,RG,5850,2,2,D,,Open
469341,469342,9:06:49,INDF,B,RG,5850,2,2,D,,Open
485293,485294,9:07:31,INDF,B,RG,5850,5,5,D,,Open
524686,524687,9:09:15,INDF,B,RG,5850,2,2,D,,Open
530880,530881,9:09:31,INDF,B,RG,5850,2,2,D,,Open
534377,534378,9:09:40,INDF,B,RG,5850,2,2,D,,Open
550861,550862,9:10:26,INDF,B,RG,5850,2,2,D,,Open
669535,669536,9:16:29,INDF,B,RG,5850,20,20,D,,Open
763827,763828,9:22:01,INDF,B,RG,5850,5,5,D,,Open
859123,859124,9:29:01,INDF,B,RG,5850,20,20,F,,Open
867305,867306,9:29:40,INDF,B,RG,5850,10,10,D,,Open
874639,874640,9:30:14,INDF,B,RG,5850,2,2,D,,Open
881242,881243,9:30:46,INDF,B,RG,5850,1,1,D,,Open
909926,909927,9:33:10,INDF,B,RG,5850,1,1,D,,Open
927073,927074,9:34:36,INDF,B,RG,5850,3,3,D,,Open
1032230,1032231,9:43:36,INDF,B,RG,5850,1,1,D,,Open
1138875,1138876,9:53:35,INDF,B,RG,5850,100,100,D,,Open
1215862,1215863,10:01:49,INDF,B,RG,5850,50,50,D,,Open
1536424,1536425,10:46:40,INDF,B,RG,5850,5,5,D,,Open
1714049,1714050,11:19:11,INDF,B,RG,5850,10,10,D,,Open
1750976,1750977,11:26:32,INDF,B,RG,5850,3,3,D,,Open
1827234,1827235,13:30:16,INDF,B,RG,5850,2,2,D,,Open
