Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
2062,2063,8:45:00,INDF,B,RG,5975,15,0,D,,Withdrawn
2994,2995,8:45:00,INDF,B,RG,5975,100,100,D,,Open
3226,3227,8:45:00,INDF,B,RG,5975,1,1,D,,Open
5777,5778,8:45:00,INDF,B,RG,5975,4,4,D,,Open
11056,11057,8:45:00,INDF,B,RG,5975,10,10,D,,Open
12678,12679,8:45:00,INDF,B,RG,5975,2,2,D,,Open
13003,13004,8:45:00,INDF,B,RG,5975,5,5,D,,Open
14577,14578,8:45:00,INDF,B,RG,5975,10,0,D,,Withdrawn
22820,22821,8:45:01,INDF,B,RG,5975,20,0,D,,Amended
24828,24829,8:45:01,INDF,B,RG,5975,15,15,D,,Open
30492,30493,8:45:02,INDF,B,RG,5975,5,5,D,,Open
33223,33224,8:45:02,INDF,B,RG,5975,4,4,D,,Open
36054,36055,8:45:02,INDF,B,RG,5975,10,0,D,,Withdrawn
36084,36085,8:45:03,INDF,B,RG,5975,50,50,D,,Open
37675,37676,8:45:03,INDF,B,RG,5975,20,20,D,,Open
43500,43501,8:45:04,INDF,B,RG,5975,2,2,D,,Open
46837,46838,8:45:04,INDF,B,RG,5975,3,3,D,,Open
47013,47014,8:45:04,INDF,B,RG,5975,3,3,D,,Open
48440,48441,8:45:05,INDF,B,RG,5975,20,20,D,,Open
48722,48723,8:45:06,INDF,B,RG,5975,40,40,D,,Open
55374,55375,8:45:10,INDF,B,RG,5975,50,50,D,,Open
55911,55912,8:45:10,INDF,B,RG,5975,5,5,D,,Open
56644,56645,8:45:12,INDF,B,RG,5975,10,10,D,,Open
56856,56857,8:45:12,INDF,B,RG,5975,1,1,D,,Open
57531,57532,8:45:13,INDF,B,RG,5975,350,350,D,,Open
58474,58475,8:45:14,INDF,B,RG,5975,2,2,D,,Open
58664,58665,8:45:15,INDF,B,RG,5975,10,10,D,,Open
59189,59190,8:45:15,INDF,B,RG,5975,10,10,D,,Open
59839,59840,8:45:16,INDF,B,RG,5975,2,2,D,,Open
60358,60359,8:45:17,INDF,B,RG,5975,1,1,D,,Open
60803,60804,8:45:18,INDF,B,RG,5975,5,5,D,,Open
65301,65302,8:46:20,INDF,B,RG,5975,25,25,D,,Open
82520,82521,9:00:00,INDF,B,RG,5975,360,360,D,,Open
96370,96371,9:00:01,INDF,B,RG,5975,10,10,D,,Open
128288,128289,9:00:03,INDF,B,RG,5975,5,5,D,,Open
210677,210678,9:00:09,INDF,B,RG,5975,5,5,D,,Open
327954,327955,9:02:05,INDF,B,RG,5975,2,2,D,,Open
478403,478404,9:08:55,INDF,B,RG,5975,1,1,D,,Open
500479,500480,9:10:07,INDF,B,RG,5975,8,8,D,,Open
523854,523855,9:11:31,INDF,B,RG,5975,15,0,D,,Withdrawn
532156,532157,9:12:00,INDF,B,RG,5975,4,4,D,,Open
828538,828539,9:33:06,INDF,B,RG,5975,1,1,D,,Open
915582,915583,9:40:58,INDF,B,RG,5975,10,10,D,,Open
948596,948597,9:44:08,INDF,B,RG,5975,1,1,D,,Open
1074059,1074060,9:56:25,INDF,B,RG,5975,9,0,D,,Withdrawn
1276697,1276698,10:23:04,INDF,B,RG,5975,1,1,D,,Open
1298623,1298624,10:26:15,INDF,B,RG,5975,200,200,D,,Open
1318818,1318819,10:29:12,INDF,B,RG,5975,20,20,D,,Open
1353730,1353731,10:34:38,INDF,B,RG,5975,1,1,D,,Open
1424588,1424589,10:46:04,INDF,B,RG,5975,1,1,D,,Open
1679700,1679701,13:30:04,INDF,B,RG,5975,1,1,D,,Open
1681808,1681809,13:30:04,INDF,B,RG,5975,20,20,D,,Open
1841945,1841946,13:47:11,INDF,B,RG,5975,3,3,D,,Open
1950857,1950858,14:01:33,INDF,B,RG,5975,1,1,D,,Open
1988503,1988504,14:06:46,INDF,B,RG,5975,4,4,D,,Open
1996406,1996407,14:07:54,INDF,B,RG,5975,20,20,D,,Open
2016187,2016188,14:10:41,INDF,B,RG,5975,1,1,D,,Open
2095012,2095013,14:21:14,INDF,B,RG,5975,10,10,D,,Open
2112754,2112755,14:23:39,INDF,B,RG,5975,16,0,D,,Withdrawn
2131336,2131337,14:26:03,INDF,B,RG,5975,1,1,D,,Open
1925,1926,8:45:00,INDF,B,RG,6000,1,1,D,,Open
2049,2050,8:45:00,INDF,B,RG,6000,11,11,D,,Open
5670,5671,8:45:00,INDF,B,RG,6000,4,4,D,,Open
10220,10221,8:45:00,INDF,B,RG,6000,1,1,D,,Open
11431,11432,8:45:00,INDF,B,RG,6000,1,1,D,,Open
11472,11473,8:45:00,INDF,B,RG,6000,84,84,D,,Open
13228,13229,8:45:00,INDF,B,RG,6000,10,10,D,,Open
13737,13738,8:45:00,INDF,B,RG,6000,100,100,D,,Open
14068,14069,8:45:00,INDF,B,RG,6000,15,15,D,,Open
15187,15188,8:45:00,INDF,B,RG,6000,1,1,D,,Open
21204,21205,8:45:01,INDF,B,RG,6000,400,400,D,,Open
22723,22724,8:45:01,INDF,B,RG,6000,55,55,D,,Open
23875,23876,8:45:01,INDF,B,RG,6000,15,15,D,,Open
25246,25247,8:45:01,INDF,B,RG,6000,50,50,D,,Open
25747,25748,8:45:01,INDF,B,RG,6000,5,5,D,,Open
26488,26489,8:45:01,INDF,B,RG,6000,10,10,D,,Open
26974,26975,8:45:01,INDF,B,RG,6000,84,84,D,,Open
27104,27105,8:45:01,INDF,B,RG,6000,1,1,D,,Open
28147,28148,8:45:02,INDF,B,RG,6000,500,500,D,,Open
28562,28563,8:45:02,INDF,B,RG,6000,1,1,D,,Open
30950,30951,8:45:02,INDF,B,RG,6000,20,0,D,,Withdrawn
31035,31036,8:45:02,INDF,B,RG,6000,1,1,D,,Open
32630,32631,8:45:02,INDF,B,RG,6000,10,10,D,,Open
