Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
14298,14299,8:45:00,JSMR,B,RG,3590,10,0,D,--,Withdrawn
20037,20038,8:45:01,JSMR,B,RG,3590,1,1,D,--,Open
30421,30422,8:45:02,JSMR,B,RG,3590,3,3,D,--,Open
33910,33911,8:45:03,JSMR,B,RG,3590,10,10,D,--,Open
37972,37973,8:45:04,JSMR,B,RG,3590,5,5,D,--,Open
38064,38065,8:45:04,JSMR,B,RG,3590,40,40,D,--,Open
41320,41321,8:45:06,JSMR,B,RG,3590,5,5,D,--,Open
42968,42969,8:45:07,JSMR,B,RG,3590,5,5,D,--,Open
48294,48295,8:45:13,JSMR,B,RG,3590,2,2,D,--,Open
50751,50752,8:45:16,JSMR,B,RG,3590,10,10,D,--,Open
57861,57862,8:56:12,JSMR,B,RG,3590,10,10,D,--,Open
627307,627308,9:20:02,JSMR,B,RG,3590,1,1,D,--,Open
814801,814802,9:34:36,JSMR,B,RG,3590,5,5,D,--,Open
874580,874581,9:39:54,JSMR,B,RG,3590,2,2,D,--,Open
908824,908825,9:43:10,JSMR,B,RG,3590,5,5,D,--,Open
910422,910423,9:43:20,JSMR,B,RG,3590,15,15,D,--,Open
1000050,1000051,9:53:18,JSMR,B,RG,3590,1,1,D,--,Open
1135531,1135532,10:09:39,JSMR,B,RG,3590,1,1,D,--,Open
1279127,1279128,10:29:52,JSMR,B,RG,3590,1,1,D,--,Open
1330711,1330712,10:37:07,JSMR,B,RG,3590,40,40,D,--,Open
1884555,1884556,14:00:55,JSMR,B,RG,3590,1,1,D,--,Open
13116,13117,8:45:00,JSMR,B,RG,3600,1,1,D,--,Open
32236,32237,8:45:03,JSMR,B,RG,3600,20,20,D,--,Open
39662,39663,8:45:05,JSMR,B,RG,3600,25,25,D,--,Open
42000,42001,8:45:06,JSMR,B,RG,3600,1,1,D,--,Open
43661,43662,8:45:07,JSMR,B,RG,3600,7,7,D,--,Open
43695,43696,8:45:07,JSMR,B,RG,3600,3,3,D,--,Open
45928,45929,8:45:10,JSMR,B,RG,3600,8,8,D,--,Open
50685,50686,8:45:16,JSMR,B,RG,3600,1,1,D,--,Open
1332369,1332370,10:37:22,JSMR,B,RG,3600,30,30,D,--,Open
1522659,1522660,11:11:23,JSMR,B,RG,3600,45,45,F,--,Open
1647621,1647622,13:30:03,JSMR,B,RG,3600,20,20,D,--,Open
1671122,1671123,13:30:13,JSMR,B,RG,3600,1,1,D,--,Open
2069978,2069979,14:27:03,JSMR,B,RG,3600,1,1,D,--,Open
11535,11536,8:45:00,JSMR,B,RG,3610,15,15,D,--,Open
16169,16170,8:45:01,JSMR,B,RG,3610,2,2,D,--,Open
43660,43661,8:45:07,JSMR,B,RG,3610,5,5,D,--,Open
2068672,2068673,14:26:53,JSMR,B,RG,3610,1,1,D,--,Open
7801,7802,8:45:00,JSMR,B,RG,3620,1000,1000,D,--,Open
11569,11570,8:45:00,JSMR,B,RG,3620,18,18,D,--,Open
22890,22891,8:45:01,JSMR,B,RG,3620,5,5,D,--,Open
419874,419875,9:07:40,JSMR,B,RG,3620,5,5,D,--,Open
2067454,2067455,14:26:44,JSMR,B,RG,3620,1,1,D,--,Open
5456,5457,8:45:00,JSMR,B,RG,3630,300,300,D,--,Open
43652,43653,8:45:07,JSMR,B,RG,3630,3,3,D,--,Open
1609316,1609317,11:27:10,JSMR,B,RG,3630,10,10,D,--,Open
2065363,2065364,14:26:29,JSMR,B,RG,3630,1,1,D,--,Open
15622,15623,8:45:01,JSMR,B,RG,3640,5,5,D,--,Open
2064092,2064093,14:26:20,JSMR,B,RG,3640,1,1,D,--,Open
14544,14545,8:45:00,JSMR,B,RG,3650,130,0,D,--,Withdrawn
14685,14686,8:45:00,JSMR,B,RG,3650,50,50,D,--,Open
25074,25075,8:45:01,JSMR,B,RG,3650,5,5,D,--,Open
38427,38428,8:45:04,JSMR,B,RG,3650,30,30,D,--,Open
41323,41324,8:45:06,JSMR,B,RG,3650,5,5,D,--,Open
42973,42974,8:45:07,JSMR,B,RG,3650,2,2,D,--,Open
43654,43655,8:45:07,JSMR,B,RG,3650,5,5,D,--,Open
50730,50731,8:45:16,JSMR,B,RG,3650,1,1,D,--,Open
58013,58014,8:56:25,JSMR,B,RG,3650,5,5,D,--,Open
416676,416677,9:07:30,JSMR,B,RG,3650,2,2,D,--,Open
1480240,1480241,11:03:09,JSMR,B,RG,3650,3,3,D,--,Open
1561632,1561633,11:18:53,JSMR,B,RG,3650,2,2,D,--,Open
2062933,2062934,14:26:11,JSMR,B,RG,3650,1,1,D,--,Open
10322,10323,8:45:00,JSMR,B,RG,3660,9,9,D,--,Open
10493,10494,8:45:00,JSMR,B,RG,3660,5,5,D,--,Open
12369,12370,8:45:00,JSMR,B,RG,3660,200,200,D,--,Open
12457,12458,8:45:00,JSMR,B,RG,3660,200,200,D,--,Open
909259,909260,9:43:13,JSMR,B,RG,3660,15,15,D,--,Open
1218232,1218233,10:20:55,JSMR,B,RG,3660,200,200,D,--,Open
2061718,2061719,14:26:02,JSMR,B,RG,3660,1,1,D,--,Open
43665,43666,8:45:07,JSMR,B,RG,3670,3,3,D,--,Open
2060628,2060629,14:25:54,JSMR,B,RG,3670,1,1,D,--,Open
2298558,2298559,14:57:55,JSMR,B,RG,3670,98,0,F,--,Withdrawn
15627,15628,8:45:01,JSMR,B,RG,3680,5,5,D,--,Open
20759,20760,8:45:01,JSMR,B,RG,3680,1,1,D,--,Open
43649,43650,8:45:07,JSMR,B,RG,3680,2,2,D,--,Open
47339,47340,8:45:12,JSMR,B,RG,3680,38,38,D,--,Open
2059339,2059340,14:25:45,JSMR,B,RG,3680,1,1,D,--,Open
43651,43652,8:45:07,JSMR,B,RG,3690,1,1,D,--,Open
2058329,2058330,14:25:36,JSMR,B,RG,3690,1,1,D,--,Open
7730,7731,8:45:00,JSMR,B,RG,3700,200,200,D,--,Open
7756,7757,8:45:00,JSMR,B,RG,3700,200,200,D,--,Open
10501,10502,8:45:00,JSMR,B,RG,3700,5,5,D,--,Open
15439,15440,8:45:01,JSMR,B,RG,3700,13,13,D,--,Open
20923,20924,8:45:01,JSMR,B,RG,3700,1,1,D,--,Open
27043,27044,8:45:02,JSMR,B,RG,3700,3,3,D,--,Open
34001,34002,8:45:03,JSMR,B,RG,3700,10,10,D,--,Open
38914,38915,8:45:04,JSMR,B,RG,3700,20,20,D,--,Open
41832,41833,8:45:06,JSMR,B,RG,3700,4,4,D,--,Open
42198,42199,8:45:06,JSMR,B,RG,3700,1,1,D,--,Open
42607,42608,8:45:06,JSMR,B,RG,3700,50,50,D,--,Open
43648,43649,8:45:07,JSMR,B,RG,3700,7,7,D,--,Open
44138,44139,8:45:07,JSMR,B,RG,3700,2,2,D,--,Open
45016,45017,8:45:09,JSMR,B,RG,3700,10,10,D,--,Open
58196,58197,8:56:40,JSMR,B,RG,3700,2,2,D,--,Open
409377,409378,9:07:08,JSMR,B,RG,3700,10,10,D,--,Open
592325,592326,9:17:42,JSMR,B,RG,3700,10,10,D,--,Open
821919,821920,9:35:12,JSMR,B,RG,3700,50,50,D,--,Open
1220173,1220174,10:21:11,JSMR,B,RG,3700,10,10,D,--,Open
1390262,1390263,10:47:58,JSMR,B,RG,3700,5,5,D,--,Open
1447293,1447294,10:57:42,JSMR,B,RG,3700,1,1,D,--,Open
1523803,1523804,11:11:36,JSMR,B,RG,3700,45,45,F,--,Open
1645027,1645028,13:30:02,JSMR,B,RG,3700,20,20,D,--,Open
1671105,1671106,13:30:13,JSMR,B,RG,3700,1,1,D,--,Open
1672532,1672533,13:30:15,JSMR,B,RG,3700,50,50,D,--,Open
2057234,2057235,14:25:27,JSMR,B,RG,3700,1,1,D,--,Open
2298483,2298484,14:57:54,JSMR,B,RG,3700,97,0,F,--,Withdrawn
2707,2708,8:45:00,JSMR,B,RG,3710,50,0,D,--,Withdrawn
12100,12101,8:45:00,JSMR,B,RG,3710,2,2,D,--,Open
42999,43000,8:45:07,JSMR,B,RG,3710,2,2,D,--,Open
43656,43657,8:45:07,JSMR,B,RG,3710,5,5,D,--,Open
47326,47327,8:45:12,JSMR,B,RG,3710,38,38,D,--,Open
402130,402131,9:06:46,JSMR,B,RG,3710,1,1,D,--,Open
1366438,1366439,10:43:22,JSMR,B,RG,3710,10,10,D,--,Open
1484002,1484003,11:03:51,JSMR,B,RG,3710,1,1,D,--,Open
2056142,2056143,14:25:19,JSMR,B,RG,3710,1,1,D,--,Open
9896,9897,8:45:00,JSMR,B,RG,3720,5,5,D,--,Open
10519,10520,8:45:00,JSMR,B,RG,3720,5,5,D,--,Open
41244,41245,8:45:06,JSMR,B,RG,3720,1,1,D,--,Open
43646,43647,8:45:07,JSMR,B,RG,3720,2,2,D,--,Open
1150376,1150377,10:11:28,JSMR,B,RG,3720,3,3,D,--,Open
2055000,2055001,14:25:10,JSMR,B,RG,3720,1,1,D,--,Open
43622,43623,8:45:07,JSMR,B,RG,3730,3,3,D,--,Open
48723,48724,8:45:14,JSMR,B,RG,3730,35,35,D,--,Open
522612,522613,9:13:20,JSMR,B,RG,3730,1,0,D,--,Amended
793243,793244,9:32:47,JSMR,B,RG,3730,20,20,D,--,Open
2053479,2053480,14:24:57,JSMR,B,RG,3730,1,1,D,--,Open
2268336,2268337,14:51:00,JSMR,B,RG,3730,88,0,F,--,Withdrawn
20446,20447,8:45:01,JSMR,B,RG,3740,5,5,D,--,Open
40153,40154,8:45:05,JSMR,B,RG,3740,3,3,D,--,Open
43630,43631,8:45:07,JSMR,B,RG,3740,2,2,D,--,Open
47322,47323,8:45:12,JSMR,B,RG,3740,37,37,D,--,Open
53526,53527,8:48:16,JSMR,B,RG,3740,2,2,D,--,Open
578820,578821,9:16:51,JSMR,B,RG,3740,1,1,D,--,Open
1242941,1242942,10:24:30,JSMR,B,RG,3740,25,0,D,--,Withdrawn
1630699,1630700,13:30:01,JSMR,B,RG,3740,3,3,D,--,Open
2052563,2052564,14:24:49,JSMR,B,RG,3740,1,1,D,--,Open
2136,2137,8:45:00,JSMR,B,RG,3750,50,0,D,--,Withdrawn
2288,2289,8:45:00,JSMR,B,RG,3750,50,50,D,--,Open
16414,16415,8:45:01,JSMR,B,RG,3750,3,3,D,--,Open
27689,27690,8:45:02,JSMR,B,RG,3750,3,3,D,--,Open
38571,38572,8:45:04,JSMR,B,RG,3750,5,5,D,--,Open
38740,38741,8:45:04,JSMR,B,RG,3750,20,20,D,--,Open
41235,41236,8:45:06,JSMR,B,RG,3750,1,1,D,--,Open
42605,42606,8:45:06,JSMR,B,RG,3750,50,50,D,--,Open
43624,43625,8:45:07,JSMR,B,RG,3750,2,2,D,--,Open
594242,594243,9:17:49,JSMR,B,RG,3750,10,10,D,--,Open
988909,988910,9:51:57,JSMR,B,RG,3750,20,20,D,--,Open
1043988,1043989,9:58:14,JSMR,B,RG,3750,1,1,D,--,Open
1112825,1112826,10:06:48,JSMR,B,RG,3750,1000,1000,D,--,Open
1128533,1128534,10:08:44,JSMR,B,RG,3750,1,1,D,--,Open
