Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
15063,15064,8:45:01,JSMR,B,RG,3910,10,10,D,,Open
27026,27027,8:45:01,JSMR,B,RG,3910,5,5,D,,Open
34884,34885,8:45:02,JSMR,B,RG,3910,20,20,D,,Open
44096,44097,8:45:03,JSMR,B,RG,3910,1,1,D,,Open
44431,44432,8:45:03,JSMR,B,RG,3910,30,30,D,,Open
46790,46791,8:45:04,JSMR,B,RG,3910,4,4,D,,Open
55147,55148,8:45:08,JSMR,B,RG,3910,10,10,D,,Open
55887,55888,8:45:09,JSMR,B,RG,3910,5,5,D,,Open
56877,56878,8:45:09,JSMR,B,RG,3910,1,1,D,,Open
57879,57880,8:45:10,JSMR,B,RG,3910,2,2,D,,Open
59539,59540,8:45:13,JSMR,B,RG,3910,26,0,D,,Withdrawn
64550,64551,8:45:20,JSMR,B,RG,3910,10,10,D,,Open
65958,65959,8:45:22,JSMR,B,RG,3910,5,5,D,,Open
71258,71259,8:51:46,JSMR,B,RG,3910,5,5,D,,Open
489900,489901,9:06:13,JSMR,B,RG,3910,55,0,D,,Amended
490910,490911,9:06:15,JSMR,B,RG,3910,55,0,D,,Amended
491721,491722,9:06:17,JSMR,B,RG,3910,55,0,D,,Amended
492450,492451,9:06:19,JSMR,B,RG,3910,55,0,D,,Amended
493159,493160,9:06:21,JSMR,B,RG,3910,55,0,D,,Amended
493955,493956,9:06:22,JSMR,B,RG,3910,55,0,D,,Amended
494728,494729,9:06:24,JSMR,B,RG,3910,55,0,D,,Amended
495418,495419,9:06:26,JSMR,B,RG,3910,55,0,D,,Amended
496092,496093,9:06:28,JSMR,B,RG,3910,55,0,D,,Amended
496996,496997,9:06:30,JSMR,B,RG,3910,55,0,D,,Amended
497782,497783,9:06:31,JSMR,B,RG,3910,55,0,D,,Amended
498514,498515,9:06:33,JSMR,B,RG,3910,55,0,D,,Amended
499212,499213,9:06:35,JSMR,B,RG,3910,55,0,D,,Amended
500108,500109,9:06:37,JSMR,B,RG,3910,55,0,D,,Amended
500965,500966,9:06:39,JSMR,B,RG,3910,55,0,D,,Amended
501666,501667,9:06:41,JSMR,B,RG,3910,55,0,D,,Amended
502536,502537,9:06:43,JSMR,B,RG,3910,55,0,D,,Amended
503589,503590,9:06:45,JSMR,B,RG,3910,55,0,D,,Amended
504472,504473,9:06:47,JSMR,B,RG,3910,55,0,D,,Amended
505369,505370,9:06:49,JSMR,B,RG,3910,55,0,D,,Amended
1287062,1287063,10:02:57,JSMR,B,RG,3910,30,30,F,,Open
1353801,1353802,10:09:48,JSMR,B,RG,3910,1000,1000,D,,Open
1612235,1612236,10:40:40,JSMR,B,RG,3910,2,2,D,,Open
1622629,1622630,10:42:16,JSMR,B,RG,3910,5,5,D,,Open
1952760,1952761,13:30:07,JSMR,B,RG,3910,1,1,D,,Open
2065102,2065103,13:41:26,JSMR,B,RG,3910,880,0,D,,Amended
2065531,2065532,13:41:30,JSMR,B,RG,3910,880,0,D,,Amended
2065834,2065835,13:41:32,JSMR,B,RG,3910,880,0,D,,Amended
2066148,2066149,13:41:34,JSMR,B,RG,3910,880,0,D,,Amended
2066454,2066455,13:41:36,JSMR,B,RG,3910,880,0,D,,Amended
2066754,2066755,13:41:38,JSMR,B,RG,3910,880,0,D,,Amended
2069967,2069968,13:42:03,JSMR,B,RG,3910,59,0,D,,Amended
2534499,2534500,14:39:41,JSMR,B,RG,3910,1,1,D,,Open
9843,9844,8:45:00,JSMR,B,RG,3920,2,2,D,,Open
34684,34685,8:45:02,JSMR,B,RG,3920,2,2,D,,Open
61498,61499,8:45:16,JSMR,B,RG,3920,8,8,D,,Open
719831,719832,9:16:59,JSMR,B,RG,3920,5,5,D,,Open
929528,929529,9:30:28,JSMR,B,RG,3920,10,10,D,,Open
1040242,1040243,9:39:08,JSMR,B,RG,3920,5,5,D,,Open
10185,10186,8:45:00,JSMR,B,RG,3930,2540,2540,D,,Open
28190,28191,8:45:01,JSMR,B,RG,3930,50,50,D,,Open
23638,23639,8:45:01,JSMR,B,RG,3940,2,2,D,,Open
34279,34280,8:45:02,JSMR,B,RG,3940,1,0,D,,Withdrawn
10169,10170,8:45:00,JSMR,B,RG,3950,100,100,D,,Open
10497,10498,8:45:00,JSMR,B,RG,3950,5,5,D,,Open
43032,43033,8:45:03,JSMR,B,RG,3950,1,1,D,,Open
51854,51855,8:45:05,JSMR,B,RG,3950,10,10,D,,Open
63462,63463,8:45:18,JSMR,B,RG,3950,28,28,D,,Open
64568,64569,8:45:20,JSMR,B,RG,3950,10,10,D,,Open
1233769,1233770,9:57:18,JSMR,B,RG,3950,5,5,D,,Open
1359533,1359534,10:10:24,JSMR,B,RG,3950,500,500,D,,Open
1888976,1888977,11:26:13,JSMR,B,RG,3950,25,25,D,,Open
1251,1252,8:45:00,JSMR,B,RG,3970,2,0,D,,Withdrawn
9643,9644,8:45:00,JSMR,B,RG,3970,110,110,D,,Open
55939,55940,8:45:09,JSMR,B,RG,3970,5,5,D,,Open
28925,28926,8:45:01,JSMR,B,RG,3980,1,1,D,,Open
56185,56186,8:45:09,JSMR,B,RG,3980,1,1,D,,Open
73178,73179,8:54:25,JSMR,B,RG,3980,8,8,D,,Open
507937,507938,9:06:55,JSMR,B,RG,3980,2,2,D,,Open
1200,1201,8:45:00,JSMR,B,RG,4000,2,0,D,,Withdrawn
4881,4882,8:45:00,JSMR,B,RG,4000,1,1,D,,Open
7177,7178,8:45:00,JSMR,B,RG,4000,50,50,D,,Open
9310,9311,8:45:00,JSMR,B,RG,4000,15,15,D,,Open
9493,9494,8:45:00,JSMR,B,RG,4000,4,4,D,,Open
9742,9743,8:45:00,JSMR,B,RG,4000,1,1,D,,Open
19071,19072,8:45:01,JSMR,B,RG,4000,10,10,D,,Open
34372,34373,8:45:02,JSMR,B,RG,4000,10,10,D,,Open
36708,36709,8:45:02,JSMR,B,RG,4000,5,5,D,,Open
37162,37163,8:45:02,JSMR,B,RG,4000,20,20,D,,Open
50393,50394,8:45:05,JSMR,B,RG,4000,10,10,D,,Open
51835,51836,8:45:05,JSMR,B,RG,4000,10,10,D,,Open
56879,56880,8:45:09,JSMR,B,RG,4000,3,3,D,,Open
57901,57902,8:45:10,JSMR,B,RG,4000,1,1,D,,Open
63457,63458,8:45:18,JSMR,B,RG,4000,25,25,D,,Open
64575,64576,8:45:20,JSMR,B,RG,4000,10,10,D,,Open
