Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
2211,2212,8:45:00,JSMR,B,RG,3900,1,1,D,,Open
4612,4613,8:45:00,JSMR,B,RG,3900,50,50,D,,Open
8437,8438,8:45:00,JSMR,B,RG,3900,20,20,D,,Open
14367,14368,8:45:00,JSMR,B,RG,3900,10,10,D,,Open
14396,14397,8:45:00,JSMR,B,RG,3900,10,10,D,,Open
14420,14421,8:45:00,JSMR,B,RG,3900,10,0,D,,Withdrawn
29710,29711,8:45:02,JSMR,B,RG,3900,20,20,D,,Open
32527,32528,8:45:02,JSMR,B,RG,3900,2,2,D,,Open
42645,42646,8:45:03,JSMR,B,RG,3900,25,25,D,,Open
47693,47694,8:45:05,JSMR,B,RG,3900,5,5,D,,Open
52001,52002,8:45:07,JSMR,B,RG,3900,50,50,D,,Open
52563,52564,8:45:08,JSMR,B,RG,3900,1,1,D,,Open
53082,53083,8:45:09,JSMR,B,RG,3900,5,5,D,,Open
53701,53702,8:45:09,JSMR,B,RG,3900,5,5,D,,Open
60994,60995,8:45:18,JSMR,B,RG,3900,28,28,D,,Open
72134,72135,8:54:58,JSMR,B,RG,3900,5,5,D,,Open
368561,368562,9:03:53,JSMR,B,RG,3900,25,25,D,,Open
401842,401843,9:05:19,JSMR,B,RG,3900,3,3,D,,Open
484876,484877,9:09:16,JSMR,B,RG,3900,50,0,D,,Withdrawn
545591,545592,9:12:51,JSMR,B,RG,3900,10,10,D,,Open
623878,623879,9:17:52,JSMR,B,RG,3900,1,1,D,,Open
746892,746893,9:26:25,JSMR,B,RG,3900,20000,0,D,,Withdrawn
1167848,1167849,10:08:20,JSMR,B,RG,3900,1,1,D,,Open
1199306,1199307,10:12:21,JSMR,B,RG,3900,5,5,D,,Open
1307711,1307712,10:27:35,JSMR,B,RG,3900,2,2,D,,Open
1431054,1431055,10:47:09,JSMR,B,RG,3900,1,1,D,,Open
1500736,1500737,10:59:39,JSMR,B,RG,3900,55,55,D,,Open
1680237,1680238,13:30:04,JSMR,B,RG,3900,1,1,D,,Open
2118735,2118736,14:24:26,JSMR,B,RG,3900,25,0,D,,Withdrawn
2411412,2411413,14:59:55,JSMR,B,RG,3900,262,0,F,,Withdrawn
4509,4510,8:45:00,JSMR,B,RG,3910,30,30,D,,Open
