Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
1864397,1864398,13:48:30,MYOR,B,RG,0,30,0,D,--,Full Matched
74384,74385,9:00:00,MYOR,B,RG,1870,1604,0,D,--,Withdrawn
75234,75235,9:00:00,MYOR,B,RG,1870,30,30,D,--,Open
88319,88320,9:00:01,MYOR,B,RG,1870,1,1,D,--,Open
105801,105802,9:00:02,MYOR,B,RG,1870,1,1,D,--,Open
126180,126181,9:00:04,MYOR,B,RG,1870,20,20,D,--,Open
128933,128934,9:00:04,MYOR,B,RG,1870,10,10,D,--,Open
157196,157197,9:00:06,MYOR,B,RG,1870,3,3,D,--,Open
167816,167817,9:00:07,MYOR,B,RG,1870,1000,1000,D,--,Open
171923,171924,9:00:07,MYOR,B,RG,1870,11,11,D,--,Open
196571,196572,9:00:09,MYOR,B,RG,1870,11,11,D,--,Open
203675,203676,9:00:10,MYOR,B,RG,1870,50,50,D,--,Open
207019,207020,9:00:10,MYOR,B,RG,1870,1,0,D,--,Amended
216891,216892,9:00:12,MYOR,B,RG,1870,2,2,D,--,Open
219218,219219,9:00:13,MYOR,B,RG,1870,5,5,D,--,Open
241655,241656,9:00:24,MYOR,B,RG,1870,20,20,D,--,Open
249328,249329,9:00:32,MYOR,B,RG,1870,2,2,D,--,Open
250186,250187,9:00:33,MYOR,B,RG,1870,2,2,D,--,Open
252881,252882,9:00:36,MYOR,B,RG,1870,5,5,D,--,Open
455768,455769,9:09:33,MYOR,B,RG,1870,50,50,D,--,Open
480428,480429,9:10:57,MYOR,B,RG,1870,2,2,D,--,Open
620923,620924,9:19:55,MYOR,B,RG,1870,20,20,D,--,Open
1551276,1551277,11:07:04,MYOR,B,RG,1870,10,10,D,--,Open
2262921,2262922,14:41:11,MYOR,B,RG,1870,1,1,D,--,Open
118032,118033,9:00:03,MYOR,B,RG,1875,2,2,D,--,Open
188295,188296,9:00:08,MYOR,B,RG,1875,50,50,D,--,Open
230180,230181,9:00:16,MYOR,B,RG,1875,5,5,D,--,Open
2261153,2261154,14:40:58,MYOR,B,RG,1875,1,0,D,--,Amended
147061,147062,9:00:05,MYOR,B,RG,1880,500,500,D,--,Open
157431,157432,9:00:06,MYOR,B,RG,1880,1,1,D,--,Open
230440,230441,9:00:17,MYOR,B,RG,1880,10,10,D,--,Open
243140,243141,9:00:25,MYOR,B,RG,1880,1,1,D,--,Open
1280165,1280166,10:25:53,MYOR,B,RG,1880,1,1,D,--,Open
1411261,1411262,10:43:37,MYOR,B,RG,1880,1,1,D,--,Open
1672120,1672121,11:28:25,MYOR,B,RG,1880,13,13,D,--,Open
157485,157486,9:00:06,MYOR,B,RG,1885,1,1,D,--,Open
454277,454278,9:09:28,MYOR,B,RG,1885,265,265,D,--,Open
2260066,2260067,14:40:50,MYOR,B,RG,1885,1,0,D,--,Amended
88350,88351,9:00:01,MYOR,B,RG,1890,1,1,D,--,Open
105960,105961,9:00:02,MYOR,B,RG,1890,500,500,D,--,Open
140084,140085,9:00:05,MYOR,B,RG,1890,11,11,D,--,Open
140130,140131,9:00:05,MYOR,B,RG,1890,11,11,D,--,Open
233630,233631,9:00:18,MYOR,B,RG,1890,2,2,D,--,Open
245055,245056,9:00:27,MYOR,B,RG,1890,2,2,D,--,Open
1456324,1456325,10:50:49,MYOR,B,RG,1895,1,1,D,--,Open
70244,70245,9:00:00,MYOR,B,RG,1900,500,500,D,--,Open
71234,71235,9:00:00,MYOR,B,RG,1900,50,50,D,--,Open
74853,74854,9:00:00,MYOR,B,RG,1900,500,500,D,--,Open
89779,89780,9:00:01,MYOR,B,RG,1900,1,1,D,--,Open
96753,96754,9:00:02,MYOR,B,RG,1900,50,50,D,--,Open
101512,101513,9:00:02,MYOR,B,RG,1900,1,1,D,--,Open
147068,147069,9:00:05,MYOR,B,RG,1900,500,500,D,--,Open
152822,152823,9:00:06,MYOR,B,RG,1900,25,25,D,--,Open
157724,157725,9:00:06,MYOR,B,RG,1900,1,1,D,--,Open
181207,181208,9:00:08,MYOR,B,RG,1900,2,2,D,--,Open
183537,183538,9:00:08,MYOR,B,RG,1900,27,27,D,--,Open
207288,207289,9:00:10,MYOR,B,RG,1900,70,70,D,--,Open
236426,236427,9:00:20,MYOR,B,RG,1900,2,2,D,--,Open
236555,236556,9:00:20,MYOR,B,RG,1900,100,100,D,--,Open
238713,238714,9:00:22,MYOR,B,RG,1900,10,10,D,--,Open
250307,250308,9:00:33,MYOR,B,RG,1900,60,60,D,--,Open
257940,257941,9:00:42,MYOR,B,RG,1900,50,50,D,--,Open
329882,329883,9:03:29,MYOR,B,RG,1900,50,50,D,--,Open
336893,336894,9:03:47,MYOR,B,RG,1900,6,6,D,--,Open
461134,461135,9:09:50,MYOR,B,RG,1900,10,10,D,--,Open
513465,513466,9:12:54,MYOR,B,RG,1900,11,11,D,--,Open
781259,781260,9:32:35,MYOR,B,RG,1900,1,0,D,--,Amended
821593,821594,9:36:05,MYOR,B,RG,1900,300,300,D,--,Open
937894,937895,9:46:35,MYOR,B,RG,1900,100,100,D,--,Open
1013551,1013552,9:54:17,MYOR,B,RG,1900,1,1,D,--,Open
1160067,1160068,10:10:32,MYOR,B,RG,1900,2,2,D,--,Open
1160321,1160322,10:10:34,MYOR,B,RG,1900,25,25,D,--,Open
