Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
75068,75069,9:00:00,MYOR,B,RG,2220,10,10,D,,Open
87177,87178,9:00:00,MYOR,B,RG,2220,8,0,F,,Withdrawn
201045,201046,9:00:07,MYOR,B,RG,2220,5,5,D,,Open
289564,289565,9:00:31,MYOR,B,RG,2220,20,20,D,,Open
319755,319756,9:01:06,MYOR,B,RG,2220,20,20,D,,Open
489346,489347,9:08:19,MYOR,B,RG,2220,500,500,D,,Open
527542,527543,9:10:07,MYOR,B,RG,2220,100,100,D,,Open
538116,538117,9:10:39,MYOR,B,RG,2220,1,1,D,,Open
833601,833602,9:30:36,MYOR,B,RG,2220,2,2,D,,Open
935775,935776,9:39:30,MYOR,B,RG,2220,50,50,F,,Open
992118,992119,9:45:09,MYOR,B,RG,2220,1,1,D,,Open
1090056,1090057,9:55:42,MYOR,B,RG,2220,10,10,D,,Open
1377960,1377961,10:30:52,MYOR,B,RG,2220,1,1,D,,Open
1699924,1699925,13:30:04,MYOR,B,RG,2220,5,5,D,,Open
1721975,1721976,13:30:07,MYOR,B,RG,2220,2,2,D,,Open
2043866,2043867,14:19:14,MYOR,B,RG,2220,1,1,D,,Open
2251929,2251930,14:49:06,MYOR,B,RG,2220,1,1,D,,Open
289550,289551,9:00:31,MYOR,B,RG,2230,18,18,D,,Open
84875,84876,9:00:00,MYOR,B,RG,2240,50,50,D,,Open
288345,288346,9:00:30,MYOR,B,RG,2240,15,15,D,,Open
474770,474771,9:07:36,MYOR,B,RG,2240,10,10,D,,Open
835901,835902,9:30:47,MYOR,B,RG,2240,2,2,D,,Open
79459,79460,9:00:00,MYOR,B,RG,2250,250,250,D,,Open
93566,93567,9:00:01,MYOR,B,RG,2250,500,500,D,,Open
103494,103495,9:00:01,MYOR,B,RG,2250,40,40,D,,Open
104571,104572,9:00:01,MYOR,B,RG,2250,4,4,D,,Open
126688,126689,9:00:03,MYOR,B,RG,2250,4,4,D,,Open
126842,126843,9:00:03,MYOR,B,RG,2250,10,10,D,,Open
127735,127736,9:00:03,MYOR,B,RG,2250,5,5,D,,Open
146597,146598,9:00:04,MYOR,B,RG,2250,2,2,D,,Open
216251,216252,9:00:09,MYOR,B,RG,2250,20,20,D,,Open
219126,219127,9:00:09,MYOR,B,RG,2250,13,13,D,,Open
236557,236558,9:00:11,MYOR,B,RG,2250,1,1,D,,Open
260583,260584,9:00:15,MYOR,B,RG,2250,6,6,D,,Open
282442,282443,9:00:25,MYOR,B,RG,2250,10,10,D,,Open
288282,288283,9:00:30,MYOR,B,RG,2250,10,10,D,,Open
535827,535828,9:10:32,MYOR,B,RG,2250,5,5,D,,Open
807752,807753,9:28:36,MYOR,B,RG,2250,5,5,D,,Open
931075,931076,9:39:04,MYOR,B,RG,2250,35,35,D,,Open
1721977,1721978,13:30:07,MYOR,B,RG,2250,1,1,D,,Open
135320,135321,9:00:03,MYOR,B,RG,2260,885,0,D,,Withdrawn
178992,178993,9:00:06,MYOR,B,RG,2260,3,3,D,,Open
191829,191830,9:00:07,MYOR,B,RG,2260,5,5,D,,Open
287818,287819,9:00:29,MYOR,B,RG,2260,8,8,D,,Open
1108446,1108447,9:57:45,MYOR,B,RG,2260,50,50,D,,Open
1703918,1703919,13:30:04,MYOR,B,RG,2260,1,1,D,,Open
135269,135270,9:00:03,MYOR,B,RG,2270,441,0,D,,Withdrawn
222176,222177,9:00:09,MYOR,B,RG,2270,1,1,D,,Open
224251,224252,9:00:10,MYOR,B,RG,2270,4,4,D,,Open
1647948,1647949,11:21:24,MYOR,B,RG,2270,20,20,D,,Open
111991,111992,9:00:02,MYOR,B,RG,2280,1,1,D,,Open
117207,117208,9:00:02,MYOR,B,RG,2280,100,100,D,,Open
125695,125696,9:00:03,MYOR,B,RG,2280,5,5,D,,Open
135217,135218,9:00:03,MYOR,B,RG,2280,439,0,D,,Withdrawn
161184,161185,9:00:05,MYOR,B,RG,2280,1,1,D,,Open
181305,181306,9:00:06,MYOR,B,RG,2280,438,438,D,,Open
197452,197453,9:00:07,MYOR,B,RG,2280,2,2,D,,Open
199726,199727,9:00:07,MYOR,B,RG,2280,20,20,D,,Open
268922,268923,9:00:18,MYOR,B,RG,2280,10,10,D,,Open
287938,287939,9:00:29,MYOR,B,RG,2280,6,6,D,,Open
296175,296176,9:00:39,MYOR,B,RG,2280,10,10,D,,Open
304205,304206,9:00:48,MYOR,B,RG,2280,50,50,D,,Open
336932,336933,9:01:35,MYOR,B,RG,2280,5,5,D,,Open
355801,355802,9:02:22,MYOR,B,RG,2280,4,4,D,,Open
381389,381390,9:03:27,MYOR,B,RG,2280,2,2,D,,Open
425852,425853,9:05:25,MYOR,B,RG,2280,200,200,D,,Open
659428,659429,9:17:59,MYOR,B,RG,2280,1,1,D,,Open
2314025,2314026,14:59:54,MYOR,B,RG,2280,88,0,F,,Withdrawn
93563,93564,9:00:01,MYOR,B,RG,2290,2,2,D,,Open
135166,135167,9:00:03,MYOR,B,RG,2290,437,0,D,,Withdrawn
188279,188280,9:00:07,MYOR,B,RG,2290,1,0,D,,Withdrawn
287740,287741,9:00:29,MYOR,B,RG,2290,5,5,D,,Open
294175,294176,9:00:36,MYOR,B,RG,2290,4,4,D,,Open
335488,335489,9:01:32,MYOR,B,RG,2290,5,5,D,,Open
727358,727359,9:22:32,MYOR,B,RG,2290,1,1,D,,Open
757068,757069,9:24:42,MYOR,B,RG,2290,1,1,D,,Open
806548,806549,9:28:30,MYOR,B,RG,2290,2,0,D,,Withdrawn
1040885,1040886,9:50:11,MYOR,B,RG,2290,3,3,D,,Open
1098323,1098324,9:56:38,MYOR,B,RG,2290,1,1,D,,Open
1211721,1211722,10:10:36,MYOR,B,RG,2290,4,4,D,,Open
1250113,1250114,10:15:19,MYOR,B,RG,2290,5,5,D,,Open
1462916,1462917,10:43:43,MYOR,B,RG,2290,10,10,D,,Open
1638046,1638047,11:19:16,MYOR,B,RG,2290,10,10,D,,Open
1668881,1668882,11:26:27,MYOR,B,RG,2290,2,2,D,,Open
1685391,1685392,13:30:02,MYOR,B,RG,2290,5,5,D,,Open
1863697,1863698,13:50:52,MYOR,B,RG,2290,1,1,D,,Open
2071712,2071713,14:23:47,MYOR,B,RG,2290,3,3,D,,Open
99002,99003,9:00:01,MYOR,B,RG,2300,2,2,D,,Open
120663,120664,9:00:02,MYOR,B,RG,2300,5,5,D,,Open
127655,127656,9:00:03,MYOR,B,RG,2300,50,50,D,,Open
128834,128835,9:00:03,MYOR,B,RG,2300,3,3,D,,Open
128840,128841,9:00:03,MYOR,B,RG,2300,3,3,D,,Open
135119,135120,9:00:03,MYOR,B,RG,2300,217,0,D,,Withdrawn
157785,157786,9:00:05,MYOR,B,RG,2300,1,1,D,,Open
159402,159403,9:00:05,MYOR,B,RG,2300,250,250,D,,Open
167662,167663,9:00:05,MYOR,B,RG,2300,1,1,D,,Open
168492,168493,9:00:05,MYOR,B,RG,2300,1,1,D,,Open
185037,185038,9:00:06,MYOR,B,RG,2300,5,5,D,,Open
188702,188703,9:00:07,MYOR,B,RG,2300,20,20,D,,Open
191677,191678,9:00:07,MYOR,B,RG,2300,1,1,D,,Open
198376,198377,9:00:07,MYOR,B,RG,2300,1,1,D,,Open
200147,200148,9:00:07,MYOR,B,RG,2300,65,65,D,,Open
200251,200252,9:00:07,MYOR,B,RG,2300,2,2,D,,Open
217335,217336,9:00:09,MYOR,B,RG,2300,3,3,D,,Open
234808,234809,9:00:11,MYOR,B,RG,2300,1,1,D,,Open
238012,238013,9:00:11,MYOR,B,RG,2300,1,1,D,,Open
241245,241246,9:00:11,MYOR,B,RG,2300,2,2,D,,Open
242726,242727,9:00:12,MYOR,B,RG,2300,2,2,D,,Open
246965,246966,9:00:12,MYOR,B,RG,2300,5,5,D,,Open
249253,249254,9:00:13,MYOR,B,RG,2300,8,8,D,,Open
278488,278489,9:00:22,MYOR,B,RG,2300,10,10,D,,Open
279832,279833,9:00:23,MYOR,B,RG,2300,3,3,D,,Open
287225,287226,9:00:29,MYOR,B,RG,2300,4,4,D,,Open
292374,292375,9:00:34,MYOR,B,RG,2300,4,4,D,,Open
303003,303004,9:00:46,MYOR,B,RG,2300,22,22,D,,Open
304115,304116,9:00:48,MYOR,B,RG,2300,50,50,D,,Open
321272,321273,9:01:07,MYOR,B,RG,2300,10,10,D,,Open
333767,333768,9:01:28,MYOR,B,RG,2300,5,5,D,,Open
334351,334352,9:01:29,MYOR,B,RG,2300,2,2,D,,Open
377792,377793,9:03:17,MYOR,B,RG,2300,15,15,D,,Open
451748,451749,9:06:33,MYOR,B,RG,2300,1,1,D,,Open
470383,470384,9:07:24,MYOR,B,RG,2300,30,30,D,,Open
544613,544614,9:11:00,MYOR,B,RG,2300,1,1,D,,Open
620793,620794,9:15:31,MYOR,B,RG,2300,1,1,D,,Open
631875,631876,9:16:12,MYOR,B,RG,2300,1,1,D,,Open
729467,729468,9:22:41,MYOR,B,RG,2300,100,100,D,,Open
742515,742516,9:23:36,MYOR,B,RG,2300,3,3,D,,Open
759732,759733,9:24:53,MYOR,B,RG,2300,5,5,D,,Open
879755,879756,9:34:27,MYOR,B,RG,2300,3,3,D,,Open
895396,895397,9:35:48,MYOR,B,RG,2300,2,2,D,,Open
943265,943266,9:40:12,MYOR,B,RG,2300,5,5,D,,Open
953141,953142,9:41:10,MYOR,B,RG,2300,1,1,D,,Open
988867,988868,9:44:49,MYOR,B,RG,2300,35,0,D,,Withdrawn
991514,991515,9:45:05,MYOR,B,RG,2300,2,2,D,,Open
1039643,1039644,9:50:03,MYOR,B,RG,2300,1,0,D,,Withdrawn
1072484,1072485,9:53:43,MYOR,B,RG,2300,50,50,D,,Open
1238563,1238564,10:13:56,MYOR,B,RG,2300,1,1,D,,Open
1243754,1243755,10:14:33,MYOR,B,RG,2300,2,2,D,,Open
1252960,1252961,10:15:40,MYOR,B,RG,2300,1,1,D,,Open
1284350,1284351,10:18:28,MYOR,B,RG,2300,30,30,D,,Open
1286006,1286007,10:18:40,MYOR,B,RG,2300,1,1,D,,Open
1372616,1372617,10:30:06,MYOR,B,RG,2300,1,1,D,,Open
1422789,1422790,10:37:19,MYOR,B,RG,2300,1,0,D,,Withdrawn
1436766,1436767,10:39:23,MYOR,B,RG,2300,1,1,D,,Open
1492916,1492917,10:48:57,MYOR,B,RG,2300,19,19,D,,Open
1566601,1566602,11:03:22,MYOR,B,RG,2300,100,0,D,,Withdrawn
1657806,1657807,11:23:46,MYOR,B,RG,2300,1,1,D,,Open
1710389,1710390,13:30:05,MYOR,B,RG,2300,5,5,D,,Open
1832783,1832784,13:46:20,MYOR,B,RG,2300,5,5,D,,Open
1866937,1866938,13:51:21,MYOR,B,RG,2300,10,10,D,,Open
2079903,2079904,14:25:06,MYOR,B,RG,2300,10,0,D,,Withdrawn
2101159,2101160,14:28:39,MYOR,B,RG,2300,1,1,D,,Open
2269677,2269678,14:51:00,MYOR,B,RG,2300,83,0,F,,Withdrawn
107443,107444,9:00:01,MYOR,B,RG,2310,10,10,D,,Open
135071,135072,9:00:03,MYOR,B,RG,2310,216,0,D,,Withdrawn
135238,135239,9:00:03,MYOR,B,RG,2310,10,10,D,,Open
138453,138454,9:00:03,MYOR,B,RG,2310,865,865,D,,Open
147896,147897,9:00:04,MYOR,B,RG,2310,5,5,D,,Open
175942,175943,9:00:06,MYOR,B,RG,2310,1,1,D,,Open
224074,224075,9:00:10,MYOR,B,RG,2310,25,25,D,,Open
247065,247066,9:00:12,MYOR,B,RG,2310,50,50,D,,Open
262177,262178,9:00:16,MYOR,B,RG,2310,1,1,D,,Open
279068,279069,9:00:23,MYOR,B,RG,2310,3,3,D,,Open
287280,287281,9:00:29,MYOR,B,RG,2310,3,3,D,,Open
331465,331466,9:01:22,MYOR,B,RG,2310,1,1,D,,Open
451174,451175,9:06:32,MYOR,B,RG,2310,5,5,D,,Open
531314,531315,9:10:18,MYOR,B,RG,2310,12,0,D,,Withdrawn
536023,536024,9:10:32,MYOR,B,RG,2310,3,3,D,,Open
781733,781734,9:26:35,MYOR,B,RG,2310,100,100,D,,Open
989042,989043,9:44:50,MYOR,B,RG,2310,2,2,D,,Open
1004292,1004293,9:46:24,MYOR,B,RG,2310,12,0,D,,Amended
1283592,1283593,10:18:23,MYOR,B,RG,2310,10,10,D,,Open
1291825,1291826,10:19:23,MYOR,B,RG,2310,1,1,D,,Open
1463881,1463882,10:43:53,MYOR,B,RG,2310,120,120,D,,Open
1626032,1626033,11:16:34,MYOR,B,RG,2310,1,1,D,,Open
1630639,1630640,11:17:35,MYOR,B,RG,2310,1,1,D,,Open
1688629,1688630,13:30:02,MYOR,B,RG,2310,5,5,D,,Open
1847275,1847276,13:48:28,MYOR,B,RG,2310,100,100,D,,Open
1868175,1868176,13:51:32,MYOR,B,RG,2310,10,10,D,,Open
2267968,2267969,14:50:44,MYOR,B,RG,2310,5,5,D,,Open
79467,79468,9:00:00,MYOR,B,RG,2320,250,250,D,,Open
87239,87240,9:00:00,MYOR,B,RG,2320,2,2,D,,Open
99961,99962,9:00:01,MYOR,B,RG,2320,1,1,D,,Open
107456,107457,9:00:01,MYOR,B,RG,2320,10,10,D,,Open
127729,127730,9:00:03,MYOR,B,RG,2320,2,2,D,,Open
135030,135031,9:00:03,MYOR,B,RG,2320,216,0,D,,Withdrawn
138437,138438,9:00:03,MYOR,B,RG,2320,862,862,D,,Open
140891,140892,9:00:04,MYOR,B,RG,2320,100,100,D,,Open
144822,144823,9:00:04,MYOR,B,RG,2320,40,40,D,,Open
166112,166113,9:00:05,MYOR,B,RG,2320,1,1,D,,Open
171176,171177,9:00:05,MYOR,B,RG,2320,60,60,D,,Open
171714,171715,9:00:05,MYOR,B,RG,2320,110,110,D,,Open
201423,201424,9:00:07,MYOR,B,RG,2320,1,1,D,,Open
207298,207299,9:00:08,MYOR,B,RG,2320,4,4,D,,Open
246960,246961,9:00:12,MYOR,B,RG,2320,5,5,D,,Open
262293,262294,9:00:16,MYOR,B,RG,2320,1,1,D,,Open
267486,267487,9:00:17,MYOR,B,RG,2320,70,70,D,,Open
270320,270321,9:00:18,MYOR,B,RG,2320,20,20,D,,Open
273556,273557,9:00:20,MYOR,B,RG,2320,2,0,D,,Withdrawn
286623,286624,9:00:28,MYOR,B,RG,2320,3,3,D,,Open
304089,304090,9:00:48,MYOR,B,RG,2320,50,50,D,,Open
330323,330324,9:01:19,MYOR,B,RG,2320,1,1,D,,Open
393484,393485,9:03:58,MYOR,B,RG,2320,2,2,D,,Open
655094,655095,9:17:42,MYOR,B,RG,2320,5,5,D,,Open
870969,870970,9:33:42,MYOR,B,RG,2320,25,25,D,,Open
987246,987247,9:44:38,MYOR,B,RG,2320,3,0,D,,Withdrawn
990983,990984,9:45:02,MYOR,B,RG,2320,2,2,D,,Open
994071,994072,9:45:21,MYOR,B,RG,2320,2,2,D,,Open
1283019,1283020,10:18:18,MYOR,B,RG,2320,10,10,D,,Open
1393011,1393012,10:32:58,MYOR,B,RG,2320,1,1,D,,Open
1431945,1431946,10:38:38,MYOR,B,RG,2320,1,1,D,,Open
1461878,1461879,10:43:32,MYOR,B,RG,2320,5,5,D,,Open
1619657,1619658,11:15:07,MYOR,B,RG,2320,2,2,D,,Open
1656666,1656667,11:23:30,MYOR,B,RG,2320,10,10,D,,Open
1710876,1710877,13:30:05,MYOR,B,RG,2320,40,40,D,,Open
1761866,1761867,13:35:37,MYOR,B,RG,2320,1,1,D,,Open
1869520,1869521,13:51:45,MYOR,B,RG,2320,10,10,D,,Open
1953802,1953803,14:04:51,MYOR,B,RG,2320,12,0,D,,Withdrawn
2100717,2100718,14:28:34,MYOR,B,RG,2320,1,1,D,,Open
2313809,2313810,14:59:52,MYOR,B,RG,2320,82,0,F,,Withdrawn
80826,80827,9:00:00,MYOR,B,RG,2330,86,0,D,,Withdrawn
107381,107382,9:00:01,MYOR,B,RG,2330,10,10,D,,Open
108014,108015,9:00:01,MYOR,B,RG,2330,10,10,D,,Open
121592,121593,9:00:02,MYOR,B,RG,2330,4,4,D,,Open
129490,129491,9:00:03,MYOR,B,RG,2330,1,1,D,,Open
130294,130295,9:00:03,MYOR,B,RG,2330,75,75,D,,Open
134994,134995,9:00:03,MYOR,B,RG,2330,215,0,D,,Withdrawn
138421,138422,9:00:03,MYOR,B,RG,2330,858,858,D,,Open
146268,146269,9:00:04,MYOR,B,RG,2330,125,125,D,,Open
166205,166206,9:00:05,MYOR,B,RG,2330,1,1,D,,Open
209391,209392,9:00:08,MYOR,B,RG,2330,2,2,D,,Open
223691,223692,9:00:09,MYOR,B,RG,2330,10,10,D,,Open
253472,253473,9:00:14,MYOR,B,RG,2330,1,1,D,,Open
262339,262340,9:00:16,MYOR,B,RG,2330,1,1,D,,Open
266393,266394,9:00:17,MYOR,B,RG,2330,50,50,D,,Open
269499,269500,9:00:18,MYOR,B,RG,2330,1,1,D,,Open
270145,270146,9:00:18,MYOR,B,RG,2330,15,15,D,,Open
287352,287353,9:00:29,MYOR,B,RG,2330,2,2,D,,Open
328720,328721,9:01:16,MYOR,B,RG,2330,1,1,D,,Open
329293,329294,9:01:16,MYOR,B,RG,2330,1,1,D,,Open
339595,339596,9:01:41,MYOR,B,RG,2330,1,1,D,,Open
366461,366462,9:02:48,MYOR,B,RG,2330,1,1,D,,Open
370401,370402,9:02:58,MYOR,B,RG,2330,5,5,D,,Open
429374,429375,9:05:34,MYOR,B,RG,2330,4,4,D,,Open
439231,439232,9:06:00,MYOR,B,RG,2330,1,1,D,,Open
467828,467829,9:07:18,MYOR,B,RG,2330,5,5,D,,Open
573471,573472,9:12:42,MYOR,B,RG,2330,10,10,D,,Open
600550,600551,9:14:19,MYOR,B,RG,2330,108,108,D,,Open
705978,705979,9:21:04,MYOR,B,RG,2330,1,1,D,,Open
744872,744873,9:23:47,MYOR,B,RG,2330,20,20,D,,Open
779120,779121,9:26:22,MYOR,B,RG,2330,100,100,D,,Open
870574,870575,9:33:40,MYOR,B,RG,2330,2,2,D,,Open
958698,958699,9:41:44,MYOR,B,RG,2330,5,5,D,,Open
972747,972748,9:43:10,MYOR,B,RG,2330,3,3,D,,Open
1282463,1282464,10:18:14,MYOR,B,RG,2330,10,10,D,,Open
1413739,1413740,10:36:02,MYOR,B,RG,2330,1,1,D,,Open
1429770,1429771,10:38:19,MYOR,B,RG,2330,1,1,D,,Open
1682055,1682056,11:29:35,MYOR,B,RG,2330,1,1,D,,Open
1698581,1698582,13:30:04,MYOR,B,RG,2330,29,0,D,,Withdrawn
1732245,1732246,13:30:19,MYOR,B,RG,2330,1,0,D,,Withdrawn
1852233,1852234,13:49:12,MYOR,B,RG,2330,6,6,D,,Open
1870791,1870792,13:51:56,MYOR,B,RG,2330,10,10,D,,Open
2003606,2003607,14:12:19,MYOR,B,RG,2330,5,0,D,,Amended
2275925,2275926,14:52:06,MYOR,B,RG,2330,10,10,D,,Open
111274,111275,9:00:02,MYOR,B,RG,2340,10,10,D,,Open
112488,112489,9:00:02,MYOR,B,RG,2340,3,3,D,,Open
116228,116229,9:00:02,MYOR,B,RG,2340,2,0,D,,Withdrawn
124700,124701,9:00:03,MYOR,B,RG,2340,1,1,D,,Open
125156,125157,9:00:03,MYOR,B,RG,2340,15,0,D,,Withdrawn
130177,130178,9:00:03,MYOR,B,RG,2340,5,5,D,,Open
134961,134962,9:00:03,MYOR,B,RG,2340,214,0,D,,Withdrawn
138471,138472,9:00:03,MYOR,B,RG,2340,854,854,D,,Open
180270,180271,9:00:06,MYOR,B,RG,2340,2,2,D,,Open
188413,188414,9:00:07,MYOR,B,RG,2340,50,0,D,,Withdrawn
204427,204428,9:00:08,MYOR,B,RG,2340,1,1,D,,Open
208307,208308,9:00:08,MYOR,B,RG,2340,1,1,D,,Open
210026,210027,9:00:08,MYOR,B,RG,2340,15,15,D,,Open
219450,219451,9:00:09,MYOR,B,RG,2340,1,1,D,,Open
229836,229837,9:00:10,MYOR,B,RG,2340,15,15,D,,Open
234269,234270,9:00:11,MYOR,B,RG,2340,5,5,D,,Open
239236,239237,9:00:11,MYOR,B,RG,2340,50,50,D,,Open
240298,240299,9:00:11,MYOR,B,RG,2340,1,1,D,,Open
244367,244368,9:00:12,MYOR,B,RG,2340,1,1,D,,Open
247070,247071,9:00:12,MYOR,B,RG,2340,5,5,D,,Open
248255,248256,9:00:13,MYOR,B,RG,2340,1,1,D,,Open
