Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
294528,294529,9:01:17,PTBA,B,RG,0,22,0,D,--,Full Matched
1775,1776,8:45:00,PTBA,B,RG,2500,500,500,D,--,Open
2917,2918,8:45:00,PTBA,B,RG,2500,1,1,D,--,Open
4724,4725,8:45:00,PTBA,B,RG,2500,80,80,D,--,Open
6571,6572,8:45:00,PTBA,B,RG,2500,1,1,D,--,Open
7426,7427,8:45:00,PTBA,B,RG,2500,1,1,D,--,Open
10167,10168,8:45:00,PTBA,B,RG,2500,1,1,D,--,Open
10217,10218,8:45:00,PTBA,B,RG,2500,20,20,D,--,Open
10531,10532,8:45:00,PTBA,B,RG,2500,10,10,D,--,Open
13039,13040,8:45:00,PTBA,B,RG,2500,1,1,D,--,Open
14212,14213,8:45:00,PTBA,B,RG,2500,50,50,D,--,Open
14474,14475,8:45:00,PTBA,B,RG,2500,50,50,D,--,Open
14731,14732,8:45:00,PTBA,B,RG,2500,1,1,D,--,Open
15186,15187,8:45:01,PTBA,B,RG,2500,10,0,D,--,Withdrawn
17815,17816,8:45:01,PTBA,B,RG,2500,1,1,D,--,Open
19163,19164,8:45:01,PTBA,B,RG,2500,200,200,D,--,Open
20614,20615,8:45:01,PTBA,B,RG,2500,60,60,D,--,Open
21117,21118,8:45:01,PTBA,B,RG,2500,2,2,D,--,Open
21661,21662,8:45:01,PTBA,B,RG,2500,2000,0,D,--,Withdrawn
25240,25241,8:45:01,PTBA,B,RG,2500,1,1,D,--,Open
25485,25486,8:45:01,PTBA,B,RG,2500,20,20,D,--,Open
27718,27719,8:45:01,PTBA,B,RG,2500,12,12,D,--,Open
28708,28709,8:45:02,PTBA,B,RG,2500,10,10,D,--,Open
30279,30280,8:45:02,PTBA,B,RG,2500,10,10,D,--,Open
33827,33828,8:45:03,PTBA,B,RG,2500,1,1,D,--,Open
36433,36434,8:45:03,PTBA,B,RG,2500,2,2,D,--,Open
37074,37075,8:45:03,PTBA,B,RG,2500,20,20,D,--,Open
37269,37270,8:45:03,PTBA,B,RG,2500,150,150,D,--,Open
37678,37679,8:45:04,PTBA,B,RG,2500,100,100,D,--,Open
41358,41359,8:45:05,PTBA,B,RG,2500,25,25,D,--,Open
43038,43039,8:45:06,PTBA,B,RG,2500,100,100,D,--,Open
43767,43768,8:45:07,PTBA,B,RG,2500,500,500,D,--,Open
46780,46781,8:45:08,PTBA,B,RG,2500,1,1,D,--,Open
47434,47435,8:45:08,PTBA,B,RG,2500,40,0,D,--,Amended
48486,48487,8:45:10,PTBA,B,RG,2500,5,5,D,--,Open
48542,48543,8:45:10,PTBA,B,RG,2500,6,6,D,--,Open
48760,48761,8:45:10,PTBA,B,RG,2500,20,20,D,--,Open
48909,48910,8:45:11,PTBA,B,RG,2500,1,1,D,--,Open
49128,49129,8:45:11,PTBA,B,RG,2500,50,50,D,--,Open
50742,50743,8:45:13,PTBA,B,RG,2500,10,10,D,--,Open
