Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
1578,1579,8:45:00,PTBA,B,RG,2490,100,0,D,,Withdrawn
1796,1797,8:45:00,PTBA,B,RG,2490,50,50,D,,Open
4254,4255,8:45:00,PTBA,B,RG,2490,300,0,D,,Withdrawn
5871,5872,8:45:00,PTBA,B,RG,2490,1,1,D,,Open
6684,6685,8:45:00,PTBA,B,RG,2490,1,1,D,,Open
6773,6774,8:45:00,PTBA,B,RG,2490,100,100,D,,Open
8466,8467,8:45:00,PTBA,B,RG,2490,1,1,D,,Open
10115,10116,8:45:00,PTBA,B,RG,2490,1,1,D,,Open
10695,10696,8:45:00,PTBA,B,RG,2490,5,5,D,,Open
12099,12100,8:45:00,PTBA,B,RG,2490,10,10,D,,Open
17343,17344,8:45:01,PTBA,B,RG,2490,4,4,D,,Open
17534,17535,8:45:01,PTBA,B,RG,2490,1,1,D,,Open
19983,19984,8:45:01,PTBA,B,RG,2490,2000,2000,D,,Open
25396,25397,8:45:01,PTBA,B,RG,2490,15,0,D,,Withdrawn
26175,26176,8:45:01,PTBA,B,RG,2490,100,100,D,,Open
27235,27236,8:45:01,PTBA,B,RG,2490,10,0,D,,Withdrawn
27832,27833,8:45:01,PTBA,B,RG,2490,50,50,F,,Open
28841,28842,8:45:02,PTBA,B,RG,2490,500,500,D,,Open
28921,28922,8:45:02,PTBA,B,RG,2490,90,90,D,,Open
31997,31998,8:45:02,PTBA,B,RG,2490,20,0,D,,Withdrawn
32618,32619,8:45:02,PTBA,B,RG,2490,1,1,D,,Open
32627,32628,8:45:02,PTBA,B,RG,2490,2,2,D,,Open
33193,33194,8:45:02,PTBA,B,RG,2490,60,60,D,,Open
33720,33721,8:45:02,PTBA,B,RG,2490,20,20,D,,Open
34473,34474,8:45:02,PTBA,B,RG,2490,50,50,D,,Open
34817,34818,8:45:02,PTBA,B,RG,2490,2,2,D,,Open
34846,34847,8:45:02,PTBA,B,RG,2490,300,0,D,,Withdrawn
37457,37458,8:45:03,PTBA,B,RG,2490,10,10,D,,Open
37712,37713,8:45:03,PTBA,B,RG,2490,10,10,D,,Open
41125,41126,8:45:03,PTBA,B,RG,2490,20,20,D,,Open
42882,42883,8:45:03,PTBA,B,RG,2490,200,200,D,,Open
43826,43827,8:45:03,PTBA,B,RG,2490,1000,1000,D,,Open
46331,46332,8:45:04,PTBA,B,RG,2490,5,5,D,,Open
48401,48402,8:45:04,PTBA,B,RG,2490,25,25,D,,Open
48721,48722,8:45:04,PTBA,B,RG,2490,30,30,D,,Open
50325,50326,8:45:05,PTBA,B,RG,2490,50,50,D,,Open
51193,51194,8:45:05,PTBA,B,RG,2490,4,4,D,,Open
52329,52330,8:45:05,PTBA,B,RG,2490,15,15,D,,Open
52453,52454,8:45:05,PTBA,B,RG,2490,25,25,D,,Open
52632,52633,8:45:05,PTBA,B,RG,2490,50,50,D,,Open
56796,56797,8:45:08,PTBA,B,RG,2490,2,2,D,,Open
57742,57743,8:45:09,PTBA,B,RG,2490,1,1,D,,Open
58297,58298,8:45:09,PTBA,B,RG,2490,124,0,D,,Withdrawn
58319,58320,8:45:09,PTBA,B,RG,2490,100,100,D,,Open
59581,59582,8:45:10,PTBA,B,RG,2490,8,8,D,,Open
59649,59650,8:45:10,PTBA,B,RG,2490,100,100,D,,Open
60625,60626,8:45:11,PTBA,B,RG,2490,1,1,D,,Open
60626,60627,8:45:11,PTBA,B,RG,2490,10,10,D,,Open
61681,61682,8:45:13,PTBA,B,RG,2490,10,10,D,,Open
61891,61892,8:45:13,PTBA,B,RG,2490,10,0,D,,Withdrawn
64358,64359,8:45:16,PTBA,B,RG,2490,10,10,D,,Open
64685,64686,8:45:16,PTBA,B,RG,2490,5,5,D,,Open
65181,65182,8:45:17,PTBA,B,RG,2490,1,1,D,,Open
65489,65490,8:45:18,PTBA,B,RG,2490,50,50,D,,Open
65888,65889,8:45:18,PTBA,B,RG,2490,20,20,D,,Open
66200,66201,8:45:19,PTBA,B,RG,2490,50,0,D,,Withdrawn
66965,66966,8:45:20,PTBA,B,RG,2490,1,0,D,,Withdrawn
67156,67157,8:45:20,PTBA,B,RG,2490,5,5,D,,Open
67208,67209,8:45:21,PTBA,B,RG,2490,100,100,D,,Open
67440,67441,8:45:21,PTBA,B,RG,2490,1,1,D,,Open
67538,67539,8:45:21,PTBA,B,RG,2490,200,200,D,,Open
68334,68335,8:45:22,PTBA,B,RG,2490,10,10,D,,Open
68347,68348,8:45:22,PTBA,B,RG,2490,20,20,D,,Open
68687,68688,8:45:23,PTBA,B,RG,2490,100,100,D,,Open
69082,69083,8:45:23,PTBA,B,RG,2490,5,5,D,,Open
72942,72943,8:49:35,PTBA,B,RG,2490,10,10,D,,Open
76772,76773,8:54:01,PTBA,B,RG,2490,1,1,D,,Open
77368,77369,8:54:39,PTBA,B,RG,2490,101,0,D,,Withdrawn
208555,208556,9:00:08,PTBA,B,RG,2490,1,0,D,,Withdrawn
260050,260051,9:00:16,PTBA,B,RG,2490,1,0,D,,Withdrawn
260063,260064,9:00:16,PTBA,B,RG,2490,1,0,D,,Withdrawn
260133,260134,9:00:16,PTBA,B,RG,2490,1,0,D,,Withdrawn
