Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
883737,883738,9:46:38,TLKM,B,RG,0,200,0,D,--,Full Matched
887572,887573,9:47:01,TLKM,B,RG,0,25,0,D,--,Full Matched
890341,890342,9:47:18,TLKM,B,RG,0,50,0,D,--,Full Matched
3066,3067,8:45:00,TLKM,B,RG,3790,1,1,D,--,Open
11819,11820,8:45:00,TLKM,B,RG,3790,2,2,D,--,Open
16995,16996,8:45:01,TLKM,B,RG,3790,100,100,D,--,Open
18159,18160,8:45:01,TLKM,B,RG,3790,26,26,D,--,Open
20373,20374,8:45:01,TLKM,B,RG,3790,2,2,D,--,Open
31345,31346,8:45:03,TLKM,B,RG,3790,2,2,D,--,Open
37662,37663,8:45:04,TLKM,B,RG,3790,65,65,D,--,Open
39133,39134,8:45:04,TLKM,B,RG,3790,26,26,D,--,Open
40147,40148,8:45:04,TLKM,B,RG,3790,1500,1500,D,--,Open
49109,49110,8:45:11,TLKM,B,RG,3790,25,25,D,--,Open
59783,59784,8:53:05,TLKM,B,RG,3790,1,1,D,--,Open
368666,368667,9:05:47,TLKM,B,RG,3790,2,2,D,--,Open
522205,522206,9:15:11,TLKM,B,RG,3790,1,1,D,--,Open
619951,619952,9:22:29,TLKM,B,RG,3790,1,0,D,--,Withdrawn
737553,737554,9:33:29,TLKM,B,RG,3790,1,0,D,--,Withdrawn
974882,974883,9:57:34,TLKM,B,RG,3790,550,550,D,--,Open
1265194,1265195,10:36:31,TLKM,B,RG,3790,2,2,D,--,Open
1299030,1299031,10:41:20,TLKM,B,RG,3790,1,1,D,--,Open
1307645,1307646,10:42:36,TLKM,B,RG,3790,1,1,D,--,Open
1616791,1616792,13:30:01,TLKM,B,RG,3790,100,100,D,--,Open
1665924,1665925,13:30:11,TLKM,B,RG,3790,1,1,D,--,Open
2020907,2020908,14:18:33,TLKM,B,RG,3790,1,1,D,--,Open
2152224,2152225,14:35:11,TLKM,B,RG,3790,1,1,D,--,Open
