Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
2844,2845,8:45:00,TLKM,B,RG,3490,50,50,D,,Open
6859,6860,8:45:00,TLKM,B,RG,3490,1,1,D,,Open
8270,8271,8:45:00,TLKM,B,RG,3490,1,1,D,,Open
10296,10297,8:45:00,TLKM,B,RG,3490,44,44,D,,Open
12453,12454,8:45:00,TLKM,B,RG,3490,45,45,D,,Open
14812,14813,8:45:00,TLKM,B,RG,3490,5,5,D,,Open
37436,37437,8:45:02,TLKM,B,RG,3490,1,1,D,,Open
50889,50890,8:45:05,TLKM,B,RG,3490,20,20,D,,Open
52593,52594,8:45:05,TLKM,B,RG,3490,40,40,D,,Open
62574,62575,8:45:16,TLKM,B,RG,3490,5,5,D,,Open
65824,65825,8:45:21,TLKM,B,RG,3490,1,1,D,,Open
65828,65829,8:45:21,TLKM,B,RG,3490,1,1,D,,Open
71820,71821,8:50:31,TLKM,B,RG,3490,1,1,D,,Open
177983,177984,9:00:06,TLKM,B,RG,3490,5,5,D,,Open
236605,236606,9:00:11,TLKM,B,RG,3490,10,10,D,,Open
238667,238668,9:00:11,TLKM,B,RG,3490,10,10,D,,Open
396116,396117,9:03:31,TLKM,B,RG,3490,3,3,D,,Open
469191,469192,9:06:26,TLKM,B,RG,3490,1,1,D,,Open
510188,510189,9:08:11,TLKM,B,RG,3490,3,3,D,,Open
525975,525976,9:08:55,TLKM,B,RG,3490,1,1,D,,Open
692983,692984,9:17:32,TLKM,B,RG,3490,10,10,D,,Open
853336,853337,9:28:00,TLKM,B,RG,3490,5,5,D,,Open
872679,872680,9:29:25,TLKM,B,RG,3490,1,1,D,,Open
911548,911549,9:32:15,TLKM,B,RG,3490,500,500,D,,Open
915317,915318,9:32:32,TLKM,B,RG,3490,30,30,D,,Open
943280,943281,9:34:48,TLKM,B,RG,3490,1,0,D,,Withdrawn
1061658,1061659,9:45:23,TLKM,B,RG,3490,1,1,D,,Open
1134466,1134467,9:52:18,TLKM,B,RG,3490,5,5,D,,Open
1173622,1173623,9:56:06,TLKM,B,RG,3490,1,1,D,,Open
1179921,1179922,9:56:44,TLKM,B,RG,3490,1000,0,D,,Withdrawn
1511169,1511170,10:36:47,TLKM,B,RG,3490,1,1,D,,Open
1649944,1649945,10:59:16,TLKM,B,RG,3490,1,1,D,,Open
1838296,1838297,13:30:07,TLKM,B,RG,3490,10,10,D,,Open
1884299,1884300,13:34:14,TLKM,B,RG,3490,1,1,D,,Open
1929150,1929151,13:40:25,TLKM,B,RG,3490,300,300,D,,Open
1973228,1973229,13:46:05,TLKM,B,RG,3490,14,14,D,,Open
2054725,2054726,13:56:29,TLKM,B,RG,3490,1,1,D,,Open
2075915,2075916,13:59:31,TLKM,B,RG,3490,100,100,D,,Open
2077791,2077792,13:59:49,TLKM,B,RG,3490,50,50,D,,Open
2257381,2257382,14:24:17,TLKM,B,RG,3490,2,2,D,,Open
2258035,2258036,14:24:22,TLKM,B,RG,3490,1,1,D,,Open
2404616,2404617,14:42:06,TLKM,B,RG,3490,13439,0,D,,Withdrawn
1526,1527,8:45:00,TLKM,B,RG,3500,500,500,D,,Open
2638,2639,8:45:00,TLKM,B,RG,3500,400,400,D,,Open
2870,2871,8:45:00,TLKM,B,RG,3500,10,10,D,,Open
4464,4465,8:45:00,TLKM,B,RG,3500,1,1,D,,Open
5738,5739,8:45:00,TLKM,B,RG,3500,2,2,D,,Open
14012,14013,8:45:00,TLKM,B,RG,3500,10,10,D,,Open
14093,14094,8:45:00,TLKM,B,RG,3500,5,5,D,,Open
16946,16947,8:45:01,TLKM,B,RG,3500,1,1,D,,Open
19527,19528,8:45:01,TLKM,B,RG,3500,200,200,D,,Open
27916,27917,8:45:01,TLKM,B,RG,3500,20,20,D,,Open
28125,28126,8:45:01,TLKM,B,RG,3500,50,50,D,,Open
28169,28170,8:45:01,TLKM,B,RG,3500,10,10,D,,Open
33791,33792,8:45:02,TLKM,B,RG,3500,5,5,D,,Open
34701,34702,8:45:02,TLKM,B,RG,3500,1,1,D,,Open
34775,34776,8:45:02,TLKM,B,RG,3500,2,2,D,,Open
38266,38267,8:45:02,TLKM,B,RG,3500,5,5,D,,Open
41876,41877,8:45:02,TLKM,B,RG,3500,5,5,D,,Open
44769,44770,8:45:03,TLKM,B,RG,3500,1,1,D,,Open
45010,45011,8:45:03,TLKM,B,RG,3500,6,6,D,,Open
48757,48758,8:45:04,TLKM,B,RG,3500,25,25,D,,Open
