Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
4196,4197,8:45:00,UNVR,B,RG,4120,15,15,D,,Open
4483,4484,8:45:00,UNVR,B,RG,4120,1,1,D,,Open
5285,5286,8:45:00,UNVR,B,RG,4120,1,1,D,,Open
6999,7000,8:45:00,UNVR,B,RG,4120,2,2,D,,Open
7256,7257,8:45:00,UNVR,B,RG,4120,2,2,D,,Open
12311,12312,8:45:00,UNVR,B,RG,4120,1,1,D,,Open
16042,16043,8:45:01,UNVR,B,RG,4120,1,1,D,,Open
18551,18552,8:45:01,UNVR,B,RG,4120,40,40,D,,Open
20063,20064,8:45:01,UNVR,B,RG,4120,40,40,D,,Open
21378,21379,8:45:01,UNVR,B,RG,4120,10,0,D,,Withdrawn
22771,22772,8:45:01,UNVR,B,RG,4120,500,500,D,,Open
26416,26417,8:45:02,UNVR,B,RG,4120,20,0,F,,Withdrawn
27732,27733,8:45:02,UNVR,B,RG,4120,80,80,D,,Open
30053,30054,8:45:02,UNVR,B,RG,4120,5,5,D,,Open
31069,31070,8:45:02,UNVR,B,RG,4120,20,20,D,,Open
33205,33206,8:45:02,UNVR,B,RG,4120,20,20,F,,Open
33242,33243,8:45:02,UNVR,B,RG,4120,50,50,F,,Open
33871,33872,8:45:02,UNVR,B,RG,4120,5,5,D,,Open
33909,33910,8:45:02,UNVR,B,RG,4120,20,20,D,,Open
36581,36582,8:45:03,UNVR,B,RG,4120,1,0,D,,Withdrawn
37510,37511,8:45:03,UNVR,B,RG,4120,3,3,D,,Open
39204,39205,8:45:03,UNVR,B,RG,4120,10,0,D,,Withdrawn
39596,39597,8:45:03,UNVR,B,RG,4120,40,40,D,,Open
43260,43261,8:45:03,UNVR,B,RG,4120,6,6,D,,Open
43379,43380,8:45:03,UNVR,B,RG,4120,50,50,D,,Open
43382,43383,8:45:03,UNVR,B,RG,4120,5,5,D,,Open
43722,43723,8:45:04,UNVR,B,RG,4120,1,1,D,,Open
44044,44045,8:45:04,UNVR,B,RG,4120,100,100,D,,Open
44086,44087,8:45:04,UNVR,B,RG,4120,10,10,D,,Open
45294,45295,8:45:04,UNVR,B,RG,4120,5,5,D,,Open
47780,47781,8:45:05,UNVR,B,RG,4120,1,1,D,,Open
48238,48239,8:45:05,UNVR,B,RG,4120,1,1,D,,Open
48464,48465,8:45:05,UNVR,B,RG,4120,50,50,D,,Open
48617,48618,8:45:05,UNVR,B,RG,4120,1,1,D,,Open
49786,49787,8:45:05,UNVR,B,RG,4120,2,2,D,,Open
52058,52059,8:45:07,UNVR,B,RG,4120,10,10,D,,Open
52262,52263,8:45:07,UNVR,B,RG,4120,7,7,D,,Open
52554,52555,8:45:07,UNVR,B,RG,4120,1,1,D,,Open
53139,53140,8:45:09,UNVR,B,RG,4120,10,10,D,,Open
53647,53648,8:45:09,UNVR,B,RG,4120,25,25,D,,Open
53740,53741,8:45:09,UNVR,B,RG,4120,7,7,D,,Open
54289,54290,8:45:09,UNVR,B,RG,4120,1,1,D,,Open
54333,54334,8:45:09,UNVR,B,RG,4120,9,9,D,,Open
54630,54631,8:45:10,UNVR,B,RG,4120,30,30,D,,Open
54733,54734,8:45:10,UNVR,B,RG,4120,60,60,D,,Open
55907,55908,8:45:11,UNVR,B,RG,4120,50,50,D,,Open
56224,56225,8:45:11,UNVR,B,RG,4120,1,1,D,,Open
56471,56472,8:45:11,UNVR,B,RG,4120,10,10,D,,Open
57510,57511,8:45:12,UNVR,B,RG,4120,10,10,D,,Open
58780,58781,8:45:14,UNVR,B,RG,4120,5,5,D,,Open
59615,59616,8:45:15,UNVR,B,RG,4120,1,1,D,,Open
60013,60014,8:45:15,UNVR,B,RG,4120,2,2,D,,Open
60182,60183,8:45:15,UNVR,B,RG,4120,1,1,D,,Open
60583,60584,8:45:16,UNVR,B,RG,4120,10,10,D,,Open
60766,60767,8:45:16,UNVR,B,RG,4120,1,1,D,,Open
60799,60800,8:45:16,UNVR,B,RG,4120,1,1,D,,Open
61702,61703,8:45:18,UNVR,B,RG,4120,2,2,D,,Open
63452,63453,8:45:21,UNVR,B,RG,4120,100,100,D,,Open
64245,64246,8:45:22,UNVR,B,RG,4120,1,1,D,,Open
67709,67710,8:47:50,UNVR,B,RG,4120,5,5,D,,Open
69781,69782,8:50:47,UNVR,B,RG,4120,10,10,D,,Open
78954,78955,9:00:00,UNVR,B,RG,4120,50,50,D,,Open
107134,107135,9:00:01,UNVR,B,RG,4120,50,50,D,,Open
160299,160300,9:00:05,UNVR,B,RG,4120,10,10,D,,Open
211373,211374,9:00:09,UNVR,B,RG,4120,10,10,D,,Open
223066,223067,9:00:10,UNVR,B,RG,4120,10,10,D,,Open
223627,223628,9:00:10,UNVR,B,RG,4120,25,25,D,,Open
232198,232199,9:00:11,UNVR,B,RG,4120,3,0,D,,Withdrawn
246323,246324,9:00:14,UNVR,B,RG,4120,20,20,D,,Open
274917,274918,9:00:26,UNVR,B,RG,4120,5,5,D,,Open
316257,316258,9:01:13,UNVR,B,RG,4120,25,25,D,,Open
350885,350886,9:02:39,UNVR,B,RG,4120,60,60,D,,Open
428017,428018,9:06:02,UNVR,B,RG,4120,2,2,D,,Open
429301,429302,9:06:06,UNVR,B,RG,4120,50,50,D,,Open
504391,504392,9:09:38,UNVR,B,RG,4120,1,1,D,,Open
550301,550302,9:12:14,UNVR,B,RG,4120,20,20,D,,Open
624984,624985,9:16:41,UNVR,B,RG,4120,10,10,D,,Open
644498,644499,9:17:55,UNVR,B,RG,4120,15,15,D,,Open
656947,656948,9:18:43,UNVR,B,RG,4120,1,1,D,,Open
661622,661623,9:19:02,UNVR,B,RG,4120,1,1,D,,Open
668268,668269,9:19:28,UNVR,B,RG,4120,2,2,D,,Open
681383,681384,9:20:18,UNVR,B,RG,4120,5,5,D,,Open
730346,730347,9:23:40,UNVR,B,RG,4120,10,10,D,,Open
751427,751428,9:25:13,UNVR,B,RG,4120,1,1,D,,Open
829720,829721,9:31:26,UNVR,B,RG,4120,25,25,D,,Open
834493,834494,9:31:47,UNVR,B,RG,4120,2,2,D,,Open
851831,851832,9:33:07,UNVR,B,RG,4120,25,25,D,,Open
865498,865499,9:34:10,UNVR,B,RG,4120,30,30,D,,Open
866484,866485,9:34:14,UNVR,B,RG,4120,3,3,D,,Open
910295,910296,9:37:39,UNVR,B,RG,4120,1,1,D,,Open
970427,970428,9:42:52,UNVR,B,RG,4120,1,1,D,,Open
1014916,1014917,9:46:10,UNVR,B,RG,4120,1,1,D,,Open
1131161,1131162,9:57:58,UNVR,B,RG,4120,1,1,D,,Open
1157512,1157513,10:00:56,UNVR,B,RG,4120,1,1,D,,Open
1240256,1240257,10:10:52,UNVR,B,RG,4120,200,200,D,,Open
1254842,1254843,10:12:49,UNVR,B,RG,4120,1,1,D,,Open
1264968,1264969,10:14:06,UNVR,B,RG,4120,10,0,D,,Amended
1292809,1292810,10:17:23,UNVR,B,RG,4120,1,1,D,,Open
1335363,1335364,10:22:54,UNVR,B,RG,4120,10,10,D,,Open
1348381,1348382,10:24:41,UNVR,B,RG,4120,75,75,D,,Open
1358409,1358410,10:26:04,UNVR,B,RG,4120,500,500,D,,Open
1417474,1417475,10:34:33,UNVR,B,RG,4120,30,30,F,,Open
1421544,1421545,10:35:07,UNVR,B,RG,4120,5,5,D,,Open
1447028,1447029,10:39:06,UNVR,B,RG,4120,1,1,D,,Open
1467127,1467128,10:42:15,UNVR,B,RG,4120,5,0,D,,Amended
1467127,1585560,11:02:04,UNVR,B,RG,4120,2,2,D,,Open
1469508,1469509,10:42:38,UNVR,B,RG,4120,1,1,D,,Open
1548967,1548968,10:55:46,UNVR,B,RG,4120,2,2,D,,Open
1591710,1591711,11:03:00,UNVR,B,RG,4120,5,5,D,,Open
1605842,1605843,11:05:20,UNVR,B,RG,4120,20,20,D,,Open
1730449,1730450,11:27:43,UNVR,B,RG,4120,1,1,D,,Open
1748505,1748506,13:30:02,UNVR,B,RG,4120,35,35,D,,Open
1764574,1764575,13:30:04,UNVR,B,RG,4120,1,1,D,,Open
1783248,1783249,13:30:07,UNVR,B,RG,4120,5,5,D,,Open
1841893,1841894,13:35:27,UNVR,B,RG,4120,1,1,D,,Open
1848674,1848675,13:36:24,UNVR,B,RG,4120,2,2,D,,Open
1855288,1855289,13:37:22,UNVR,B,RG,4120,10,10,D,,Open
1957397,1957398,13:51:02,UNVR,B,RG,4120,5,5,D,,Open
2098544,2098545,14:10:24,UNVR,B,RG,4120,500,0,D,,Withdrawn
2108864,2108865,14:12:02,UNVR,B,RG,4120,700,0,D,,Withdrawn
2118254,2118255,14:13:31,UNVR,B,RG,4120,2,2,D,,Open
2280598,2280599,14:36:45,UNVR,B,RG,4120,1,1,D,,Open
2384730,2384731,14:49:02,UNVR,B,RG,4120,1,1,D,,Open
2425598,2425599,14:52:54,UNVR,B,RG,4120,5,5,D,,Open
2617,2618,8:45:00,UNVR,B,RG,4130,1,1,D,,Open
10332,10333,8:45:00,UNVR,B,RG,4130,45,45,D,,Open
12827,12828,8:45:00,UNVR,B,RG,4130,80,80,D,,Open
19576,19577,8:45:01,UNVR,B,RG,4130,10,10,D,,Open
31450,31451,8:45:02,UNVR,B,RG,4130,20,0,F,,Withdrawn
33031,33032,8:45:02,UNVR,B,RG,4130,50,50,F,,Open
33340,33341,8:45:02,UNVR,B,RG,4130,20,20,F,,Open
38165,38166,8:45:03,UNVR,B,RG,4130,200,200,D,,Open
46114,46115,8:45:04,UNVR,B,RG,4130,24,24,D,,Open
47002,47003,8:45:04,UNVR,B,RG,4130,100,100,D,,Open
48092,48093,8:45:05,UNVR,B,RG,4130,1,1,D,,Open
49179,49180,8:45:05,UNVR,B,RG,4130,2,2,D,,Open
49256,49257,8:45:05,UNVR,B,RG,4130,200,200,D,,Open
51729,51730,8:45:07,UNVR,B,RG,4130,7,7,D,,Open
51850,51851,8:45:07,UNVR,B,RG,4130,60,60,D,,Open
52238,52239,8:45:07,UNVR,B,RG,4130,2,2,D,,Open
52394,52395,8:45:07,UNVR,B,RG,4130,24,24,D,,Open
53240,53241,8:45:09,UNVR,B,RG,4130,7,7,D,,Open
56223,56224,8:45:11,UNVR,B,RG,4130,1,1,D,,Open
58012,58013,8:45:13,UNVR,B,RG,4130,10,10,D,,Open
58777,58778,8:45:14,UNVR,B,RG,4130,5,5,D,,Open
60023,60024,8:45:15,UNVR,B,RG,4130,1,1,D,,Open
60793,60794,8:45:16,UNVR,B,RG,4130,1,1,D,,Open
63084,63085,8:45:20,UNVR,B,RG,4130,3,3,D,,Open
413992,413993,9:05:24,UNVR,B,RG,4130,20,20,D,,Open
474629,474630,9:08:06,UNVR,B,RG,4130,1,1,D,,Open
625602,625603,9:16:43,UNVR,B,RG,4130,10,10,D,,Open
800473,800474,9:29:06,UNVR,B,RG,4130,1,1,D,,Open
814103,814104,9:30:14,UNVR,B,RG,4130,5,5,D,,Open
843508,843509,9:32:29,UNVR,B,RG,4130,200,0,D,,Withdrawn
1062818,1062819,9:50:57,UNVR,B,RG,4130,1,1,D,,Open
1316025,1316026,10:20:23,UNVR,B,RG,4130,3,3,D,,Open
1376275,1376276,10:28:34,UNVR,B,RG,4130,2,2,D,,Open
1818666,1818667,13:32:16,UNVR,B,RG,4130,1,1,D,,Open
2094443,2094444,14:09:49,UNVR,B,RG,4130,25,25,D,,Open
6114,6115,8:45:00,UNVR,B,RG,4140,25,25,D,,Open
20057,20058,8:45:01,UNVR,B,RG,4140,5,5,D,,Open
33014,33015,8:45:02,UNVR,B,RG,4140,50,50,F,,Open
33190,33191,8:45:02,UNVR,B,RG,4140,20,20,F,,Open
35165,35166,8:45:03,UNVR,B,RG,4140,20,0,F,,Withdrawn
49188,49189,8:45:05,UNVR,B,RG,4140,250,250,D,,Open
50003,50004,8:45:06,UNVR,B,RG,4140,1,1,D,,Open
50580,50581,8:45:06,UNVR,B,RG,4140,2,2,D,,Open
51984,51985,8:45:07,UNVR,B,RG,4140,3,3,D,,Open
53968,53969,8:45:09,UNVR,B,RG,4140,3,3,D,,Open
54111,54112,8:45:09,UNVR,B,RG,4140,9,9,D,,Open
56222,56223,8:45:11,UNVR,B,RG,4140,1,1,D,,Open
57136,57137,8:45:12,UNVR,B,RG,4140,3,3,D,,Open
58768,58769,8:45:14,UNVR,B,RG,4140,5,5,D,,Open
59847,59848,8:45:15,UNVR,B,RG,4140,1,1,D,,Open
60005,60006,8:45:15,UNVR,B,RG,4140,3,3,D,,Open
60779,60780,8:45:16,UNVR,B,RG,4140,1,1,D,,Open
61433,61434,8:45:17,UNVR,B,RG,4140,1,0,D,,Withdrawn
62085,62086,8:45:18,UNVR,B,RG,4140,5,5,D,,Open
64511,64512,8:45:22,UNVR,B,RG,4140,3,0,D,,Withdrawn
66243,66244,8:46:02,UNVR,B,RG,4140,1,1,D,,Open
282107,282108,9:00:33,UNVR,B,RG,4140,5,5,D,,Open
304172,304173,9:00:59,UNVR,B,RG,4140,3,3,D,,Open
626270,626271,9:16:46,UNVR,B,RG,4140,10,10,D,,Open
1995362,1995363,13:56:14,UNVR,B,RG,4140,20,20,D,,Open
2214160,2214161,14:27:42,UNVR,B,RG,4140,10,10,D,,Open
995,996,8:45:00,UNVR,B,RG,4150,1,1,D,,Open
1003,1004,8:45:00,UNVR,B,RG,4150,200,200,D,,Open
2746,2747,8:45:00,UNVR,B,RG,4150,2,2,D,,Open
2775,2776,8:45:00,UNVR,B,RG,4150,1,1,D,,Open
7084,7085,8:45:00,UNVR,B,RG,4150,10,10,D,,Open
12320,12321,8:45:00,UNVR,B,RG,4150,1,1,D,,Open
12891,12892,8:45:00,UNVR,B,RG,4150,14,14,D,,Open
16059,16060,8:45:01,UNVR,B,RG,4150,1,1,D,,Open
16811,16812,8:45:01,UNVR,B,RG,4150,100,100,D,,Open
17121,17122,8:45:01,UNVR,B,RG,4150,1,1,D,,Open
18342,18343,8:45:01,UNVR,B,RG,4150,10,10,D,,Open
18910,18911,8:45:01,UNVR,B,RG,4150,20,20,D,,Open
24084,24085,8:45:01,UNVR,B,RG,4150,3,3,D,,Open
24304,24305,8:45:01,UNVR,B,RG,4150,1,1,D,,Open
26316,26317,8:45:01,UNVR,B,RG,4150,20,20,D,,Open
26425,26426,8:45:02,UNVR,B,RG,4150,20,0,F,,Withdrawn
27312,27313,8:45:02,UNVR,B,RG,4150,3,3,D,,Open
27827,27828,8:45:02,UNVR,B,RG,4150,1,1,D,,Open
36280,36281,8:45:03,UNVR,B,RG,4150,140,0,D,,Withdrawn
39811,39812,8:45:03,UNVR,B,RG,4150,89,0,D,,Withdrawn
40833,40834,8:45:03,UNVR,B,RG,4150,25,25,D,,Open
