Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
956,957,8:45:00,UNVR,B,RG,4120,12,12,D,,Open
4541,4542,8:45:00,UNVR,B,RG,4120,200,200,D,,Open
7865,7866,8:45:00,UNVR,B,RG,4120,1,1,D,,Open
9535,9536,8:45:00,UNVR,B,RG,4120,2,2,D,,Open
15684,15685,8:45:00,UNVR,B,RG,4120,20,20,D,,Open
15941,15942,8:45:01,UNVR,B,RG,4120,1,1,D,,Open
20192,20193,8:45:01,UNVR,B,RG,4120,500,500,D,,Open
21550,21551,8:45:01,UNVR,B,RG,4120,40,40,D,,Open
24248,24249,8:45:01,UNVR,B,RG,4120,1,1,D,,Open
24322,24323,8:45:01,UNVR,B,RG,4120,1,1,D,,Open
29107,29108,8:45:01,UNVR,B,RG,4120,25,25,D,,Open
29865,29866,8:45:02,UNVR,B,RG,4120,10,10,D,,Open
31592,31593,8:45:02,UNVR,B,RG,4120,10,10,D,,Open
31870,31871,8:45:02,UNVR,B,RG,4120,2,2,D,,Open
38714,38715,8:45:02,UNVR,B,RG,4120,40,40,D,,Open
40551,40552,8:45:03,UNVR,B,RG,4120,20,20,D,,Open
41576,41577,8:45:03,UNVR,B,RG,4120,3,3,D,,Open
42836,42837,8:45:03,UNVR,B,RG,4120,10,10,D,,Open
43375,43376,8:45:03,UNVR,B,RG,4120,69,69,D,,Open
43928,43929,8:45:03,UNVR,B,RG,4120,1,1,D,,Open
44120,44121,8:45:03,UNVR,B,RG,4120,10,10,D,,Open
44146,44147,8:45:03,UNVR,B,RG,4120,10,10,D,,Open
45000,45001,8:45:03,UNVR,B,RG,4120,100,100,D,,Open
46526,46527,8:45:03,UNVR,B,RG,4120,5,5,D,,Open
46700,46701,8:45:03,UNVR,B,RG,4120,20,20,F,,Open
47575,47576,8:45:04,UNVR,B,RG,4120,50,50,D,,Open
48933,48934,8:45:04,UNVR,B,RG,4120,2,2,D,,Open
50583,50584,8:45:05,UNVR,B,RG,4120,2,2,D,,Open
50758,50759,8:45:05,UNVR,B,RG,4120,60,60,D,,Open
50917,50918,8:45:05,UNVR,B,RG,4120,30,30,D,,Open
55824,55825,8:45:07,UNVR,B,RG,4120,1,1,D,,Open
55958,55959,8:45:07,UNVR,B,RG,4120,2,2,D,,Open
56679,56680,8:45:08,UNVR,B,RG,4120,10,10,D,,Open
58993,58994,8:45:10,UNVR,B,RG,4120,15,15,D,,Open
59139,59140,8:45:10,UNVR,B,RG,4120,3,3,D,,Open
59141,59142,8:45:10,UNVR,B,RG,4120,10,10,D,,Open
60265,60266,8:45:11,UNVR,B,RG,4120,1,1,D,,Open
62748,62749,8:45:15,UNVR,B,RG,4120,1,1,D,,Open
64502,64503,8:45:18,UNVR,B,RG,4120,200,200,D,,Open
64577,64578,8:45:18,UNVR,B,RG,4120,5,5,D,,Open
65217,65218,8:45:19,UNVR,B,RG,4120,150,150,D,,Open
65770,65771,8:45:20,UNVR,B,RG,4120,3,3,D,,Open
66085,66086,8:45:20,UNVR,B,RG,4120,3,0,D,,Withdrawn
70945,70946,8:49:04,UNVR,B,RG,4120,1,1,D,,Open
74869,74870,8:54:30,UNVR,B,RG,4120,2,2,D,,Open
75218,75219,8:54:58,UNVR,B,RG,4120,20,20,D,,Open
76993,76994,9:00:00,UNVR,B,RG,4120,5,5,D,,Open
135123,135124,9:00:03,UNVR,B,RG,4120,200,200,D,,Open
149798,149799,9:00:04,UNVR,B,RG,4120,20,20,D,,Open
349556,349557,9:01:53,UNVR,B,RG,4120,25,25,D,,Open
357750,357751,9:02:14,UNVR,B,RG,4120,4,4,D,,Open
370751,370752,9:02:48,UNVR,B,RG,4120,10,10,D,,Open
413882,413883,9:04:50,UNVR,B,RG,4120,1,0,D,,Withdrawn
431640,431641,9:05:36,UNVR,B,RG,4120,5,5,D,,Open
443466,443467,9:06:08,UNVR,B,RG,4120,5,5,D,,Open
458649,458650,9:06:50,UNVR,B,RG,4120,1,1,D,,Open
567627,567628,9:12:16,UNVR,B,RG,4120,8,8,D,,Open
580161,580162,9:12:59,UNVR,B,RG,4120,2,0,D,,Amended
580161,587308,9:13:24,UNVR,B,RG,4120,1,0,D,,Withdrawn
613089,613090,9:14:50,UNVR,B,RG,4120,18,18,D,,Open
620131,620132,9:15:13,UNVR,B,RG,4120,1,1,D,,Open
667725,667726,9:18:14,UNVR,B,RG,4120,1,1,D,,Open
702597,702598,9:20:32,UNVR,B,RG,4120,2,2,D,,Open
732877,732878,9:22:36,UNVR,B,RG,4120,25,25,D,,Open
748368,748369,9:23:43,UNVR,B,RG,4120,2,2,D,,Open
758386,758387,9:24:24,UNVR,B,RG,4120,2,2,D,,Open
770110,770111,9:25:11,UNVR,B,RG,4120,1,1,D,,Open
779598,779599,9:25:50,UNVR,B,RG,4120,200,200,D,,Open
812903,812904,9:28:12,UNVR,B,RG,4120,3,3,D,,Open
827778,827779,9:29:15,UNVR,B,RG,4120,10,10,D,,Open
856370,856371,9:31:25,UNVR,B,RG,4120,10,10,D,,Open
863260,863261,9:31:55,UNVR,B,RG,4120,1,1,D,,Open
904177,904178,9:35:08,UNVR,B,RG,4120,1,1,D,,Open
921799,921800,9:36:36,UNVR,B,RG,4120,1,1,D,,Open
952728,952729,9:39:14,UNVR,B,RG,4120,30,30,D,,Open
969820,969821,9:40:49,UNVR,B,RG,4120,10,0,D,,Withdrawn
1005453,1005454,9:44:10,UNVR,B,RG,4120,1,0,D,,Amended
1048796,1048797,9:48:32,UNVR,B,RG,4120,1,1,D,,Open
1053941,1053942,9:49:02,UNVR,B,RG,4120,25,25,D,,Open
1089109,1089110,9:52:49,UNVR,B,RG,4120,2,2,D,,Open
1348648,1348649,10:25:04,UNVR,B,RG,4120,10,10,D,,Open
1365912,1365913,10:27:39,UNVR,B,RG,4120,2,2,D,,Open
1371531,1371532,10:28:29,UNVR,B,RG,4120,5,5,D,,Open
1372591,1372592,10:28:39,UNVR,B,RG,4120,1,1,D,,Open
1395544,1395545,10:32:15,UNVR,B,RG,4120,1,0,D,,Amended
1405721,1405722,10:33:54,UNVR,B,RG,4120,5,5,D,,Open
1464221,1464222,10:43:14,UNVR,B,RG,4120,2,0,D,,Withdrawn
1468199,1468200,10:43:53,UNVR,B,RG,4120,30,30,D,,Open
1480669,1480670,10:45:56,UNVR,B,RG,4120,1,1,D,,Open
1495617,1495618,10:48:20,UNVR,B,RG,4120,1,1,D,,Open
1529386,1529387,10:53:42,UNVR,B,RG,4120,2,2,D,,Open
1673198,1673199,11:20:26,UNVR,B,RG,4120,30,30,F,,Open
