Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
1981,1982,8:45:00,UNVR,B,RG,4130,12,12,D,,Open
3091,3092,8:45:00,UNVR,B,RG,4130,1,1,D,,Open
3438,3439,8:45:00,UNVR,B,RG,4130,2,2,D,,Open
6989,6990,8:45:00,UNVR,B,RG,4130,1,1,D,,Open
9406,9407,8:45:00,UNVR,B,RG,4130,1,1,D,,Open
13968,13969,8:45:00,UNVR,B,RG,4130,5,5,D,,Open
13974,13975,8:45:00,UNVR,B,RG,4130,20,20,D,,Open
14069,14070,8:45:00,UNVR,B,RG,4130,200,200,D,,Open
14284,14285,8:45:00,UNVR,B,RG,4130,80,80,D,,Open
17692,17693,8:45:01,UNVR,B,RG,4130,1,1,D,,Open
17927,17928,8:45:01,UNVR,B,RG,4130,2,2,D,,Open
20333,20334,8:45:01,UNVR,B,RG,4130,2,2,D,,Open
22142,22143,8:45:01,UNVR,B,RG,4130,500,500,D,,Open
23078,23079,8:45:01,UNVR,B,RG,4130,100,100,D,,Open
25379,25380,8:45:01,UNVR,B,RG,4130,2,2,D,,Open
26697,26698,8:45:01,UNVR,B,RG,4130,1,1,D,,Open
26778,26779,8:45:01,UNVR,B,RG,4130,40,40,D,,Open
33327,33328,8:45:02,UNVR,B,RG,4130,6,6,D,,Open
36080,36081,8:45:03,UNVR,B,RG,4130,10,10,D,,Open
37165,37166,8:45:03,UNVR,B,RG,4130,200,200,D,,Open
37651,37652,8:45:03,UNVR,B,RG,4130,20,20,F,,Open
37927,37928,8:45:03,UNVR,B,RG,4130,45,45,D,,Open
40126,40127,8:45:03,UNVR,B,RG,4130,240,240,D,,Open
40529,40530,8:45:03,UNVR,B,RG,4130,100,100,D,,Open
42656,42657,8:45:03,UNVR,B,RG,4130,1,1,D,,Open
42805,42806,8:45:03,UNVR,B,RG,4130,30,30,D,,Open
42870,42871,8:45:03,UNVR,B,RG,4130,5,5,D,,Open
43930,43931,8:45:04,UNVR,B,RG,4130,6,6,D,,Open
44642,44643,8:45:04,UNVR,B,RG,4130,5,5,D,,Open
46110,46111,8:45:04,UNVR,B,RG,4130,5,5,D,,Open
47010,47011,8:45:04,UNVR,B,RG,4130,5,5,D,,Open
48534,48535,8:45:05,UNVR,B,RG,4130,1,1,D,,Open
49191,49192,8:45:06,UNVR,B,RG,4130,60,60,D,,Open
49337,49338,8:45:06,UNVR,B,RG,4130,50,50,D,,Open
50840,50841,8:45:07,UNVR,B,RG,4130,30,30,D,,Open
51836,51837,8:45:07,UNVR,B,RG,4130,125,125,D,,Open
51910,51911,8:45:07,UNVR,B,RG,4130,50,0,D,,Withdrawn
52335,52336,8:45:07,UNVR,B,RG,4130,5,5,D,,Open
52510,52511,8:45:07,UNVR,B,RG,4130,10,10,D,,Open
52932,52933,8:45:08,UNVR,B,RG,4130,100,100,D,,Open
53115,53116,8:45:09,UNVR,B,RG,4130,10,10,D,,Open
53873,53874,8:45:09,UNVR,B,RG,4130,2,2,D,,Open
54069,54070,8:45:09,UNVR,B,RG,4130,3,3,D,,Open
54566,54567,8:45:10,UNVR,B,RG,4130,5,5,D,,Open
54629,54630,8:45:10,UNVR,B,RG,4130,20,20,D,,Open
54934,54935,8:45:10,UNVR,B,RG,4130,100,100,D,,Open
55499,55500,8:45:10,UNVR,B,RG,4130,1,1,D,,Open
55766,55767,8:45:10,UNVR,B,RG,4130,50,50,D,,Open
56255,56256,8:45:11,UNVR,B,RG,4130,7,7,D,,Open
56271,56272,8:45:11,UNVR,B,RG,4130,3,3,D,,Open
56705,56706,8:45:12,UNVR,B,RG,4130,2,2,D,,Open
56710,56711,8:45:12,UNVR,B,RG,4130,10,10,D,,Open
56844,56845,8:45:12,UNVR,B,RG,4130,1,1,D,,Open
57480,57481,8:45:13,UNVR,B,RG,4130,1,1,D,,Open
58639,58640,8:45:15,UNVR,B,RG,4130,100,100,D,,Open
58845,58846,8:45:15,UNVR,B,RG,4130,1,1,D,,Open
59350,59351,8:45:15,UNVR,B,RG,4130,10,10,D,,Open
60397,60398,8:45:17,UNVR,B,RG,4130,1,1,D,,Open
60972,60973,8:45:18,UNVR,B,RG,4130,10,10,D,,Open
61187,61188,8:45:18,UNVR,B,RG,4130,376,376,D,,Open
61567,61568,8:45:19,UNVR,B,RG,4130,3,3,D,,Open
63373,63374,8:45:22,UNVR,B,RG,4130,2,2,D,,Open
66288,66289,8:47:36,UNVR,B,RG,4130,1,1,D,,Open
66667,66668,8:48:05,UNVR,B,RG,4130,20,20,F,,Open
68772,68773,8:51:03,UNVR,B,RG,4130,1,1,D,,Open
70292,70293,8:52:51,UNVR,B,RG,4130,10,10,D,,Open
71482,71483,8:54:18,UNVR,B,RG,4130,10,10,D,,Open
71545,71546,8:54:23,UNVR,B,RG,4130,10,10,D,,Open
72136,72137,8:54:59,UNVR,B,RG,4130,1,1,D,,Open
96626,96627,9:00:01,UNVR,B,RG,4130,5,0,D,,Withdrawn
97791,97792,9:00:01,UNVR,B,RG,4130,10,10,D,,Open
135192,135193,9:00:03,UNVR,B,RG,4130,20,20,D,,Open
187725,187726,9:00:07,UNVR,B,RG,4130,5,5,D,,Open
197623,197624,9:00:08,UNVR,B,RG,4130,1,1,D,,Open
198279,198280,9:00:08,UNVR,B,RG,4130,1000,1000,D,,Open
235557,235558,9:00:12,UNVR,B,RG,4130,10,10,D,,Open
